time,Utah,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Howard (D. Schroder gains possession),,,,Jump ball: R. Gobert vs. D. Howard (D. Schroder gains possession)
11:45.0,,,0-0,,T. Hardaway misses 2-pt shot from 5 ft
11:43.0,Defensive rebound by G. Hayward,,0-0,,
11:28.0,G. Hill makes 3-pt shot from 24 ft (assist by G. Hayward),3,3-0,,
11:09.0,,,3-0,,D. Schroder misses 2-pt shot from 2 ft
11:08.0,Defensive rebound by R. Gobert,,3-0,,
10:54.0,,,3-0,,Personal foul by D. Schroder (drawn by G. Hill)
10:43.0,D. Favors makes 2-pt shot from 12 ft (assist by G. Hayward),2,5-0,,
10:26.0,,,5-0,,P. Millsap misses 2-pt shot from 9 ft
10:25.0,Defensive rebound by D. Favors,,5-0,,
10:17.0,G. Hayward misses 3-pt shot from 25 ft,,5-0,,
10:15.0,,,5-0,,Defensive rebound by D. Schroder
10:10.0,,,5-0,,Turnover by T. Hardaway (bad pass; steal by J. Ingles)
9:59.0,Turnover by R. Gobert (lost ball),,5-0,,
9:43.0,,,5-0,,D. Howard misses 2-pt shot from 1 ft (block by G. Hill)
9:43.0,,,5-0,,Offensive rebound by Team
9:38.0,,,5-0,,P. Millsap misses 2-pt shot at rim
9:37.0,,,5-0,,Offensive rebound by D. Howard
9:30.0,,,5-2,2,K. Bazemore makes 2-pt shot from 13 ft
9:11.0,G. Hayward makes 3-pt shot from 24 ft (assist by D. Favors),3,8-2,,
9:02.0,,,8-2,,Turnover by P. Millsap (bad pass; steal by D. Favors)
8:57.0,G. Hayward misses 2-pt shot at rim,,8-2,,
8:55.0,Offensive rebound by G. Hayward,,8-2,,
8:52.0,G. Hayward makes 2-pt shot from 13 ft,2,10-2,,
8:51.0,,,10-2,,Atlanta full timeout
8:36.0,,,10-2,,Shooting foul by D. Favors (drawn by D. Howard)
8:36.0,,,10-3,1,D. Howard makes free throw 1 of 2
8:36.0,,,10-3,,D. Howard misses free throw 2 of 2
8:35.0,Defensive rebound by D. Favors,,10-3,,
8:21.0,D. Favors makes 2-pt shot from 12 ft (assist by J. Ingles),2,12-3,,
7:58.0,Personal block foul by J. Ingles (drawn by K. Bazemore),,12-3,,
7:51.0,,,12-3,,P. Millsap misses 3-pt shot from 24 ft
7:50.0,Defensive rebound by R. Gobert,,12-3,,
7:40.0,G. Hill misses 3-pt shot from 24 ft,,12-3,,
7:38.0,Offensive rebound by D. Favors,,12-3,,
7:31.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,14-3,,
7:08.0,,,14-3,,Shooting foul by D. Favors (drawn by P. Millsap)
7:08.0,,,14-3,,P. Millsap misses free throw 1 of 2
7:08.0,,,14-3,,Offensive rebound by Team
7:08.0,,,14-4,1,P. Millsap makes free throw 2 of 2
7:08.0,T. Lyles enters the game for D. Favors,,14-3,,
6:54.0,T. Lyles misses 3-pt shot from 25 ft,,14-4,,
6:53.0,,,14-4,,Defensive rebound by K. Bazemore
6:43.0,,,14-4,,Shooting foul by R. Gobert (drawn by D. Howard)
6:43.0,,,14-6,2,D. Howard makes 2-pt shot from 2 ft
6:43.0,,,14-6,,D. Howard misses free throw 1 of 1
6:41.0,Defensive rebound by T. Lyles,,14-6,,
6:19.0,G. Hill makes 2-pt shot from 10 ft,2,16-6,,
