time,Washington,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Gortat (M. Morris gains possession),,,,Jump ball: S. Adams vs. M. Gortat (M. Morris gains possession)
11:39.0,M. Morris makes 2-pt shot from 12 ft,2,2-0,,
11:18.0,,,2-2,2,D. Sabonis makes 2-pt shot from 13 ft (assist by V. Oladipo)
11:01.0,J. Wall misses 3-pt shot from 25 ft,,2-2,,
11:00.0,,,2-2,,Defensive rebound by D. Sabonis
10:51.0,,,2-2,,R. Westbrook misses 2-pt shot from 2 ft
10:50.0,,,2-2,,Offensive rebound by Team
10:44.0,,,2-2,,S. Adams misses 2-pt shot from 6 ft
10:44.0,Defensive rebound by M. Gortat,,2-2,,
10:34.0,Turnover by M. Morris (bad pass; steal by D. Sabonis),,2-2,,
10:30.0,,,2-4,2,R. Westbrook makes 2-pt shot from 1 ft (assist by D. Sabonis)
10:01.0,Shooting foul by S. Adams (drawn by B. Beal),,2-4,,
10:01.0,B. Beal makes free throw 1 of 2,1,3-4,,
10:01.0,B. Beal misses free throw 2 of 2,,3-4,,
10:01.0,,,3-4,,Defensive rebound by R. Westbrook
9:55.0,,,3-6,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
9:41.0,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall),2,5-6,,
9:28.0,,,5-8,2,V. Oladipo makes 2-pt shot from 6 ft
9:16.0,M. Gortat misses 2-pt shot at rim,,5-8,,
9:15.0,Offensive rebound by J. Wall,,5-8,,
9:12.0,J. Wall makes 3-pt shot from 25 ft,3,8-8,,
9:05.0,Personal block foul by M. Gortat (drawn by R. Westbrook),,8-8,,
8:59.0,,,8-8,,R. Westbrook misses 2-pt shot from 15 ft
8:58.0,Defensive rebound by M. Gortat,,8-8,,
8:48.0,M. Gortat misses 2-pt shot from 1 ft,,8-8,,
8:48.0,,,8-8,,Defensive rebound by S. Adams
8:35.0,,,8-10,2,V. Oladipo makes 2-pt shot from 15 ft (assist by D. Sabonis)
8:16.0,M. Morris misses 2-pt shot from 15 ft,,8-10,,
8:16.0,,,8-10,,Defensive rebound by R. Westbrook
7:58.0,,,8-10,,Turnover by R. Westbrook (bad pass; steal by B. Beal)
7:52.0,B. Beal misses 2-pt shot from 4 ft,,8-10,,
7:52.0,,,8-10,,Defensive rebound by A. Roberson
7:41.0,,,8-10,,R. Westbrook misses 2-pt shot from 17 ft
7:40.0,Defensive rebound by O. Porter,,8-10,,
7:32.0,Shooting foul by V. Oladipo (drawn by B. Beal),,8-10,,
7:32.0,B. Beal misses free throw 1 of 2,,8-10,,
7:32.0,Offensive rebound by Team,,8-10,,
7:32.0,B. Beal misses free throw 2 of 2,,8-10,,
7:32.0,,,8-10,,Defensive rebound by S. Adams
7:32.0,,,8-10,,J. Lauvergne enters the game for D. Sabonis
7:22.0,Personal foul by O. Porter (drawn by V. Oladipo),,8-10,,
7:13.0,,,8-10,,Turnover by S. Adams (traveling)
7:04.0,O. Porter misses 3-pt shot from 25 ft,,8-10,,
7:03.0,,,8-10,,Defensive rebound by J. Lauvergne
6:53.0,,,8-10,,R. Westbrook misses 2-pt shot from 2 ft
6:53.0,,,8-10,,Offensive rebound by R. Westbrook
6:50.0,,,8-10,,R. Westbrook misses 2-pt shot from 2 ft
6:50.0,Defensive rebound by O. Porter,,8-10,,
6:39.0,M. Morris makes 2-pt shot at rim,2,10-10,,
6:36.0,,,10-10,,Oklahoma City full timeout
6:30.0,,,10-10,,R. Westbrook misses 2-pt shot at rim
6:29.0,Defensive rebound by Team,,10-10,,
6:10.0,J. Wall misses 2-pt shot from 17 ft,,10-10,,
6:10.0,Offensive rebound by M. Gortat,,10-10,,
6:09.0,M. Gortat makes 2-pt shot from 1 ft,2,12-10,,
5:50.0,,,12-10,,Turnover by R. Westbrook (lost ball; steal by J. Wall)
5:49.0,,,12-10,,Personal foul by R. Westbrook (drawn by M. Morris)
5:49.0,,,12-10,,A. Morrow enters the game for V. Oladipo
5:34.0,Shooting foul by J. Lauvergne (drawn by M. Morris),,12-10,,
5:34.0,M. Morris misses free throw 1 of 2,,12-10,,
5:34.0,Offensive rebound by Team,,12-10,,
5:34.0,M. Morris makes free throw 2 of 2,1,13-10,,
5:19.0,,,13-12,2,J. Lauvergne makes 2-pt shot at rim (assist by A. Morrow)
5:07.0,Turnover by J. Wall (bad pass; steal by J. Lauvergne),,13-12,,
5:02.0,,,13-14,2,A. Roberson makes 2-pt shot at rim
4:41.0,B. Beal misses 3-pt shot from 23 ft,,13-14,,
4:40.0,,,13-14,,Defensive rebound by A. Roberson
4:34.0,,,13-14,,A. Morrow misses 2-pt shot from 22 ft
4:33.0,,,13-14,,Offensive rebound by R. Westbrook
4:32.0,,,13-14,,R. Westbrook misses 2-pt shot from 1 ft
4:30.0,Defensive rebound by B. Beal,,13-14,,
4:26.0,Turnover by J. Wall (bad pass; steal by A. Roberson),,13-14,,
4:21.0,Personal foul by M. Morris (drawn by R. Westbrook),,13-14,,
4:21.0,J. Smith enters the game for M. Morris,,13-14,,
4:12.0,,,13-14,,S. Adams misses 2-pt shot at rim
4:11.0,Defensive rebound by O. Porter,,13-14,,
4:03.0,O. Porter misses 2-pt shot from 17 ft,,13-14,,
4:02.0,,,13-14,,Defensive rebound by A. Roberson
3:50.0,,,13-14,,Shooting foul by J. Smith (drawn by S. Adams)
3:50.0,,,13-15,1,S. Adams makes free throw 1 of 2
3:50.0,,,13-16,1,S. Adams makes free throw 2 of 2
3:50.0,T. Satoransky enters the game for O. Porter,,13-15,,
3:42.0,Turnover by B. Beal (bad pass; steal by A. Roberson),,13-16,,
3:32.0,,,13-19,3,J. Lauvergne makes 3-pt shot from 24 ft (assist by R. Westbrook)
3:26.0,Washington full timeout,,13-19,,
3:25.0,,,13-19,,E. Kanter enters the game for S. Adams
3:25.0,,,13-19,,S. Christon enters the game for R. Westbrook
3:04.0,J. Smith misses 2-pt shot from 8 ft,,13-19,,
3:04.0,,,13-19,,Defensive rebound by E. Kanter
3:02.0,Personal foul by T. Satoransky (drawn by E. Kanter),,13-19,,
3:02.0,,,13-19,,E. Kanter misses free throw 1 of 2
3:02.0,,,13-19,,Offensive rebound by Team
3:02.0,,,13-20,1,E. Kanter makes free throw 2 of 2
3:02.0,M. Thornton enters the game for B. Beal,,13-19,,
2:48.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,15-20,,
2:34.0,,,15-23,3,A. Morrow makes 3-pt shot from 23 ft (assist by J. Lauvergne)
2:19.0,J. Wall misses 2-pt shot from 7 ft,,15-23,,
2:19.0,Offensive rebound by M. Gortat,,15-23,,
2:15.0,M. Gortat misses 2-pt shot from 5 ft,,15-23,,
2:15.0,,,15-23,,Defensive rebound by A. Roberson
2:01.0,,,15-25,2,E. Kanter makes 2-pt shot from 1 ft (assist by A. Morrow)
1:42.0,J. Smith misses 2-pt shot from 2 ft,,15-25,,
1:42.0,,,15-25,,Defensive rebound by J. Lauvergne
1:36.0,Violation by T. Satoransky (kicked ball),,15-25,,
1:36.0,K. Oubre enters the game for J. Wall,,15-25,,
1:36.0,,,15-25,,V. Oladipo enters the game for A. Roberson
1:23.0,,,15-28,3,V. Oladipo makes 3-pt shot from 24 ft (assist by S. Christon)
1:08.0,M. Thornton makes 2-pt shot from 2 ft,2,17-28,,
0:51.0,,,17-28,,Turnover by J. Lauvergne (traveling)
0:42.0,M. Gortat misses 2-pt shot from 5 ft,,17-28,,
0:41.0,,,17-28,,Defensive rebound by E. Kanter
0:31.0,,,17-30,2,S. Christon makes 2-pt shot from 2 ft
0:14.0,M. Gortat misses 2-pt shot from 3 ft (block by E. Kanter),,17-30,,
0:14.0,Offensive rebound by Team,,17-30,,
0:09.0,T. Satoransky makes 2-pt shot from 10 ft,2,19-30,,
0:00.0,,,19-32,2,V. Oladipo makes 2-pt shot from 18 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,19-32,,Turnover by A. Morrow (bad pass; steal by M. Morris)
11:38.0,K. Oubre misses 3-pt shot from 22 ft,,19-32,,
11:37.0,,,19-32,,Defensive rebound by J. Lauvergne
11:23.0,Violation by M. Morris (kicked ball),,19-32,,
11:17.0,,,19-34,2,V. Oladipo makes 2-pt shot from 1 ft
11:00.0,M. Morris misses 2-pt shot from 15 ft,,19-34,,
10:59.0,Offensive rebound by J. Smith,,19-34,,
10:54.0,M. Thornton makes 3-pt shot from 24 ft (assist by T. Satoransky),3,22-34,,
10:38.0,Violation by M. Morris (kicked ball),,22-34,,
