time,Sacramento,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. H. Whiteside (D. Waiters gains possession),,,,Jump ball: D. Cousins vs. H. Whiteside (D. Waiters gains possession)
11:43.0,,,0-2,2,D. Waiters makes 2-pt shot from 18 ft (assist by G. Dragic)
11:24.0,T. Lawson misses 2-pt shot from 15 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by H. Whiteside
11:12.0,,,0-2,,J. Winslow misses 2-pt shot from 2 ft
11:11.0,Defensive rebound by R. Gay,,0-2,,
11:02.0,R. Gay misses 2-pt shot from 1 ft,,0-2,,
11:01.0,Offensive rebound by M. Barnes,,0-2,,
10:59.0,A. Afflalo makes 3-pt shot from 26 ft (assist by M. Barnes),3,3-2,,
10:41.0,,,3-2,,H. Whiteside misses 2-pt shot from 9 ft
10:40.0,Defensive rebound by R. Gay,,3-2,,
10:33.0,M. Barnes misses 3-pt shot from 24 ft,,3-2,,
10:32.0,,,3-2,,Defensive rebound by D. Waiters
10:24.0,,,3-2,,Turnover by H. Whiteside (offensive goaltending)
10:07.0,A. Afflalo makes 2-pt shot from 17 ft (assist by D. Cousins),2,5-2,,
9:50.0,,,5-2,,H. Whiteside misses 2-pt shot from 16 ft
9:49.0,Defensive rebound by M. Barnes,,5-2,,
9:44.0,A. Afflalo misses 2-pt shot from 10 ft (block by D. Waiters),,5-2,,
9:43.0,,,5-2,,Defensive rebound by Team
9:31.0,,,5-2,,Shooting foul by R. Gay (drawn by D. Waiters)
9:31.0,Violation by M. Barnes (lane),,5-2,,
9:31.0,,,5-3,1,D. Waiters makes free throw 1 of 2
9:31.0,,,5-3,,D. Waiters misses free throw 2 of 2
9:30.0,Defensive rebound by M. Barnes,,5-3,,
9:16.0,,,5-3,,Def 3 sec tech foul by L. Babbitt
9:16.0,A. Afflalo makes technical free throw,1,6-3,,
9:08.0,T. Lawson makes 2-pt shot from 1 ft,2,8-3,,
8:50.0,,,8-6,3,G. Dragic makes 3-pt shot from 25 ft (assist by D. Waiters)
8:23.0,R. Gay makes 2-pt shot from 2 ft,2,10-6,,
8:11.0,,,10-8,2,D. Waiters makes 2-pt shot from 1 ft
8:11.0,,,10-8,,Shooting foul by A. Afflalo (drawn by D. Waiters)
8:11.0,,,10-9,1,D. Waiters makes free throw 1 of 1
7:59.0,D. Cousins misses 2-pt shot from 6 ft (block by H. Whiteside),,10-9,,
7:58.0,,,10-9,,Defensive rebound by D. Waiters
7:53.0,,,10-11,2,D. Waiters makes 2-pt shot from 2 ft (assist by J. Winslow)
7:27.0,A. Afflalo misses 3-pt shot from 24 ft,,10-11,,
7:26.0,,,10-11,,Defensive rebound by G. Dragic
7:13.0,,,10-11,,J. Winslow misses 2-pt shot from 19 ft
7:12.0,Defensive rebound by R. Gay,,10-11,,
