time,Atlanta,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Howard (D. Nowitzki gains possession),,,,Jump ball: A. Bogut vs. D. Howard (D. Nowitzki gains possession)
11:45.0,,,0-0,,D. Williams misses 2-pt shot from 12 ft
11:43.0,Defensive rebound by D. Howard,,0-0,,
11:23.0,P. Millsap misses 2-pt shot from 12 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by W. Matthews
11:02.0,,,0-2,2,A. Bogut makes 2-pt shot from 7 ft (assist by D. Williams)
10:42.0,D. Howard misses 2-pt shot from 15 ft,,0-2,,
10:41.0,,,0-2,,Defensive rebound by Team
10:11.0,,,0-2,,W. Matthews misses 3-pt shot from 25 ft
10:10.0,Defensive rebound by D. Howard,,0-2,,
9:55.0,D. Schroder makes 3-pt shot from 24 ft,3,3-2,,
9:32.0,,,3-2,,D. Williams misses 2-pt shot from 7 ft
9:31.0,Defensive rebound by D. Schroder,,3-2,,
9:27.0,T. Sefolosha misses 2-pt shot from 20 ft,,3-2,,
9:25.0,,,3-2,,Defensive rebound by W. Matthews
9:16.0,,,3-5,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Williams)
8:59.0,T. Sefolosha misses 2-pt shot from 18 ft,,3-5,,
8:58.0,,,3-5,,Defensive rebound by A. Bogut
8:50.0,,,3-5,,D. Nowitzki misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by D. Howard,,3-5,,
8:30.0,,,3-5,,Shooting block foul by H. Barnes (drawn by P. Millsap)
8:30.0,P. Millsap makes free throw 1 of 2,1,4-5,,
8:30.0,P. Millsap makes free throw 2 of 2,1,5-5,,
8:12.0,,,5-5,,H. Barnes misses 3-pt shot from 24 ft
8:11.0,Defensive rebound by D. Howard,,5-5,,
8:04.0,D. Howard misses 2-pt shot from 20 ft,,5-5,,
8:04.0,,,5-5,,Defensive rebound by A. Bogut
7:53.0,,,5-5,,A. Bogut misses 2-pt shot from 12 ft
7:52.0,Defensive rebound by D. Howard,,5-5,,
7:51.0,Turnover by D. Howard (step out of bounds),,5-5,,
7:51.0,,,5-5,,S. Curry enters the game for D. Nowitzki
7:49.0,,,5-5,,H. Barnes misses 2-pt shot from 19 ft
7:47.0,Defensive rebound by K. Bazemore,,5-5,,
7:40.0,K. Bazemore misses 2-pt shot from 11 ft,,5-5,,
7:39.0,,,5-5,,Defensive rebound by A. Bogut
