time,Indiana,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. M. Turner (S. Rodriguez gains possession),,,,Jump ball: J. Embiid vs. M. Turner (S. Rodriguez gains possession)
11:49.0,,,0-0,,Turnover by J. Embiid (bad pass)
11:42.0,,,0-0,,Personal foul by J. Embiid (drawn by M. Turner)
11:34.0,C. Miles misses 2-pt shot from 16 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by J. Embiid
11:24.0,,,0-0,,R. Covington misses 3-pt shot from 26 ft
11:22.0,Defensive rebound by M. Turner,,0-0,,
11:14.0,Turnover by T. Young (bad pass; steal by D. Saric),,0-0,,
11:09.0,,,0-2,2,G. Henderson makes 2-pt shot from 1 ft (assist by D. Saric)
10:52.0,C. Miles makes 2-pt shot from 7 ft (assist by M. Turner),2,2-2,,
10:40.0,,,2-2,,Shooting foul by M. Turner (drawn by J. Embiid)
10:40.0,,,2-2,,J. Embiid misses free throw 1 of 2
10:40.0,,,2-2,,Offensive rebound by Team
10:40.0,,,2-3,1,J. Embiid makes free throw 2 of 2
10:24.0,T. Young makes 2-pt shot from 4 ft (assist by P. George),2,4-3,,
10:14.0,,,4-3,,Shooting foul by M. Turner (drawn by J. Embiid)
10:14.0,,,4-4,1,J. Embiid makes free throw 1 of 2
10:14.0,,,4-5,1,J. Embiid makes free throw 2 of 2
10:14.0,A. Jefferson enters the game for M. Turner,,4-4,,
9:55.0,J. Teague misses 3-pt shot from 25 ft,,4-5,,
9:53.0,,,4-5,,Defensive rebound by R. Covington
9:47.0,,,4-5,,Offensive charge foul by J. Embiid
9:47.0,,,4-5,,Turnover by J. Embiid (offensive foul)
9:47.0,,,4-5,,R. Holmes enters the game for J. Embiid
9:38.0,P. George misses 2-pt shot from 16 ft,,4-5,,
9:37.0,,,4-5,,Defensive rebound by R. Holmes
9:31.0,,,4-7,2,G. Henderson makes 2-pt shot at rim (assist by S. Rodriguez)
9:14.0,T. Young makes 2-pt shot from 2 ft (assist by J. Teague),2,6-7,,
9:03.0,,,6-7,,D. Saric misses 2-pt shot from 2 ft
9:02.0,Defensive rebound by P. George,,6-7,,
8:46.0,C. Miles misses 3-pt shot from 24 ft,,6-7,,
8:45.0,,,6-7,,Defensive rebound by D. Saric
8:29.0,,,6-7,,S. Rodriguez misses 3-pt shot from 26 ft
8:28.0,Defensive rebound by T. Young,,6-7,,
8:16.0,,,6-7,,E. Ilyasova enters the game for D. Saric
8:05.0,T. Young makes 2-pt shot from 5 ft (assist by A. Jefferson),2,8-7,,
7:50.0,,,8-7,,R. Covington misses 2-pt shot from 13 ft
7:48.0,Defensive rebound by T. Young,,8-7,,
7:38.0,,,8-7,,Violation by G. Henderson (def goaltending)
7:38.0,A. Jefferson makes 2-pt shot from 4 ft (assist by J. Teague),2,10-7,,
7:24.0,,,10-9,2,G. Henderson makes 2-pt shot from 13 ft (assist by S. Rodriguez)
7:14.0,P. George makes 2-pt shot from 15 ft,2,12-9,,
7:07.0,,,12-12,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by S. Rodriguez)
6:57.0,J. Teague makes 2-pt shot from 2 ft,2,14-12,,
6:54.0,,,14-12,,Philadelphia full timeout
6:54.0,,,14-12,,T. McConnell enters the game for S. Rodriguez
6:54.0,M. Ellis enters the game for C. Miles,,14-12,,
6:54.0,,,14-12,,H. Thompson enters the game for R. Covington
6:36.0,,,14-12,,G. Henderson misses 2-pt shot from 18 ft
6:34.0,,,14-12,,Offensive rebound by R. Holmes
6:31.0,,,14-12,,R. Holmes misses 2-pt shot from 12 ft
6:30.0,,,14-12,,Offensive rebound by R. Holmes
6:28.0,,,14-14,2,R. Holmes makes 2-pt shot at rim
6:02.0,Turnover by A. Jefferson (lost ball; steal by R. Holmes),,14-14,,
5:53.0,,,14-16,2,E. Ilyasova makes 2-pt shot from 17 ft (assist by T. McConnell)
