time,Chicago,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. T. Mozgov (T. Gibson gains possession),,,,Jump ball: R. Lopez vs. T. Mozgov (T. Gibson gains possession)
11:41.0,T. Gibson makes 2-pt shot from 5 ft,2,2-0,,
11:22.0,,,2-0,,J. Randle misses 2-pt shot from 1 ft
11:21.0,,,2-0,,Offensive rebound by T. Mozgov
11:21.0,,,2-2,2,T. Mozgov makes 2-pt shot at rim
11:21.0,,,2-2,,Violation by Team (jump ball)
11:05.0,R. Rondo makes 2-pt shot from 17 ft (assist by J. Butler),2,4-2,,
10:50.0,,,4-2,,N. Young misses 2-pt shot from 11 ft
10:49.0,Defensive rebound by N. Mirotic,,4-2,,
10:37.0,R. Lopez misses 2-pt shot from 19 ft,,4-2,,
10:36.0,,,4-2,,Defensive rebound by L. Deng
10:30.0,,,4-2,,L. Deng misses 2-pt shot from 1 ft
10:27.0,Defensive rebound by R. Lopez,,4-2,,
10:22.0,T. Gibson misses 2-pt shot at rim,,4-2,,
10:21.0,,,4-2,,Defensive rebound by J. Randle
10:12.0,,,4-4,2,J. Randle makes 2-pt shot from 19 ft (assist by D. Russell)
9:53.0,T. Gibson misses 2-pt shot from 16 ft,,4-4,,
9:52.0,Offensive rebound by R. Rondo,,4-4,,
9:49.0,Turnover by N. Mirotic (bad pass; steal by T. Mozgov),,4-4,,
9:43.0,,,4-7,3,D. Russell makes 3-pt shot from 25 ft
9:22.0,J. Butler makes 2-pt shot at rim,2,6-7,,
8:55.0,,,6-7,,T. Mozgov misses 2-pt shot from 1 ft (block by R. Lopez)
8:55.0,Defensive rebound by R. Lopez,,6-7,,
8:38.0,T. Gibson makes 2-pt shot at rim (assist by R. Lopez),2,8-7,,
8:22.0,,,8-7,,D. Russell misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by N. Mirotic,,8-7,,
8:14.0,Turnover by R. Rondo (bad pass; steal by T. Mozgov),,8-7,,
8:08.0,,,8-7,,J. Randle misses 2-pt shot from 2 ft
8:06.0,Defensive rebound by N. Mirotic,,8-7,,
7:51.0,Shooting foul by N. Young (drawn by J. Butler),,8-7,,
7:51.0,J. Butler makes free throw 1 of 2,1,9-7,,
7:51.0,J. Butler makes free throw 2 of 2,1,10-7,,
7:38.0,,,10-7,,T. Mozgov misses 2-pt shot from 6 ft
7:37.0,Defensive rebound by J. Butler,,10-7,,
7:33.0,,,10-7,,Personal foul by N. Young (drawn by J. Butler)
7:25.0,Shooting foul by D. Russell (drawn by J. Butler),,10-7,,
7:25.0,J. Butler makes free throw 1 of 2,1,11-7,,
7:25.0,J. Butler makes free throw 2 of 2,1,12-7,,
7:05.0,,,12-7,,D. Russell misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by R. Rondo,,12-7,,
6:52.0,J. Butler makes 2-pt shot from 15 ft (assist by R. Rondo),2,14-7,,
6:52.0,Shooting foul by D. Russell (drawn by J. Butler),,14-7,,
6:52.0,J. Butler makes free throw 1 of 1,1,15-7,,
6:39.0,,,15-10,3,N. Young makes 3-pt shot from 25 ft (assist by D. Russell)
6:25.0,Turnover by R. Rondo (bad pass; steal by T. Mozgov),,15-10,,
6:15.0,,,15-10,,L. Deng misses 3-pt shot from 24 ft
6:15.0,Defensive rebound by R. Lopez,,15-10,,
6:03.0,T. Gibson makes 2-pt shot from 3 ft,2,17-10,,
6:02.0,,,17-10,,LA Lakers full timeout
6:02.0,,,17-10,,L. Nance enters the game for L. Deng
6:02.0,,,17-10,,B. Ingram enters the game for J. Randle
5:43.0,,,17-12,2,T. Mozgov makes 2-pt shot from 17 ft (assist by D. Russell)
5:19.0,R. Rondo misses 2-pt shot from 20 ft,,17-12,,
5:19.0,,,17-12,,Defensive rebound by D. Russell
5:09.0,,,17-12,,N. Young misses 3-pt shot from 24 ft
5:09.0,Defensive rebound by N. Mirotic,,17-12,,
4:59.0,R. Rondo misses 2-pt shot from 1 ft,,17-12,,
4:58.0,,,17-12,,Defensive rebound by L. Nance
4:48.0,,,17-14,2,T. Mozgov makes 2-pt shot from 15 ft (assist by D. Russell)
4:28.0,Shooting foul by B. Ingram (drawn by N. Mirotic),,17-14,,
4:28.0,N. Mirotic misses free throw 1 of 3,,17-14,,
4:28.0,Offensive rebound by Team,,17-14,,
4:28.0,N. Mirotic makes free throw 2 of 3,1,18-14,,
4:28.0,N. Mirotic misses free throw 3 of 3,,18-14,,
4:28.0,I. Canaan enters the game for R. Rondo,,18-14,,
4:28.0,,,18-14,,J. Clarkson enters the game for D. Russell
4:25.0,Offensive rebound by R. Lopez,,18-14,,
4:22.0,R. Lopez makes 2-pt shot from 1 ft,2,20-14,,
4:07.0,,,20-14,,Shooting foul by N. Mirotic (drawn by L. Nance)
4:07.0,,,20-15,1,L. Nance makes free throw 1 of 2
4:07.0,,,20-16,1,L. Nance makes free throw 2 of 2
3:52.0,J. Butler makes 2-pt shot from 17 ft,2,22-16,,
3:35.0,,,22-18,2,L. Nance makes 2-pt shot from 9 ft (assist by N. Young)
3:16.0,R. Lopez makes 2-pt shot from 20 ft (assist by J. Butler),2,24-18,,
3:04.0,,,24-18,,N. Young misses 2-pt shot from 1 ft
3:02.0,Defensive rebound by R. Lopez,,24-18,,
2:56.0,T. Gibson makes 2-pt shot at rim (assist by J. Butler),2,26-18,,
2:38.0,,,26-18,,J. Clarkson misses 2-pt shot from 12 ft
2:33.0,Defensive rebound by J. Butler,,26-18,,
2:25.0,J. Butler misses 2-pt shot from 10 ft,,26-18,,
2:24.0,,,26-18,,Defensive rebound by N. Young
2:13.0,,,26-18,,N. Young misses 2-pt shot from 15 ft
2:12.0,Defensive rebound by T. Gibson,,26-18,,
1:54.0,I. Canaan misses 3-pt shot from 24 ft,,26-18,,
1:54.0,,,26-18,,Defensive rebound by L. Nance
1:40.0,,,26-18,,J. Clarkson misses 2-pt shot from 9 ft
1:37.0,Defensive rebound by T. Gibson,,26-18,,
1:36.0,Turnover by T. Gibson (bad pass; steal by L. Nance),,26-18,,
1:30.0,,,26-20,2,N. Young makes 2-pt shot at rim (assist by J. Clarkson)
1:30.0,Chicago full timeout,,26-20,,
1:30.0,J. Grant enters the game for N. Mirotic,,26-20,,
1:30.0,B. Portis enters the game for T. Gibson,,26-20,,
1:30.0,,,26-20,,L. Williams enters the game for T. Mozgov
1:30.0,,,26-20,,T. Black enters the game for N. Young
1:20.0,J. Butler misses 2-pt shot from 5 ft,,26-20,,
1:18.0,,,26-20,,Defensive rebound by L. Nance
1:00.0,,,26-22,2,L. Williams makes 2-pt shot from 7 ft (assist by L. Nance)
0:47.0,B. Portis makes 2-pt shot from 20 ft (assist by J. Grant),2,28-22,,
0:36.0,,,28-25,3,L. Williams makes 3-pt shot from 25 ft
0:30.0,Shooting foul by B. Ingram (drawn by J. Butler),,28-25,,
0:30.0,J. Butler misses free throw 1 of 3,,28-25,,
0:30.0,Offensive rebound by Team,,28-25,,
0:30.0,J. Butler makes free throw 2 of 3,1,29-25,,
0:30.0,J. Butler makes free throw 3 of 3,1,30-25,,
0:12.0,,,30-27,2,L. Nance makes 2-pt shot at rim (assist by B. Ingram)
0:02.0,J. Butler misses 2-pt shot from 2 ft,,30-27,,
0:02.0,,,30-27,,Defensive rebound by L. Nance
0:00.0,,,30-30,3,L. Williams makes 3-pt shot from 37 ft (assist by L. Nance)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,30-32,2,L. Nance makes 2-pt shot from 1 ft (assist by J. Clarkson)
11:26.0,D. Valentine misses 3-pt shot from 24 ft,,30-32,,
11:25.0,,,30-32,,Defensive rebound by T. Black
11:18.0,,,30-34,2,L. Williams makes 2-pt shot from 1 ft
11:18.0,,,30-34,,Shooting foul by C. Felicio
11:18.0,,,30-35,1,L. Williams makes free throw 1 of 1
11:03.0,C. Felicio misses 2-pt shot at rim (block by L. Nance),,30-35,,
11:02.0,Offensive rebound by C. Felicio,,30-35,,
10:57.0,D. Valentine makes 2-pt shot from 2 ft (assist by J. Grant),2,32-35,,
10:37.0,Personal foul by D. Valentine (drawn by B. Ingram),,32-35,,
10:31.0,,,32-35,,B. Ingram misses 2-pt shot from 9 ft
10:30.0,,,32-35,,Offensive rebound by B. Ingram
10:26.0,,,32-37,2,B. Ingram makes 2-pt shot at rim
10:13.0,Turnover by C. Felicio (lost ball),,32-37,,
9:57.0,,,32-37,,L. Williams misses 2-pt shot from 8 ft
9:56.0,,,32-37,,Offensive rebound by T. Black
9:51.0,,,32-40,3,L. Williams makes 3-pt shot from 24 ft (assist by B. Ingram)
9:46.0,Chicago full timeout,,32-40,,
9:46.0,R. Rondo enters the game for I. Canaan,,32-40,,
9:46.0,T. Gibson enters the game for C. Felicio,,32-40,,
9:42.0,,,32-40,,Violation by L. Williams (kicked ball)
9:33.0,Shooting foul by T. Black (drawn by T. Gibson),,32-40,,
9:33.0,T. Gibson misses free throw 1 of 2,,32-40,,
9:33.0,Offensive rebound by Team,,32-40,,
9:33.0,T. Gibson makes free throw 2 of 2,1,33-40,,
9:13.0,,,33-40,,L. Williams misses 2-pt shot from 4 ft
9:12.0,Defensive rebound by D. Valentine,,33-40,,
9:11.0,,,33-40,,Technical foul by Team
9:11.0,J. Grant makes technical free throw,1,34-40,,
9:04.0,Turnover by T. Gibson (traveling),,34-40,,
8:56.0,,,34-42,2,L. Nance makes 2-pt shot at rim (assist by J. Clarkson)
8:40.0,T. Gibson misses 2-pt shot from 7 ft (block by T. Black),,34-42,,
8:39.0,,,34-42,,Defensive rebound by T. Black
8:26.0,Def 3 sec tech foul by T. Gibson,,34-42,,
8:26.0,,,34-42,,L. Williams misses technical free throw
8:26.0,,,34-42,,Offensive rebound by Team
8:18.0,,,34-42,,Shooting foul by T. Gibson (drawn by J. Clarkson)
8:18.0,,,34-43,1,J. Clarkson makes free throw 1 of 3
8:18.0,,,34-44,1,J. Clarkson makes free throw 2 of 3
8:18.0,,,34-44,,J. Clarkson misses free throw 3 of 3
8:18.0,N. Mirotic enters the game for B. Portis,,34-44,,
8:18.0,J. Butler enters the game for J. Grant,,34-44,,
8:17.0,Defensive rebound by T. Gibson,,34-44,,
8:06.0,D. Valentine makes 3-pt shot from 25 ft (assist by T. Gibson),3,37-44,,
7:42.0,,,37-46,2,T. Black makes 2-pt shot at rim (assist by L. Nance)
7:32.0,Shooting foul by T. Black (drawn by J. Butler),,37-46,,
7:32.0,J. Butler makes free throw 1 of 2,1,38-46,,
7:32.0,J. Butler makes free throw 2 of 2,1,39-46,,
7:15.0,,,39-46,,J. Clarkson misses 2-pt shot from 10 ft
7:10.0,,,39-46,,Offensive rebound by L. Nance
7:10.0,,,39-48,2,L. Nance makes 2-pt shot at rim
7:02.0,N. Mirotic makes 3-pt shot from 23 ft (assist by R. Rondo),3,42-48,,
6:45.0,,,42-48,,L. Williams misses 2-pt shot from 16 ft
6:41.0,,,42-48,,Offensive rebound by T. Black
6:41.0,,,42-48,,T. Black misses 2-pt shot from 1 ft
6:40.0,Defensive rebound by R. Rondo,,42-48,,
6:34.0,D. Valentine makes 3-pt shot from 24 ft (assist by N. Mirotic),3,45-48,,
6:34.0,,,45-48,,LA Lakers full timeout
6:34.0,,,45-48,,D. Russell enters the game for B. Ingram
6:34.0,,,45-48,,J. Randle enters the game for J. Clarkson
6:34.0,,,45-48,,N. Young enters the game for T. Black
6:18.0,,,45-48,,L. Nance misses 2-pt shot from 8 ft
6:16.0,Defensive rebound by R. Rondo,,45-48,,
6:01.0,T. Gibson makes 2-pt shot at rim (assist by J. Butler),2,47-48,,
5:44.0,,,47-50,2,N. Young makes 2-pt shot from 13 ft (assist by J. Randle)
5:23.0,D. Valentine misses 3-pt shot from 25 ft,,47-50,,
5:22.0,Offensive rebound by T. Gibson,,47-50,,
5:19.0,Turnover by T. Gibson (lost ball; steal by D. Russell),,47-50,,
5:13.0,,,47-53,3,L. Williams makes 3-pt shot from 23 ft (assist by N. Young)
4:58.0,Turnover by D. Valentine (bad pass; steal by D. Russell),,47-53,,
4:57.0,Personal take foul by N. Mirotic (drawn by D. Russell),,47-53,,
4:57.0,R. Lopez enters the game for T. Gibson,,47-53,,
4:44.0,,,47-53,,J. Randle misses 2-pt shot from 5 ft
4:43.0,Defensive rebound by N. Mirotic,,47-53,,
4:31.0,D. Valentine misses 3-pt shot from 24 ft,,47-53,,
4:31.0,,,47-53,,Defensive rebound by N. Young
4:22.0,,,47-55,2,L. Nance makes 2-pt shot at rim (assist by L. Williams)
3:55.0,R. Lopez makes 2-pt shot from 13 ft,2,49-55,,
3:48.0,,,49-55,,Shooting foul by D. Valentine
3:48.0,,,49-56,1,L. Williams makes free throw 1 of 2
3:48.0,,,49-57,1,L. Williams makes free throw 2 of 2
3:48.0,I. Canaan enters the game for D. Valentine,,49-56,,
3:48.0,,,49-56,,T. Mozgov enters the game for L. Nance
3:44.0,,,49-57,,Violation by D. Russell (kicked ball)
3:32.0,J. Butler makes 2-pt shot from 5 ft,2,51-57,,
3:19.0,,,51-59,2,T. Mozgov makes 2-pt shot from 3 ft (assist by D. Russell)
3:01.0,R. Lopez makes 2-pt shot from 5 ft (assist by R. Rondo),2,53-59,,
2:52.0,,,53-59,,T. Mozgov misses 2-pt shot at rim
2:50.0,Defensive rebound by R. Rondo,,53-59,,
2:49.0,Shooting foul by D. Russell (drawn by N. Mirotic),,53-59,,
2:49.0,Official timeout,,53-59,,
2:49.0,N. Mirotic misses free throw 1 of 3,,53-59,,
2:49.0,Offensive rebound by Team,,53-59,,
2:49.0,N. Mirotic misses free throw 2 of 3,,53-59,,
2:49.0,Offensive rebound by Team,,53-59,,
2:49.0,N. Mirotic makes free throw 3 of 3,1,54-59,,
2:49.0,,,53-59,,J. Clarkson enters the game for D. Russell
2:36.0,,,54-59,,Offensive charge foul by J. Randle
2:36.0,,,54-59,,Turnover by J. Randle (offensive foul)
2:29.0,J. Butler makes 2-pt shot from 17 ft (assist by R. Rondo),2,56-59,,
2:08.0,,,56-59,,J. Clarkson misses 2-pt shot from 1 ft
2:08.0,,,56-59,,Offensive rebound by J. Clarkson
2:03.0,,,56-59,,J. Randle misses 2-pt shot from 4 ft
2:01.0,,,56-59,,Offensive rebound by L. Williams
1:43.0,,,56-59,,J. Clarkson misses 3-pt shot from 24 ft
1:42.0,Defensive rebound by R. Lopez,,56-59,,
1:29.0,J. Butler misses 2-pt shot from 1 ft,,56-59,,
1:27.0,Offensive rebound by R. Lopez,,56-59,,
1:27.0,R. Lopez makes 2-pt shot from 1 ft,2,58-59,,
1:18.0,,,58-59,,Offensive foul by T. Mozgov
1:18.0,,,58-59,,Turnover by T. Mozgov (offensive foul)
1:02.0,I. Canaan makes 2-pt shot from 2 ft (assist by R. Lopez),2,60-59,,
