time,Memphis,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:44.0,,,0-0,,A. Davis misses 2-pt shot from 2 ft
12:00.0,Jump ball: A. Davis vs. M. Gasol (T. Frazier gains possession),,,,Jump ball: A. Davis vs. M. Gasol (T. Frazier gains possession)
11:43.0,Defensive rebound by M. Gasol,,0-0,,
11:22.0,M. Gasol makes 2-pt shot from 14 ft,2,2-0,,
11:10.0,,,2-2,2,T. Frazier makes 2-pt shot from 16 ft
10:53.0,M. Gasol makes 2-pt shot from 1 ft,2,4-2,,
10:34.0,,,4-5,3,B. Hield makes 3-pt shot from 27 ft (assist by T. Frazier)
10:21.0,M. Gasol misses 3-pt shot from 25 ft,,4-5,,
10:20.0,,,4-5,,Defensive rebound by T. Frazier
10:12.0,,,4-5,,T. Frazier misses 2-pt shot from 2 ft
10:11.0,Defensive rebound by M. Gasol,,4-5,,
10:07.0,J. Green makes 2-pt shot from 2 ft (assist by M. Gasol),2,6-5,,
10:07.0,Shooting foul by B. Hield (drawn by J. Green),,6-5,,
10:07.0,J. Green misses free throw 1 of 1,,6-5,,
10:06.0,,,6-5,,Defensive rebound by O. Asik
9:53.0,,,6-5,,B. Hield misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by J. Green,,6-5,,
9:40.0,J. Green misses 3-pt shot from 24 ft,,6-5,,
9:39.0,,,6-5,,Defensive rebound by B. Hield
9:28.0,,,6-5,,A. Davis misses 3-pt shot from 25 ft
9:27.0,Defensive rebound by M. Gasol,,6-5,,
9:21.0,M. Gasol misses 2-pt shot from 7 ft,,6-5,,
9:19.0,,,6-5,,Defensive rebound by A. Davis
9:08.0,,,6-5,,O. Asik misses 2-pt shot from 2 ft
9:07.0,Defensive rebound by J. Green,,6-5,,
8:48.0,Turnover by M. Gasol (bad pass),,6-5,,
8:31.0,,,6-5,,Turnover by S. Hill (bad pass; steal by T. Allen)
8:28.0,T. Williams makes 2-pt shot from 1 ft,2,8-5,,
8:15.0,Personal foul by J. Green (drawn by A. Davis),,8-5,,
8:11.0,,,8-5,,S. Hill misses 2-pt shot from 2 ft
8:10.0,Defensive rebound by J. Green,,8-5,,
8:02.0,M. Gasol misses 2-pt shot from 19 ft,,8-5,,
8:01.0,,,8-5,,Defensive rebound by A. Davis
7:52.0,Violation by M. Gasol (kicked ball),,8-5,,
7:44.0,,,8-5,,T. Frazier misses 2-pt shot from 21 ft
7:43.0,Defensive rebound by T. Williams,,8-5,,
7:30.0,T. Williams misses 3-pt shot from 25 ft,,8-5,,
7:29.0,,,8-5,,Defensive rebound by O. Asik
7:17.0,,,8-5,,O. Asik misses 2-pt shot from 2 ft (block by T. Allen)
7:17.0,,,8-5,,Offensive rebound by Team
7:17.0,,,8-5,,T. Jones enters the game for O. Asik
7:14.0,,,8-5,,S. Hill misses 3-pt shot from 23 ft
7:13.0,Defensive rebound by T. Allen,,8-5,,
6:57.0,A. Harrison misses 2-pt shot from 15 ft,,8-5,,
6:56.0,,,8-5,,Defensive rebound by B. Hield
6:41.0,Personal foul by J. Green (drawn by A. Davis),,8-5,,
6:41.0,J. Martin enters the game for J. Green,,8-5,,
6:35.0,,,8-5,,Turnover by T. Frazier (bad pass; steal by M. Gasol)
6:25.0,T. Allen makes 2-pt shot from 4 ft (assist by M. Gasol),2,10-5,,
6:11.0,,,10-7,2,T. Jones makes 2-pt shot from 2 ft (assist by T. Frazier)
6:00.0,Memphis full timeout,,10-7,,
5:48.0,M. Gasol misses 2-pt shot from 9 ft,,10-7,,
5:44.0,,,10-7,,Defensive rebound by A. Davis
5:27.0,,,10-7,,Shooting foul by J. Martin (drawn by T. Jones)
5:27.0,,,10-8,1,T. Jones makes free throw 1 of 2
5:27.0,,,10-9,1,T. Jones makes free throw 2 of 2
5:27.0,T. Daniels enters the game for T. Allen,,10-8,,
5:12.0,Turnover by A. Harrison (bad pass; steal by B. Hield),,10-9,,
5:01.0,,,10-11,2,A. Davis makes 2-pt shot from 3 ft
4:46.0,,,10-11,,Personal foul by B. Hield (drawn by A. Harrison)
4:46.0,,,10-11,,L. Galloway enters the game for B. Hield
4:38.0,A. Harrison misses 3-pt shot from 25 ft,,10-11,,
4:38.0,,,10-11,,Defensive rebound by T. Jones
4:27.0,,,10-11,,Turnover by T. Frazier (bad pass; steal by A. Harrison)
4:18.0,Shooting foul by T. Jones (drawn by A. Harrison),,10-11,,
4:18.0,A. Harrison misses free throw 1 of 2,,10-11,,
4:18.0,Offensive rebound by Team,,10-11,,
4:18.0,A. Harrison makes free throw 2 of 2,1,11-11,,
4:18.0,,,10-11,,A. Ajinca enters the game for A. Davis
4:00.0,Personal foul by M. Gasol (drawn by L. Galloway),,11-11,,
4:00.0,W. Baldwin enters the game for A. Harrison,,11-11,,
