time,Phoenix,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Valanciunas (E. Bledsoe gains possession),,,,Jump ball: T. Chandler vs. J. Valanciunas (E. Bledsoe gains possession)
11:41.0,E. Bledsoe makes 3-pt shot from 24 ft (assist by D. Booker),3,3-0,,
11:25.0,,,3-2,2,D. DeRozan makes 2-pt shot from 9 ft (assist by K. Lowry)
11:12.0,Turnover by E. Bledsoe (bad pass; steal by D. DeRozan),,3-2,,
11:03.0,,,3-2,,Shooting foul by M. Chriss (drawn by D. DeRozan)
11:03.0,,,3-3,1,D. DeRozan makes free throw 1 of 2
11:03.0,,,3-4,1,D. DeRozan makes free throw 2 of 2
10:54.0,Turnover by T. Chandler (bad pass; steal by L. Nogueira),,3-4,,
10:49.0,,,3-6,2,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry)
10:24.0,M. Chriss misses 3-pt shot from 24 ft,,3-6,,
10:24.0,,,3-6,,Defensive rebound by J. Valanciunas
10:18.0,Personal foul by T. Warren,,3-6,,
10:07.0,,,3-6,,D. Carroll misses 2-pt shot from 3 ft
10:07.0,,,3-6,,Offensive rebound by J. Valanciunas
10:04.0,,,3-8,2,J. Valanciunas makes 2-pt shot from 1 ft
9:56.0,Turnover by T. Chandler (bad pass; steal by D. Carroll),,3-8,,
9:50.0,,,3-10,2,L. Nogueira makes 2-pt shot from 1 ft (assist by K. Lowry)
9:50.0,Phoenix full timeout,,3-10,,
9:32.0,D. Booker misses 3-pt shot from 25 ft,,3-10,,
9:31.0,,,3-10,,Defensive rebound by J. Valanciunas
9:25.0,,,3-12,2,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry)
9:06.0,T. Warren makes 2-pt shot from 8 ft,2,5-12,,
8:46.0,,,5-12,,D. DeRozan misses 2-pt shot from 20 ft
8:45.0,,,5-12,,Offensive rebound by J. Valanciunas
8:43.0,,,5-12,,J. Valanciunas misses 2-pt shot at rim
8:42.0,,,5-12,,Offensive rebound by J. Valanciunas
8:39.0,,,5-14,2,J. Valanciunas makes 2-pt shot from 1 ft
8:30.0,E. Bledsoe makes 2-pt shot from 6 ft,2,7-14,,
8:17.0,,,7-14,,Turnover by K. Lowry (bad pass; steal by D. Booker)
8:12.0,D. Booker makes 2-pt shot from 3 ft,2,9-14,,
7:58.0,,,9-14,,Turnover by D. DeRozan (bad pass; steal by M. Chriss)
7:53.0,T. Warren makes 2-pt shot at rim (assist by E. Bledsoe),2,11-14,,
7:30.0,,,11-16,2,J. Valanciunas makes 2-pt shot from 6 ft
7:26.0,,,11-16,,Violation by Team (jump ball)
