time,Houston,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. N. Hilario (E. Ilyasova gains possession),,,,Jump ball: J. Embiid vs. N. Hilario (E. Ilyasova gains possession)
11:47.0,,,0-2,2,J. Embiid makes 2-pt shot at rim (assist by T. McConnell)
11:26.0,N. Hilario makes 2-pt shot from 3 ft (assist by J. Harden),2,2-2,,
11:11.0,,,2-2,,J. Embiid misses 2-pt shot from 14 ft
11:10.0,Defensive rebound by J. Harden,,2-2,,
10:55.0,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden),3,5-2,,
10:32.0,,,5-2,,R. Covington misses 3-pt shot from 24 ft
10:31.0,Defensive rebound by Team,,5-2,,
10:18.0,J. Harden misses 3-pt shot from 25 ft,,5-2,,
10:17.0,,,5-2,,Defensive rebound by J. Embiid
10:08.0,,,5-2,,Turnover by J. Embiid (traveling)
10:01.0,N. Hilario makes 2-pt shot at rim (assist by J. Harden),2,7-2,,
9:51.0,,,7-5,3,J. Embiid makes 3-pt shot from 24 ft (assist by T. McConnell)
9:42.0,T. Ariza misses 3-pt shot from 25 ft,,7-5,,
9:41.0,,,7-5,,Defensive rebound by T. McConnell
9:37.0,Personal foul by N. Hilario (drawn by J. Embiid),,7-5,,
9:30.0,,,7-7,2,N. Stauskas makes 2-pt shot from 18 ft
9:15.0,N. Hilario makes 2-pt shot from 2 ft (assist by J. Harden),2,9-7,,
9:15.0,Shooting foul by J. Embiid (drawn by N. Hilario),,9-7,,
9:15.0,N. Hilario makes free throw 1 of 1,1,10-7,,
9:06.0,Personal foul by R. Anderson (drawn by J. Embiid),,10-7,,
8:56.0,,,10-7,,T. McConnell misses 2-pt shot from 14 ft
8:55.0,Defensive rebound by P. Beverley,,10-7,,
8:47.0,R. Anderson misses 3-pt shot from 28 ft,,10-7,,
8:46.0,,,10-7,,Defensive rebound by E. Ilyasova
8:37.0,,,10-9,2,J. Embiid makes 2-pt shot from 2 ft (assist by T. McConnell)
8:25.0,J. Harden makes 3-pt shot from 24 ft,3,13-9,,
8:06.0,,,13-9,,N. Stauskas misses 3-pt shot from 24 ft
8:05.0,Defensive rebound by T. Ariza,,13-9,,
7:40.0,J. Harden makes 3-pt shot from 25 ft (assist by N. Hilario),3,16-9,,
7:29.0,,,16-9,,Turnover by E. Ilyasova (bad pass)
7:13.0,J. Harden makes 2-pt shot from 12 ft,2,18-9,,
6:57.0,,,18-9,,Turnover by E. Ilyasova (offensive foul)
6:57.0,,,18-9,,Offensive foul by E. Ilyasova
6:57.0,,,18-9,,S. Rodriguez enters the game for T. McConnell
6:57.0,,,18-9,,N. Noel enters the game for J. Embiid
