time,Charlotte,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. C. Zeller (I. Thomas gains possession),,,,Jump ball: A. Johnson vs. C. Zeller (I. Thomas gains possession)
11:47.0,,,0-0,,Shooting foul by N. Batum (drawn by J. Crowder)
11:47.0,,,0-1,1,J. Crowder makes free throw 1 of 2
11:47.0,,,0-2,1,J. Crowder makes free throw 2 of 2
11:28.0,C. Zeller misses 2-pt shot from 19 ft,,0-2,,
11:27.0,Offensive rebound by R. Sessions,,0-2,,
11:18.0,N. Batum misses 3-pt shot from 25 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by A. Bradley
11:07.0,,,0-2,,A. Bradley misses 2-pt shot from 21 ft
11:06.0,Defensive rebound by M. Williams,,0-2,,
10:57.0,N. Batum makes 2-pt shot from 20 ft (assist by R. Sessions),2,2-2,,
10:45.0,,,2-4,2,A. Horford makes 2-pt shot from 20 ft (assist by I. Thomas)
10:29.0,R. Sessions makes 2-pt shot from 20 ft (assist by C. Zeller),2,4-4,,
10:12.0,,,4-4,,I. Thomas misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by C. Zeller,,4-4,,
10:04.0,,,4-4,,Personal foul by A. Bradley (drawn by C. Zeller)
9:56.0,Turnover by N. Batum (bad pass; steal by A. Horford),,4-4,,
9:44.0,,,4-4,,I. Thomas misses 3-pt shot from 23 ft
9:44.0,Defensive rebound by C. Zeller,,4-4,,
9:38.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by A. Horford),,4-4,,
9:37.0,Offensive rebound by C. Zeller,,4-4,,
9:37.0,C. Zeller misses 2-pt shot from 1 ft,,4-4,,
9:35.0,Offensive rebound by C. Zeller,,4-4,,
9:35.0,C. Zeller misses 2-pt shot at rim,,4-4,,
9:34.0,,,4-4,,Defensive rebound by A. Johnson
9:15.0,,,4-4,,I. Thomas misses 2-pt shot from 1 ft
9:14.0,Defensive rebound by N. Batum,,4-4,,
9:06.0,R. Sessions misses 3-pt shot from 25 ft,,4-4,,
9:05.0,,,4-4,,Defensive rebound by A. Johnson
8:54.0,,,4-4,,A. Horford misses 2-pt shot from 8 ft
8:51.0,Defensive rebound by R. Sessions,,4-4,,
8:45.0,M. Williams misses 3-pt shot from 25 ft,,4-4,,
8:44.0,,,4-4,,Defensive rebound by A. Horford
8:22.0,,,4-6,2,A. Bradley makes 2-pt shot from 11 ft
8:04.0,M. Williams makes 3-pt shot from 23 ft (assist by N. Batum),3,7-6,,
7:53.0,,,7-8,2,I. Thomas makes 2-pt shot from 1 ft
7:53.0,,,7-8,,Shooting foul by C. Zeller (drawn by I. Thomas)
7:53.0,,,7-8,,I. Thomas misses free throw 1 of 1
7:53.0,Defensive rebound by M. Kidd-Gilchrist,,7-8,,
7:39.0,N. Batum makes 2-pt shot from 10 ft,2,9-8,,
7:39.0,Shooting foul by A. Bradley (drawn by N. Batum),,9-8,,
7:39.0,N. Batum makes free throw 1 of 1,1,10-8,,
7:22.0,,,10-8,,Shooting foul by M. Kidd-Gilchrist (drawn by A. Johnson)
7:22.0,,,10-8,,A. Johnson misses free throw 1 of 2
7:22.0,,,10-8,,Offensive rebound by Team
7:22.0,,,10-8,,A. Johnson misses free throw 2 of 2
7:22.0,Defensive rebound by M. Kidd-Gilchrist,,10-8,,
7:09.0,,,10-8,,Def 3 sec tech foul by A. Johnson
7:09.0,N. Batum makes technical free throw,1,11-8,,
6:59.0,N. Batum misses 2-pt shot from 18 ft,,11-8,,
6:58.0,,,11-8,,Defensive rebound by A. Bradley
6:47.0,,,11-8,,Turnover by A. Bradley (bad pass; steal by C. Zeller)
6:40.0,M. Williams misses 2-pt shot from 3 ft (block by A. Horford),,11-8,,
6:40.0,Offensive rebound by Team,,11-8,,
6:26.0,M. Kidd-Gilchrist makes 3-pt shot from 25 ft (assist by R. Sessions),3,14-8,,
6:17.0,,,14-8,,Turnover by A. Johnson (bad pass; steal by N. Batum)
6:14.0,N. Batum misses 2-pt shot from 3 ft (block by A. Johnson),,14-8,,
6:13.0,Offensive rebound by Team,,14-8,,
6:09.0,C. Zeller misses 2-pt shot from 7 ft,,14-8,,
6:08.0,,,14-8,,Defensive rebound by A. Bradley
5:43.0,,,14-10,2,I. Thomas makes 2-pt shot from 2 ft (assist by J. Crowder)
5:23.0,N. Batum misses 2-pt shot from 23 ft,,14-10,,
5:21.0,,,14-10,,Defensive rebound by J. Crowder
5:08.0,,,14-10,,A. Bradley misses 3-pt shot from 25 ft
5:06.0,Defensive rebound by M. Kidd-Gilchrist,,14-10,,
5:02.0,,,14-10,,Shooting block foul by J. Crowder (drawn by R. Sessions)
5:02.0,,,14-10,,Boston full timeout
5:02.0,R. Sessions makes free throw 1 of 2,1,15-10,,
5:02.0,R. Sessions makes free throw 2 of 2,1,16-10,,
5:02.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,14-10,,
5:02.0,F. Kaminsky enters the game for M. Williams,,14-10,,
5:02.0,,,14-10,,M. Smart enters the game for A. Johnson
5:02.0,,,14-10,,J. Brown enters the game for A. Bradley
