time,Memphis,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. D. Jordan (M. Conley gains possession),,,,Jump ball: M. Gasol vs. D. Jordan (M. Conley gains possession)
11:35.0,M. Conley misses 2-pt shot from 22 ft,,0-0,,
11:31.0,Offensive rebound by M. Gasol,,0-0,,
11:24.0,T. Allen misses 3-pt shot from 27 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by L. Mbah a Moute
11:01.0,,,0-3,3,A. Rivers makes 3-pt shot from 27 ft (assist by L. Mbah a Moute)
10:44.0,M. Gasol makes 2-pt shot from 4 ft (assist by M. Conley),2,2-3,,
10:26.0,,,2-5,2,J. Redick makes 2-pt shot from 20 ft (assist by R. Felton)
10:12.0,M. Conley misses 2-pt shot from 5 ft,,2-5,,
10:09.0,,,2-5,,Defensive rebound by A. Rivers
10:04.0,,,2-5,,Turnover by A. Rivers (lost ball; steal by J. Ennis)
9:58.0,J. Martin makes 3-pt shot from 24 ft (assist by M. Conley),3,5-5,,
9:30.0,,,5-5,,L. Mbah a Moute misses 2-pt shot from 2 ft
9:28.0,,,5-5,,Offensive rebound by L. Mbah a Moute
9:28.0,,,5-5,,L. Mbah a Moute misses 2-pt shot from 3 ft
9:27.0,Defensive rebound by M. Gasol,,5-5,,
9:20.0,M. Gasol makes 3-pt shot from 26 ft (assist by J. Ennis),3,8-5,,
9:06.0,,,8-5,,Turnover by R. Felton (lost ball)
8:51.0,Turnover by M. Gasol (lost ball; steal by R. Felton),,8-5,,
8:46.0,,,8-7,2,D. Jordan makes 2-pt shot at rim (assist by R. Felton)
8:21.0,M. Gasol misses 2-pt shot from 13 ft,,8-7,,
8:18.0,Offensive rebound by J. Martin,,8-7,,
8:18.0,J. Martin misses 2-pt shot from 3 ft,,8-7,,
8:17.0,Offensive rebound by J. Martin,,8-7,,
8:16.0,J. Martin misses 2-pt shot from 2 ft (block by L. Mbah a Moute),,8-7,,
8:16.0,,,8-7,,Defensive rebound by L. Mbah a Moute
8:16.0,Personal foul by T. Allen (drawn by L. Mbah a Moute),,8-7,,
8:04.0,,,8-7,,Turnover by J. Redick (lost ball)
7:50.0,T. Allen misses 2-pt shot from 19 ft,,8-7,,
7:50.0,,,8-7,,Defensive rebound by Team
7:34.0,,,8-7,,Shooting foul by J. Martin (drawn by L. Mbah a Moute)
7:34.0,,,8-9,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by R. Felton)
7:34.0,,,8-10,1,L. Mbah a Moute makes free throw 1 of 1
7:19.0,Turnover by M. Conley (offensive foul),,8-10,,
7:19.0,Offensive charge foul by M. Conley,,8-10,,
7:09.0,,,8-10,,Shooting foul by J. Ennis (drawn by D. Jordan)
7:09.0,,,8-10,,D. Jordan misses free throw 1 of 2
7:09.0,,,8-10,,Offensive rebound by Team
7:09.0,,,8-10,,D. Jordan misses free throw 2 of 2
7:09.0,Defensive rebound by Team,,8-10,,
6:55.0,M. Conley misses 2-pt shot from 21 ft,,8-10,,
6:54.0,Offensive rebound by T. Allen,,8-10,,
6:54.0,T. Allen makes 2-pt shot from 1 ft,2,10-10,,
6:38.0,,,10-10,,R. Felton misses 2-pt shot from 20 ft
6:35.0,,,10-10,,Offensive rebound by D. Jordan
6:35.0,,,10-12,2,D. Jordan makes 2-pt shot from 2 ft
