time,Orlando,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. J. Embiid (E. Ilyasova gains possession),,,,Jump ball: B. Biyombo vs. J. Embiid (E. Ilyasova gains possession)
11:39.0,,,0-0,,E. Ilyasova misses 2-pt shot from 1 ft
11:37.0,,,0-0,,Offensive rebound by J. Embiid
11:37.0,,,0-0,,J. Embiid misses 2-pt shot from 1 ft
11:35.0,,,0-0,,Offensive rebound by J. Embiid
11:35.0,,,0-0,,J. Embiid misses 2-pt shot from 2 ft
11:33.0,,,0-0,,Offensive rebound by J. Embiid
11:32.0,,,0-0,,J. Embiid misses 2-pt shot from 9 ft
11:31.0,Defensive rebound by B. Biyombo,,0-0,,
11:20.0,Offensive foul by D. Augustin,,0-0,,
11:20.0,Turnover by D. Augustin (offensive foul),,0-0,,
11:02.0,,,0-0,,E. Ilyasova misses 3-pt shot from 26 ft
11:01.0,,,0-0,,Offensive rebound by G. Henderson
10:59.0,,,0-2,2,G. Henderson makes 2-pt shot from 2 ft
10:40.0,A. Gordon makes 3-pt shot from 25 ft (assist by B. Biyombo),3,3-2,,
10:23.0,,,3-5,3,R. Covington makes 3-pt shot from 25 ft (assist by J. Embiid)
10:02.0,E. Fournier misses 2-pt shot from 5 ft,,3-5,,
10:00.0,,,3-5,,Defensive rebound by R. Covington
9:50.0,,,3-5,,R. Covington misses 3-pt shot from 26 ft
9:48.0,Defensive rebound by B. Biyombo,,3-5,,
9:44.0,Offensive foul by A. Gordon,,3-5,,
9:44.0,Turnover by A. Gordon (offensive foul),,3-5,,
9:31.0,,,3-7,2,J. Embiid makes 2-pt shot from 8 ft
9:12.0,D. Augustin misses 3-pt shot from 25 ft,,3-7,,
9:10.0,,,3-7,,Defensive rebound by J. Embiid
8:57.0,,,3-7,,J. Embiid misses 2-pt shot at rim
8:56.0,Defensive rebound by E. Fournier,,3-7,,
8:48.0,,,3-7,,Personal foul by R. Covington (drawn by E. Fournier)
8:40.0,A. Gordon misses 2-pt shot from 15 ft,,3-7,,
8:38.0,,,3-7,,Defensive rebound by S. Rodriguez
8:31.0,,,3-9,2,S. Rodriguez makes 2-pt shot from 19 ft (assist by J. Embiid)
8:16.0,E. Fournier misses 2-pt shot from 9 ft (block by E. Ilyasova),,3-9,,
8:15.0,Offensive rebound by B. Biyombo,,3-9,,
8:15.0,Shooting foul by R. Covington (drawn by B. Biyombo),,3-9,,
8:15.0,B. Biyombo misses free throw 1 of 2,,3-9,,
8:15.0,Offensive rebound by Team,,3-9,,
8:15.0,B. Biyombo misses free throw 2 of 2,,3-9,,
8:15.0,,,3-9,,Defensive rebound by G. Henderson
8:15.0,,,3-9,,J. Okafor enters the game for R. Covington
8:15.0,,,3-9,,N. Stauskas enters the game for J. Embiid
8:05.0,,,3-9,,S. Rodriguez misses 2-pt shot from 9 ft
8:04.0,Defensive rebound by D. Augustin,,3-9,,
7:45.0,E. Fournier misses 2-pt shot from 18 ft,,3-9,,
7:44.0,,,3-9,,Defensive rebound by E. Ilyasova
7:35.0,,,3-9,,E. Ilyasova misses 2-pt shot from 10 ft (block by A. Gordon)
7:33.0,Defensive rebound by S. Ibaka,,3-9,,
7:20.0,S. Ibaka misses 3-pt shot from 25 ft,,3-9,,
7:18.0,,,3-9,,Defensive rebound by J. Okafor
7:05.0,,,3-9,,N. Stauskas misses 3-pt shot from 26 ft
7:03.0,Defensive rebound by A. Gordon,,3-9,,
6:48.0,S. Ibaka makes 2-pt shot from 9 ft (assist by E. Fournier),2,5-9,,
6:37.0,Personal foul by B. Biyombo (drawn by J. Okafor),,5-9,,
6:37.0,N. Vucevic enters the game for B. Biyombo,,5-9,,
6:25.0,,,5-9,,J. Okafor misses 2-pt shot from 7 ft
6:23.0,Defensive rebound by N. Vucevic,,5-9,,
6:12.0,E. Fournier misses 2-pt shot from 4 ft (block by J. Okafor),,5-9,,
6:12.0,Offensive rebound by Team,,5-9,,
6:03.0,A. Gordon makes 2-pt shot from 15 ft (assist by D. Augustin),2,7-9,,
5:50.0,,,7-9,,G. Henderson misses 2-pt shot from 19 ft
