time,LA Lakers,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. D. Nowitzki (J. Randle gains possession),,,,Jump ball: T. Mozgov vs. D. Nowitzki (J. Randle gains possession)
11:43.0,L. Deng makes 2-pt shot from 2 ft (assist by J. Randle),2,2-0,,
11:15.0,,,2-0,,D. Williams misses 3-pt shot from 33 ft
11:14.0,Defensive rebound by T. Mozgov,,2-0,,
11:03.0,N. Young misses 3-pt shot from 25 ft,,2-0,,
11:02.0,,,2-0,,Defensive rebound by W. Matthews
10:45.0,,,2-2,2,W. Matthews makes 2-pt shot from 5 ft
10:28.0,B. Ingram misses 2-pt shot from 2 ft,,2-2,,
10:27.0,,,2-2,,Defensive rebound by D. Nowitzki
10:21.0,,,2-4,2,D. Williams makes 2-pt shot from 3 ft
10:12.0,L. Deng misses 3-pt shot from 25 ft,,2-4,,
10:11.0,,,2-4,,Defensive rebound by D. Nowitzki
9:54.0,,,2-6,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Williams)
9:27.0,B. Ingram misses 3-pt shot from 24 ft,,2-6,,
9:27.0,Offensive rebound by Team,,2-6,,
9:27.0,Turnover by Team (shot clock),,2-6,,
9:18.0,Personal foul by B. Ingram (drawn by D. Williams),,2-6,,
9:07.0,,,2-6,,H. Barnes misses 2-pt shot from 17 ft
9:07.0,Defensive rebound by L. Deng,,2-6,,
8:46.0,T. Mozgov misses 2-pt shot from 5 ft,,2-6,,
8:45.0,,,2-6,,Defensive rebound by H. Barnes
8:35.0,,,2-6,,D. Nowitzki misses 3-pt shot from 25 ft
8:34.0,Defensive rebound by J. Randle,,2-6,,
8:28.0,Shooting foul by D. Nowitzki (drawn by T. Mozgov),,2-6,,
8:28.0,T. Mozgov makes free throw 1 of 2,1,3-6,,
8:28.0,T. Mozgov makes free throw 2 of 2,1,4-6,,
8:20.0,,,4-9,3,S. Curry makes 3-pt shot from 23 ft (assist by D. Williams)
8:10.0,Turnover by B. Ingram (bad pass; steal by W. Matthews),,4-9,,
8:06.0,,,4-11,2,S. Curry makes 2-pt shot from 1 ft (assist by W. Matthews)
7:46.0,N. Young makes 2-pt shot from 18 ft,2,6-11,,
7:33.0,,,6-13,2,S. Curry makes 2-pt shot from 6 ft
7:22.0,,,6-13,,Personal foul by S. Curry (drawn by B. Ingram)
7:22.0,J. Calderon enters the game for B. Ingram,,6-13,,
7:22.0,,,6-13,,S. Mejri enters the game for D. Nowitzki
7:14.0,L. Deng makes 3-pt shot from 23 ft (assist by T. Mozgov),3,9-13,,
6:55.0,,,9-13,,H. Barnes misses 3-pt shot from 24 ft
6:54.0,Defensive rebound by N. Young,,9-13,,
6:47.0,J. Randle makes 2-pt shot from 2 ft,2,11-13,,
6:46.0,,,11-13,,Dallas full timeout
6:27.0,,,11-13,,Shooting foul by J. Randle (drawn by S. Mejri)
6:27.0,,,11-14,1,S. Mejri makes free throw 1 of 2
6:27.0,,,11-15,1,S. Mejri makes free throw 2 of 2
6:12.0,N. Young makes 3-pt shot from 25 ft (assist by J. Randle),3,14-15,,
6:00.0,,,14-15,,H. Barnes misses 2-pt shot from 19 ft
6:00.0,Defensive rebound by T. Mozgov,,14-15,,
5:50.0,J. Randle makes 2-pt shot from 17 ft,2,16-15,,
5:26.0,,,16-18,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Williams)
5:10.0,Turnover by J. Randle (traveling),,16-18,,
5:10.0,LA Lakers full timeout,,16-18,,
5:10.0,B. Ingram enters the game for L. Deng,,16-18,,
5:10.0,T. Black enters the game for J. Randle,,16-18,,
5:10.0,J. Clarkson enters the game for N. Young,,16-18,,
4:50.0,,,16-18,,W. Matthews misses 2-pt shot from 19 ft
4:50.0,Defensive rebound by Team,,16-18,,
4:37.0,B. Ingram makes 2-pt shot from 5 ft,2,18-18,,
4:25.0,Personal foul by T. Mozgov (drawn by S. Curry),,18-18,,
4:25.0,,,18-18,,Violation by Team (jump ball)
4:16.0,,,18-20,2,H. Barnes makes 2-pt shot from 8 ft (assist by D. Williams)
3:59.0,B. Ingram misses 2-pt shot from 6 ft (block by S. Mejri),,18-20,,
3:59.0,Offensive rebound by Team,,18-20,,
3:59.0,I. Zubac enters the game for T. Mozgov,,18-20,,
3:54.0,,,18-20,,D. Harris enters the game for S. Curry
3:52.0,L. Williams enters the game for J. Calderon,,18-20,,
3:47.0,B. Ingram misses 2-pt shot from 16 ft,,18-20,,
3:46.0,Offensive rebound by I. Zubac,,18-20,,
3:33.0,J. Clarkson misses 2-pt shot from 18 ft,,18-20,,
3:32.0,,,18-20,,Defensive rebound by S. Mejri
3:21.0,,,18-20,,H. Barnes misses 3-pt shot from 25 ft
3:20.0,Defensive rebound by J. Clarkson,,18-20,,
3:12.0,J. Clarkson makes 2-pt shot from 21 ft,2,20-20,,
2:58.0,Personal foul by T. Black (drawn by D. Williams),,20-20,,
2:58.0,,,20-20,,D. Finney-Smith enters the game for H. Barnes
2:58.0,,,20-20,,D. Nowitzki enters the game for W. Matthews
2:46.0,,,20-23,3,D. Harris makes 3-pt shot from 24 ft (assist by D. Nowitzki)
2:29.0,J. Clarkson makes 2-pt shot from 7 ft,2,22-23,,
2:08.0,,,22-23,,D. Nowitzki misses 2-pt shot from 17 ft
2:08.0,Defensive rebound by I. Zubac,,22-23,,
1:57.0,T. Black misses 2-pt shot from 6 ft (block by S. Mejri),,22-23,,
1:55.0,,,22-23,,Defensive rebound by D. Williams
1:51.0,,,22-23,,Shooting foul by B. Ingram (drawn by D. Finney-Smith)
1:51.0,,,22-24,1,D. Finney-Smith makes free throw 1 of 2
1:51.0,,,22-25,1,D. Finney-Smith makes free throw 2 of 2
1:51.0,,,22-24,,S. Curry enters the game for D. Williams
1:40.0,L. Williams misses 3-pt shot from 25 ft,,22-25,,
1:39.0,,,22-25,,Defensive rebound by D. Finney-Smith
1:26.0,,,22-27,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by S. Curry)
1:07.0,Turnover by J. Clarkson (traveling),,22-27,,
0:56.0,,,22-27,,S. Mejri misses 2-pt shot from 2 ft
0:54.0,,,22-27,,Offensive rebound by S. Curry
0:52.0,,,22-29,2,S. Curry makes 2-pt shot from 2 ft
0:38.0,Turnover by L. Williams (lost ball),,22-29,,
0:34.0,,,22-29,,D. Harris misses 3-pt shot from 26 ft
0:33.0,Defensive rebound by J. Clarkson,,22-29,,
0:13.0,J. Clarkson misses 2-pt shot from 19 ft,,22-29,,
0:12.0,,,22-29,,Defensive rebound by S. Curry
0:01.0,,,22-29,,D. Nowitzki misses 3-pt shot from 27 ft
0:00.0,,,22-29,,Offensive rebound by D. Finney-Smith
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,22-29,,D. Powell misses 2-pt shot from 1 ft (block by I. Zubac)
11:48.0,,,22-29,,Offensive rebound by D. Nowitzki
11:44.0,,,22-31,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by D. Powell)
11:24.0,Turnover by J. Clarkson (bad pass; steal by D. Powell),,22-31,,
