time,Memphis,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Gortat (C. Parsons gains possession),,,,Jump ball: M. Gasol vs. M. Gortat (C. Parsons gains possession)
11:41.0,C. Parsons misses 2-pt shot from 7 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by M. Gortat
11:26.0,,,0-0,,Shooting foul by J. Green (drawn by M. Morris)
11:26.0,,,0-1,1,M. Morris makes free throw 1 of 3
11:26.0,,,0-2,1,M. Morris makes free throw 2 of 3
11:26.0,,,0-3,1,M. Morris makes free throw 3 of 3
11:11.0,M. Gasol makes 2-pt shot from 4 ft (assist by M. Conley),2,2-3,,
10:56.0,,,2-5,2,M. Gortat makes 2-pt shot from 9 ft (assist by J. Wall)
10:46.0,M. Gasol misses 3-pt shot from 29 ft,,2-5,,
10:45.0,,,2-5,,Defensive rebound by M. Morris
10:40.0,,,2-7,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
10:27.0,M. Conley makes 3-pt shot from 26 ft,3,5-7,,
10:13.0,,,5-7,,B. Beal misses 2-pt shot from 19 ft
10:12.0,Defensive rebound by J. Green,,5-7,,
9:58.0,C. Parsons misses 3-pt shot from 27 ft,,5-7,,
9:57.0,,,5-7,,Defensive rebound by O. Porter
9:43.0,,,5-7,,J. Wall misses 3-pt shot from 25 ft
9:42.0,Defensive rebound by M. Gasol,,5-7,,
9:31.0,M. Conley makes 2-pt shot from 1 ft,2,7-7,,
9:11.0,,,7-10,3,O. Porter makes 3-pt shot from 27 ft (assist by M. Morris)
8:46.0,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley),2,9-10,,
8:28.0,,,9-10,,M. Gortat misses 2-pt shot at rim
8:27.0,Defensive rebound by C. Parsons,,9-10,,
8:18.0,Turnover by C. Parsons (bad pass),,9-10,,
8:06.0,,,9-13,3,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall)
7:44.0,M. Gasol makes 2-pt shot from 12 ft,2,11-13,,
7:29.0,,,11-13,,M. Morris misses 3-pt shot from 23 ft
7:28.0,Defensive rebound by T. Allen,,11-13,,
7:23.0,Turnover by T. Allen (bad pass; steal by B. Beal),,11-13,,
7:13.0,,,11-15,2,M. Gortat makes 2-pt shot from 4 ft (assist by J. Wall)
7:09.0,Memphis full timeout,,11-15,,
6:58.0,M. Gasol misses 2-pt shot from 9 ft,,11-15,,
6:57.0,,,11-15,,Defensive rebound by M. Morris
6:52.0,,,11-17,2,J. Wall makes 2-pt shot at rim
6:37.0,Shooting foul by M. Morris (drawn by C. Parsons),,11-17,,
6:37.0,C. Parsons makes free throw 1 of 2,1,12-17,,
6:37.0,C. Parsons misses free throw 2 of 2,,12-17,,
6:36.0,,,12-17,,Defensive rebound by M. Gortat
6:12.0,,,12-17,,J. Wall misses 2-pt shot from 4 ft
6:12.0,,,12-17,,Offensive rebound by Team
6:12.0,,,12-17,,Turnover by Team (shot clock)
6:00.0,M. Conley misses 3-pt shot from 27 ft,,12-17,,
5:59.0,,,12-17,,Defensive rebound by M. Morris
5:50.0,,,12-17,,B. Beal misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by J. Green,,12-17,,
5:45.0,Shooting foul by J. Wall (drawn by M. Conley),,12-17,,
5:45.0,M. Conley makes free throw 1 of 2,1,13-17,,
5:45.0,M. Conley makes free throw 2 of 2,1,14-17,,
5:45.0,V. Carter enters the game for C. Parsons,,13-17,,
5:45.0,,,13-17,,K. Oubre enters the game for M. Morris
5:45.0,Z. Randolph enters the game for M. Gasol,,13-17,,
5:27.0,,,14-20,3,O. Porter makes 3-pt shot from 25 ft (assist by B. Beal)
5:06.0,Z. Randolph misses 2-pt shot from 23 ft,,14-20,,
5:05.0,,,14-20,,Defensive rebound by O. Porter
4:51.0,,,14-23,3,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall)
4:36.0,J. Green makes 2-pt shot at rim (assist by M. Conley),2,16-23,,
4:15.0,,,16-23,,K. Oubre misses 3-pt shot from 23 ft
4:14.0,,,16-23,,Offensive rebound by M. Gortat
4:10.0,,,16-23,,O. Porter misses 3-pt shot from 28 ft
4:10.0,Defensive rebound by V. Carter,,16-23,,
3:57.0,Z. Randolph makes 2-pt shot from 19 ft (assist by M. Conley),2,18-23,,
3:44.0,,,18-23,,Shooting foul by Z. Randolph (drawn by J. Wall)
3:44.0,,,18-23,,Technical foul by J. Wall
3:44.0,M. Conley makes technical free throw,1,19-23,,
3:44.0,,,19-24,1,J. Wall makes free throw 1 of 2
3:44.0,,,19-25,1,J. Wall makes free throw 2 of 2
3:44.0,A. Harrison enters the game for J. Green,,19-24,,
3:44.0,M. Gasol enters the game for M. Conley,,19-24,,
3:29.0,Z. Randolph makes 2-pt shot from 5 ft (assist by M. Gasol),2,21-25,,
3:21.0,,,21-25,,Washington full timeout
3:21.0,J. Ennis enters the game for T. Allen,,21-25,,
3:21.0,,,21-25,,J. Smith enters the game for O. Porter
3:14.0,,,21-25,,K. Oubre misses 3-pt shot from 27 ft
3:13.0,Defensive rebound by Z. Randolph,,21-25,,
2:51.0,V. Carter misses 3-pt shot from 28 ft,,21-25,,
2:50.0,,,21-25,,Defensive rebound by M. Gortat
2:38.0,,,21-25,,J. Smith misses 2-pt shot from 18 ft
2:37.0,Defensive rebound by J. Ennis,,21-25,,
2:29.0,J. Ennis makes 2-pt shot from 2 ft (assist by A. Harrison),2,23-25,,
2:17.0,,,23-28,3,J. Wall makes 3-pt shot from 26 ft (assist by B. Beal)
1:59.0,,,23-28,,Personal foul by M. Gortat (drawn by Z. Randolph)
1:59.0,,,23-28,,T. Satoransky enters the game for B. Beal
1:47.0,Z. Randolph misses 2-pt shot from 19 ft,,23-28,,
1:46.0,,,23-28,,Defensive rebound by K. Oubre
1:30.0,,,23-30,2,J. Wall makes 2-pt shot from 16 ft (assist by K. Oubre)
1:02.0,Z. Randolph misses 2-pt shot from 10 ft,,23-30,,
1:01.0,Offensive rebound by J. Ennis,,23-30,,
0:37.0,J. Ennis misses 3-pt shot from 24 ft,,23-30,,
0:37.0,,,23-30,,Defensive rebound by J. Smith
0:31.0,,,23-30,,J. Wall misses 3-pt shot from 27 ft
0:28.0,Defensive rebound by Z. Randolph,,23-30,,
0:11.0,,,23-30,,Personal block foul by K. Oubre (drawn by V. Carter)
0:11.0,V. Carter misses free throw 1 of 2,,23-30,,
0:11.0,Offensive rebound by Team,,23-30,,
0:11.0,V. Carter makes free throw 2 of 2,1,24-30,,
0:11.0,J. Green enters the game for Z. Randolph,,23-30,,
0:11.0,,,23-30,,B. Beal enters the game for T. Satoransky
0:01.0,,,24-30,,Turnover by J. Wall (bad pass; steal by V. Carter)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,24-32,2,M. Morris makes 2-pt shot from 17 ft (assist by K. Oubre)
11:21.0,V. Carter makes 3-pt shot from 26 ft (assist by M. Gasol),3,27-32,,
11:02.0,,,27-32,,M. Morris misses 3-pt shot from 25 ft
