time,Houston,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. M. Harrell (P. Tucker gains possession),,,,Jump ball: T. Chandler vs. M. Harrell (P. Tucker gains possession)
11:35.0,,,0-0,,E. Bledsoe misses 3-pt shot from 26 ft
11:33.0,,,0-0,,Offensive rebound by T. Chandler
11:26.0,,,0-0,,Turnover by D. Booker (bad pass; steal by T. Ariza)
11:20.0,P. Beverley makes 2-pt shot from 2 ft,2,2-0,,
11:14.0,,,2-0,,Turnover by P. Tucker (step out of bounds)
11:05.0,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden),3,5-0,,
10:44.0,,,5-2,2,M. Chriss makes 2-pt shot from 7 ft
10:29.0,M. Harrell misses 2-pt shot from 3 ft,,5-2,,
10:26.0,,,5-2,,Defensive rebound by T. Chandler
10:24.0,,,5-4,2,D. Booker makes 2-pt shot at rim
10:15.0,M. Harrell makes 2-pt shot at rim (assist by J. Harden),2,7-4,,
9:57.0,,,7-6,2,E. Bledsoe makes 2-pt shot from 1 ft
9:41.0,R. Anderson misses 3-pt shot from 27 ft,,7-6,,
9:39.0,,,7-6,,Defensive rebound by T. Chandler
9:35.0,,,7-6,,E. Bledsoe misses 2-pt shot from 20 ft
9:28.0,Defensive rebound by J. Harden,,7-6,,
9:23.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,10-6,,
9:12.0,,,10-8,2,D. Booker makes 2-pt shot at rim (assist by T. Chandler)
8:59.0,Shooting foul by P. Tucker (drawn by M. Harrell),,10-8,,
8:59.0,M. Harrell misses free throw 1 of 2,,10-8,,
8:59.0,Offensive rebound by Team,,10-8,,
8:59.0,M. Harrell makes free throw 2 of 2,1,11-8,,
8:46.0,,,11-10,2,D. Booker makes 2-pt shot from 16 ft
8:41.0,,,11-10,,Shooting block foul by D. Booker (drawn by T. Ariza)
8:41.0,T. Ariza misses free throw 1 of 2,,11-10,,
8:41.0,Offensive rebound by Team,,11-10,,
8:41.0,T. Ariza makes free throw 2 of 2,1,12-10,,
8:25.0,,,12-10,,D. Booker misses 2-pt shot from 9 ft
8:23.0,,,12-10,,Offensive rebound by D. Booker
8:22.0,,,12-10,,D. Booker misses 2-pt shot from 14 ft (block by M. Harrell)
8:19.0,Defensive rebound by J. Harden,,12-10,,
8:15.0,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden),2,14-10,,
7:54.0,,,14-13,3,M. Chriss makes 3-pt shot from 25 ft (assist by E. Bledsoe)
7:38.0,,,14-13,,Personal foul by P. Tucker (drawn by J. Harden)
7:37.0,Offensive foul by J. Harden,,14-13,,
7:37.0,Turnover by J. Harden (offensive foul),,14-13,,
7:37.0,Violation by Team (delay of game),,14-13,,
7:22.0,Violation by T. Ariza (kicked ball),,14-13,,
7:17.0,,,14-13,,P. Tucker misses 2-pt shot from 7 ft (block by M. Harrell)
7:15.0,,,14-13,,Offensive rebound by M. Chriss
7:14.0,,,14-13,,M. Chriss misses 2-pt shot from 1 ft (block by R. Anderson)
7:11.0,Defensive rebound by R. Anderson,,14-13,,
7:10.0,T. Ariza makes 2-pt shot from 1 ft,2,16-13,,
7:06.0,,,16-13,,Phoenix full timeout
6:53.0,,,16-15,2,E. Bledsoe makes 2-pt shot from 23 ft (assist by D. Booker)
6:38.0,J. Harden misses 3-pt shot from 23 ft,,16-15,,
6:36.0,Offensive rebound by J. Harden,,16-15,,
6:26.0,P. Beverley makes 2-pt shot from 1 ft (assist by T. Ariza),2,18-15,,
6:10.0,,,18-15,,D. Booker misses 2-pt shot from 22 ft
6:08.0,Defensive rebound by P. Beverley,,18-15,,
6:00.0,Turnover by P. Beverley (bad pass; steal by P. Tucker),,18-15,,
5:55.0,,,18-17,2,D. Booker makes 2-pt shot at rim (assist by P. Tucker)
5:26.0,J. Harden makes 3-pt shot from 25 ft,3,21-17,,
5:00.0,,,21-17,,D. Booker misses 3-pt shot from 24 ft
4:58.0,Defensive rebound by M. Harrell,,21-17,,
4:48.0,Shooting foul by E. Bledsoe (drawn by R. Anderson),,21-17,,
