time,New York,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. T. Thompson (C. Frye gains possession),,,,Jump ball: K. Porzingis vs. T. Thompson (C. Frye gains possession)
11:41.0,,,0-0,,C. Frye misses 2-pt shot from 9 ft
11:41.0,,,0-0,,Offensive rebound by T. Thompson
11:41.0,Personal foul by W. Hernangomez (drawn by T. Thompson),,0-0,,
11:37.0,,,0-2,2,K. Irving makes 2-pt shot from 17 ft (assist by T. Thompson)
11:16.0,C. Lee makes 2-pt shot from 16 ft,2,2-2,,
11:00.0,,,2-2,,C. Frye misses 2-pt shot from 5 ft
10:58.0,Defensive rebound by C. Anthony,,2-2,,
10:40.0,C. Lee makes 3-pt shot from 24 ft (assist by W. Hernangomez),3,5-2,,
10:25.0,,,5-2,,I. Shumpert misses 3-pt shot from 24 ft
10:25.0,Defensive rebound by W. Hernangomez,,5-2,,
10:11.0,D. Rose misses 2-pt shot from 1 ft (block by T. Thompson),,5-2,,
10:10.0,,,5-2,,Defensive rebound by L. James
10:04.0,,,5-4,2,L. James makes 2-pt shot from 3 ft
9:54.0,K. Porzingis makes 2-pt shot from 20 ft (assist by D. Rose),2,7-4,,
9:32.0,,,7-4,,C. Frye misses 3-pt shot from 24 ft
9:30.0,,,7-4,,Offensive rebound by T. Thompson
9:30.0,,,7-6,2,T. Thompson makes 2-pt shot at rim
9:13.0,C. Anthony misses 2-pt shot from 14 ft,,7-6,,
9:13.0,,,7-6,,Defensive rebound by Team
9:01.0,,,7-6,,C. Frye misses 2-pt shot from 17 ft
9:01.0,Defensive rebound by C. Lee,,7-6,,
8:54.0,C. Lee makes 2-pt shot from 13 ft,2,9-6,,
8:34.0,,,9-6,,K. Irving misses 2-pt shot from 3 ft
8:30.0,,,9-6,,Offensive rebound by T. Thompson
8:30.0,,,9-8,2,T. Thompson makes 2-pt shot from 3 ft
8:22.0,D. Rose makes 2-pt shot from 6 ft (assist by C. Lee),2,11-8,,
8:08.0,,,11-8,,I. Shumpert misses 2-pt shot from 18 ft
8:07.0,,,11-8,,Offensive rebound by T. Thompson
7:56.0,,,11-8,,T. Thompson misses 2-pt shot from 1 ft (block by K. Porzingis)
7:56.0,,,11-8,,Offensive rebound by T. Thompson
7:56.0,,,11-8,,Turnover by Team (shot clock)
7:56.0,K. O'Quinn enters the game for W. Hernangomez,,11-8,,
7:40.0,D. Rose misses 2-pt shot from 20 ft,,11-8,,
7:40.0,Offensive rebound by K. O'Quinn,,11-8,,
7:32.0,C. Anthony makes 3-pt shot from 25 ft (assist by C. Lee),3,14-8,,
