time,Oklahoma City,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. B. Lopez,,,,Jump ball: S. Adams vs. B. Lopez
11:38.0,T. Gibson misses 2-pt shot from 17 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by Team
11:17.0,,,0-3,3,B. Lopez makes 3-pt shot from 26 ft (assist by J. Lin)
11:04.0,,,0-3,,Personal foul by B. Lopez (drawn by S. Adams)
10:57.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,2-3,,
10:36.0,,,2-5,2,J. Lin makes 2-pt shot from 5 ft (assist by C. LeVert)
10:28.0,Shooting foul by J. Lin (drawn by R. Westbrook),,2-5,,
10:28.0,R. Westbrook misses free throw 1 of 3,,2-5,,
10:28.0,Offensive rebound by Team,,2-5,,
10:28.0,R. Westbrook misses free throw 2 of 3,,2-5,,
10:28.0,Offensive rebound by Team,,2-5,,
10:28.0,R. Westbrook makes free throw 3 of 3,1,3-5,,
10:13.0,,,3-5,,Turnover by J. Lin (bad pass; steal by R. Westbrook)
10:01.0,T. Gibson makes 2-pt shot from 4 ft (assist by R. Westbrook),2,5-5,,
10:01.0,Shooting foul by R. Hollis-Jefferson (drawn by T. Gibson),,5-5,,
10:01.0,T. Gibson makes free throw 1 of 1,1,6-5,,
9:47.0,Personal foul by A. Roberson (drawn by C. LeVert),,6-5,,
9:35.0,,,6-5,,R. Foye misses 2-pt shot from 8 ft
9:34.0,Defensive rebound by S. Adams,,6-5,,
9:30.0,T. Gibson makes 2-pt shot at rim (assist by R. Westbrook),2,8-5,,
9:14.0,,,8-5,,J. Lin misses 3-pt shot from 26 ft
9:12.0,Defensive rebound by R. Westbrook,,8-5,,
9:07.0,T. Gibson makes 2-pt shot from 2 ft (assist by R. Westbrook),2,10-5,,
9:06.0,,,10-5,,Brooklyn full timeout
8:44.0,,,10-5,,B. Lopez misses 2-pt shot from 7 ft
8:43.0,Defensive rebound by R. Westbrook,,10-5,,
8:35.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,12-5,,
8:32.0,Personal block foul by A. Roberson (drawn by C. LeVert),,12-5,,
8:18.0,,,12-7,2,J. Lin makes 2-pt shot from 3 ft (assist by R. Foye)
8:03.0,V. Oladipo makes 2-pt shot from 17 ft,2,14-7,,
7:40.0,,,14-9,2,C. LeVert makes 2-pt shot from 7 ft (assist by R. Foye)
7:22.0,Turnover by V. Oladipo (bad pass; steal by C. LeVert),,14-9,,
7:16.0,,,14-11,2,B. Lopez makes 2-pt shot at rim (assist by J. Lin)
7:10.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,16-11,,
6:54.0,,,16-11,,Turnover by B. Lopez (lost ball; steal by T. Gibson)
6:50.0,R. Westbrook misses 2-pt shot from 1 ft,,16-11,,
6:50.0,,,16-11,,Defensive rebound by Team
6:50.0,Personal foul by A. Roberson (drawn by J. Lin),,16-11,,
6:49.0,A. Abrines enters the game for A. Roberson,,16-11,,
6:32.0,,,16-13,2,J. Lin makes 2-pt shot from 2 ft
6:16.0,T. Gibson makes 2-pt shot from 7 ft,2,18-13,,
5:59.0,,,18-15,2,B. Lopez makes 2-pt shot from 11 ft (assist by R. Foye)
5:40.0,A. Abrines misses 3-pt shot from 26 ft,,18-15,,
5:39.0,,,18-15,,Defensive rebound by C. LeVert
5:36.0,,,18-15,,Shooting foul by V. Oladipo (drawn by C. LeVert)
5:36.0,,,18-16,1,C. LeVert makes free throw 1 of 2
5:36.0,,,18-17,1,C. LeVert makes free throw 2 of 2
5:36.0,,,18-16,,I. Whitehead enters the game for R. Foye
5:36.0,D. McDermott enters the game for V. Oladipo,,18-16,,
5:24.0,Turnover by S. Adams (lost ball; steal by R. Hollis-Jefferson),,18-17,,
5:17.0,,,18-17,,J. Lin misses 2-pt shot from 8 ft
5:15.0,Defensive rebound by T. Gibson,,18-17,,
5:07.0,T. Gibson makes 2-pt shot from 13 ft (assist by R. Westbrook),2,20-17,,
4:53.0,,,20-19,2,C. LeVert makes 2-pt shot from 3 ft
