time,Charlotte,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. F. Kaminsky (B. Ingram gains possession),,,,Jump ball: T. Black vs. F. Kaminsky (B. Ingram gains possession)
11:45.0,,,0-3,3,D. Russell makes 3-pt shot from 26 ft (assist by J. Randle)
11:24.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,0-3,,
11:23.0,,,0-3,,Defensive rebound by J. Randle
11:15.0,,,0-5,2,B. Ingram makes 2-pt shot from 21 ft (assist by J. Randle)
10:55.0,K. Walker makes 3-pt shot from 26 ft (assist by F. Kaminsky),3,3-5,,
10:42.0,,,3-7,2,J. Randle makes 2-pt shot from 2 ft (assist by D. Russell)
10:31.0,K. Walker misses 2-pt shot from 3 ft (block by T. Black),,3-7,,
10:31.0,Offensive rebound by Team,,3-7,,
10:27.0,Turnover by M. Williams (bad pass; steal by J. Randle),,3-7,,
10:25.0,,,3-7,,Turnover by D. Russell (bad pass)
10:08.0,Turnover by N. Batum (lost ball; steal by J. Randle),,3-7,,
10:00.0,,,3-10,3,D. Russell makes 3-pt shot from 26 ft (assist by J. Randle)
9:47.0,M. Williams makes 3-pt shot from 26 ft (assist by K. Walker),3,6-10,,
9:37.0,,,6-10,,Turnover by T. Black (traveling)
9:25.0,N. Batum makes 3-pt shot from 27 ft (assist by F. Kaminsky),3,9-10,,
9:11.0,,,9-12,2,J. Randle makes 2-pt shot from 2 ft
8:57.0,N. Batum misses 3-pt shot from 27 ft,,9-12,,
8:56.0,,,9-12,,Defensive rebound by J. Randle
8:44.0,,,9-12,,B. Ingram misses 3-pt shot from 23 ft
8:42.0,,,9-12,,Offensive rebound by T. Black
8:39.0,,,9-12,,D. Russell misses 2-pt shot from 17 ft
8:35.0,Defensive rebound by M. Kidd-Gilchrist,,9-12,,
8:32.0,Shooting foul by T. Black (drawn by F. Kaminsky),,9-12,,
8:32.0,F. Kaminsky makes free throw 1 of 2,1,10-12,,
8:32.0,F. Kaminsky makes free throw 2 of 2,1,11-12,,
8:16.0,,,11-12,,J. Randle misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by N. Batum,,11-12,,
8:04.0,Turnover by K. Walker (bad pass; steal by D. Russell),,11-12,,
7:59.0,,,11-14,2,D. Russell makes 2-pt shot from 2 ft
7:46.0,K. Walker makes 3-pt shot from 25 ft,3,14-14,,
7:46.0,Shooting foul by D. Russell (drawn by K. Walker),,14-14,,
7:46.0,K. Walker makes free throw 1 of 1,1,15-14,,
7:46.0,C. Zeller enters the game for M. Williams,,14-14,,
7:33.0,,,15-14,,N. Young misses 3-pt shot from 26 ft
7:31.0,Defensive rebound by N. Batum,,15-14,,
7:25.0,Turnover by K. Walker (lost ball; steal by J. Randle),,15-14,,
7:20.0,,,15-16,2,J. Randle makes 2-pt shot at rim
7:03.0,Shooting foul by T. Black (drawn by C. Zeller),,15-16,,
7:03.0,C. Zeller misses free throw 1 of 2,,15-16,,
7:03.0,Offensive rebound by Team,,15-16,,
7:03.0,C. Zeller misses free throw 2 of 2,,15-16,,
7:03.0,,,15-16,,L. Nance enters the game for T. Black
7:00.0,,,15-16,,Defensive rebound by B. Ingram
6:39.0,,,15-16,,Turnover by L. Nance (bad pass; steal by M. Kidd-Gilchrist)
6:36.0,Shooting foul by L. Nance (drawn by M. Kidd-Gilchrist),,15-16,,
6:36.0,,,15-16,,LA Lakers full timeout
6:36.0,M. Kidd-Gilchrist misses free throw 1 of 2,,15-16,,
6:36.0,Offensive rebound by Team,,15-16,,
6:36.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,16-16,,
6:25.0,,,16-16,,N. Young misses 3-pt shot from 25 ft
6:24.0,Defensive rebound by F. Kaminsky,,16-16,,
6:09.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by D. Russell),,16-16,,
6:04.0,,,16-18,2,D. Russell makes 2-pt shot from 2 ft
5:43.0,F. Kaminsky misses 2-pt shot from 19 ft,,16-18,,
5:39.0,Offensive rebound by M. Kidd-Gilchrist,,16-18,,
5:38.0,M. Kidd-Gilchrist misses 2-pt shot at rim,,16-18,,
5:37.0,Offensive rebound by M. Kidd-Gilchrist,,16-18,,
5:32.0,K. Walker makes 2-pt shot from 1 ft,2,18-18,,
5:09.0,,,18-18,,B. Ingram misses 3-pt shot from 26 ft
5:08.0,Defensive rebound by C. Zeller,,18-18,,
4:57.0,F. Kaminsky makes 2-pt shot from 3 ft (assist by K. Walker),2,20-18,,
4:39.0,,,20-18,,Turnover by B. Ingram (bad pass)
4:39.0,,,20-18,,J. Clarkson enters the game for N. Young
4:39.0,J. Lamb enters the game for F. Kaminsky,,20-18,,
4:39.0,M. Williams enters the game for M. Kidd-Gilchrist,,20-18,,
4:23.0,N. Batum misses 3-pt shot from 26 ft,,20-18,,
4:21.0,,,20-18,,Defensive rebound by L. Nance
4:09.0,,,20-18,,D. Russell misses 3-pt shot from 26 ft
4:07.0,Defensive rebound by M. Williams,,20-18,,
4:03.0,,,20-18,,Personal foul by J. Randle (drawn by C. Zeller)
4:03.0,C. Zeller misses free throw 1 of 2,,20-18,,
4:03.0,Offensive rebound by Team,,20-18,,
4:03.0,C. Zeller misses free throw 2 of 2,,20-18,,
4:01.0,,,20-18,,Defensive rebound by J. Randle
3:45.0,,,20-18,,D. Russell misses 2-pt shot from 18 ft
3:42.0,Defensive rebound by M. Williams,,20-18,,
3:36.0,M. Williams makes 2-pt shot from 2 ft (assist by N. Batum),2,22-18,,
3:23.0,,,22-20,2,J. Randle makes 2-pt shot from 3 ft (assist by B. Ingram)
3:07.0,,,22-20,,I. Zubac enters the game for J. Randle
3:07.0,B. Roberts enters the game for K. Walker,,22-20,,
2:52.0,N. Batum misses 2-pt shot from 8 ft,,22-20,,
2:50.0,,,22-20,,Defensive rebound by B. Ingram
2:41.0,,,22-20,,Shooting foul by B. Roberts (drawn by D. Russell)
2:41.0,Charlotte full timeout,,22-20,,
2:41.0,,,22-21,1,D. Russell makes free throw 1 of 2
2:41.0,,,22-22,1,D. Russell makes free throw 2 of 2
2:24.0,J. Lamb misses 2-pt shot from 16 ft,,22-22,,
2:19.0,,,22-22,,Defensive rebound by L. Nance
2:07.0,,,22-24,2,I. Zubac makes 2-pt shot from 2 ft (assist by J. Clarkson)
1:43.0,M. Williams misses 3-pt shot from 26 ft,,22-24,,
1:42.0,Offensive rebound by M. Williams,,22-24,,
1:38.0,M. Williams makes 3-pt shot from 28 ft,3,25-24,,
1:15.0,,,25-26,2,J. Clarkson makes 2-pt shot from 3 ft (assist by D. Russell)
0:59.0,Turnover by N. Batum (bad pass),,25-26,,
0:59.0,,,25-26,,C. Brewer enters the game for D. Russell
0:59.0,M. Belinelli enters the game for N. Batum,,25-26,,
0:43.0,,,25-26,,Shooting foul by J. Lamb (drawn by L. Nance)
0:43.0,,,25-27,1,L. Nance makes free throw 1 of 2
0:43.0,,,25-28,1,L. Nance makes free throw 2 of 2
0:32.0,C. Zeller makes 2-pt shot from 2 ft (assist by B. Roberts),2,27-28,,
0:19.0,,,27-30,2,J. Clarkson makes 2-pt shot from 6 ft
0:19.0,,,27-30,,Shooting foul by B. Roberts (drawn by J. Clarkson)
0:19.0,,,27-31,1,J. Clarkson makes free throw 1 of 1
0:04.0,M. Belinelli misses 2-pt shot from 19 ft,,27-31,,
0:01.0,,,27-31,,Defensive rebound by I. Zubac
0:00.0,,,27-31,,I. Zubac misses 3-pt shot from 72 ft
0:00.0,,,27-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,F. Kaminsky makes 3-pt shot from 27 ft (assist by M. Belinelli),3,30-31,,
11:28.0,,,30-31,,I. Zubac misses 2-pt shot from 12 ft
11:25.0,Defensive rebound by F. Kaminsky,,30-31,,
11:10.0,F. Kaminsky misses 3-pt shot from 25 ft,,30-31,,
11:08.0,,,30-31,,Defensive rebound by I. Zubac
10:58.0,,,30-33,2,I. Zubac makes 2-pt shot from 4 ft (assist by J. Clarkson)
10:43.0,,,30-33,,Personal foul by L. Nance (drawn by M. Williams)
10:36.0,M. Belinelli makes 2-pt shot from 16 ft,2,32-33,,
10:22.0,,,32-33,,Turnover by C. Brewer (bad pass; steal by B. Roberts)
10:14.0,J. Lamb makes 2-pt shot from 9 ft,2,34-33,,
10:14.0,Shooting foul by I. Zubac (drawn by J. Lamb),,34-33,,
10:14.0,J. Lamb makes free throw 1 of 1,1,35-33,,
10:00.0,,,35-33,,I. Zubac misses 2-pt shot from 3 ft
9:58.0,Defensive rebound by B. Roberts,,35-33,,
9:45.0,M. Williams makes 2-pt shot from 2 ft (assist by B. Roberts),2,37-33,,
9:29.0,,,37-33,,C. Brewer misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by Team,,37-33,,
9:14.0,F. Kaminsky makes 2-pt shot from 3 ft (assist by M. Belinelli),2,39-33,,
9:14.0,,,39-33,,LA Lakers full timeout
9:14.0,M. Kidd-Gilchrist enters the game for M. Williams,,39-33,,
8:57.0,,,39-33,,J. Clarkson misses 3-pt shot from 27 ft
8:55.0,Defensive rebound by F. Kaminsky,,39-33,,
8:46.0,B. Roberts makes 2-pt shot from 1 ft,2,41-33,,
8:28.0,,,41-33,,T. Ennis misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by M. Belinelli,,41-33,,
8:12.0,,,41-33,,Personal foul by J. Clarkson (drawn by M. Belinelli)
8:12.0,K. Walker enters the game for B. Roberts,,41-33,,
8:12.0,,,41-33,,N. Young enters the game for C. Brewer
8:12.0,,,41-33,,B. Ingram enters the game for I. Zubac
8:01.0,M. Kidd-Gilchrist makes 2-pt shot from 13 ft (assist by K. Walker),2,43-33,,
7:53.0,,,43-33,,Offensive foul by J. Clarkson
7:53.0,,,43-33,,Turnover by J. Clarkson (offensive foul)
7:41.0,Turnover by J. Lamb (bad pass; steal by B. Ingram),,43-33,,
7:31.0,,,43-33,,Turnover by L. Nance (bad pass)
7:31.0,,,43-33,,J. Randle enters the game for L. Nance
7:31.0,,,43-33,,D. Russell enters the game for T. Ennis
7:17.0,F. Kaminsky misses 3-pt shot from 25 ft,,43-33,,
7:15.0,,,43-33,,Defensive rebound by J. Randle
7:08.0,,,43-33,,J. Randle misses 2-pt shot from 3 ft (block by M. Kidd-Gilchrist)
7:06.0,Defensive rebound by J. Lamb,,43-33,,
6:49.0,K. Walker misses 2-pt shot from 5 ft,,43-33,,
6:46.0,,,43-33,,Defensive rebound by J. Randle
6:39.0,,,43-36,3,D. Russell makes 3-pt shot from 27 ft (assist by J. Randle)
6:31.0,Charlotte full timeout,,43-36,,
6:31.0,N. Batum enters the game for J. Lamb,,43-36,,
6:20.0,M. Belinelli makes 3-pt shot from 26 ft (assist by M. Kidd-Gilchrist),3,46-36,,
5:56.0,,,46-39,3,B. Ingram makes 3-pt shot from 25 ft (assist by D. Russell)
5:38.0,K. Walker misses 2-pt shot from 17 ft,,46-39,,
5:34.0,,,46-39,,Defensive rebound by B. Ingram
5:30.0,,,46-41,2,J. Randle makes 2-pt shot at rim (assist by B. Ingram)
5:20.0,,,46-41,,Personal foul by B. Ingram (drawn by N. Batum)
5:04.0,M. Belinelli misses 3-pt shot from 25 ft,,46-41,,
5:03.0,,,46-41,,Defensive rebound by B. Ingram
4:51.0,,,46-44,3,N. Young makes 3-pt shot from 26 ft (assist by J. Randle)
4:31.0,F. Kaminsky misses 2-pt shot from 8 ft,,46-44,,
4:27.0,,,46-44,,Defensive rebound by J. Randle
4:23.0,,,46-46,2,J. Randle makes 2-pt shot from 2 ft
