time,LA Clippers,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. K. Koufos (D. Cousins gains possession),,,,Jump ball: D. Jordan vs. K. Koufos (D. Cousins gains possession)
11:41.0,,,0-2,2,A. Afflalo makes 2-pt shot from 11 ft
11:26.0,,,0-2,,Personal foul by K. Koufos (drawn by D. Jordan)
11:21.0,D. Jordan makes 2-pt shot from 6 ft,2,2-2,,
10:59.0,,,2-4,2,D. Cousins makes 2-pt shot from 18 ft (assist by R. Gay)
10:45.0,J. Redick misses 2-pt shot from 2 ft,,2-4,,
10:44.0,,,2-4,,Defensive rebound by K. Koufos
10:31.0,,,2-6,2,T. Lawson makes 2-pt shot from 16 ft
10:22.0,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul),2,4-6,,
10:08.0,,,4-8,2,R. Gay makes 2-pt shot from 17 ft (assist by T. Lawson)
9:50.0,D. Jordan makes 2-pt shot from 4 ft,2,6-8,,
9:36.0,,,6-8,,D. Cousins misses 2-pt shot from 6 ft
9:35.0,Defensive rebound by C. Paul,,6-8,,
9:31.0,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul),2,8-8,,
9:14.0,,,8-10,2,D. Cousins makes 2-pt shot from 4 ft
8:57.0,D. Jordan makes 2-pt shot from 7 ft,2,10-10,,
8:38.0,,,10-10,,D. Cousins misses 2-pt shot from 11 ft
8:37.0,Defensive rebound by L. Mbah a Moute,,10-10,,
8:31.0,J. Redick makes 3-pt shot from 23 ft (assist by B. Griffin),3,13-10,,
8:15.0,Personal foul by J. Redick (drawn by A. Afflalo),,13-10,,
8:05.0,,,13-10,,D. Cousins misses 2-pt shot from 4 ft
8:04.0,Defensive rebound by D. Jordan,,13-10,,
8:00.0,Shooting foul by K. Koufos (drawn by L. Mbah a Moute),,13-10,,
8:00.0,L. Mbah a Moute misses free throw 1 of 2,,13-10,,
8:00.0,Offensive rebound by Team,,13-10,,
8:00.0,L. Mbah a Moute misses free throw 2 of 2,,13-10,,
8:00.0,,,13-10,,W. Cauley-Stein enters the game for K. Koufos
7:58.0,,,13-10,,Defensive rebound by A. Afflalo
7:47.0,,,13-10,,W. Cauley-Stein misses 2-pt shot from 4 ft
7:45.0,Defensive rebound by C. Paul,,13-10,,
7:42.0,Turnover by C. Paul (bad pass),,13-10,,
7:26.0,,,13-10,,R. Gay misses 2-pt shot from 18 ft
7:25.0,Defensive rebound by D. Jordan,,13-10,,
7:16.0,Shooting foul by W. Cauley-Stein (drawn by B. Griffin),,13-10,,
7:16.0,B. Griffin makes free throw 1 of 2,1,14-10,,
7:16.0,B. Griffin misses free throw 2 of 2,,14-10,,
7:15.0,,,14-10,,Defensive rebound by D. Cousins
6:54.0,,,14-12,2,W. Cauley-Stein makes 2-pt shot from 5 ft (assist by D. Cousins)
6:41.0,C. Paul misses 3-pt shot from 25 ft,,14-12,,
6:39.0,Offensive rebound by B. Griffin,,14-12,,
6:31.0,J. Redick misses 2-pt shot from 19 ft,,14-12,,
6:30.0,Offensive rebound by D. Jordan,,14-12,,
6:30.0,D. Jordan misses 2-pt shot from 2 ft,,14-12,,
6:29.0,Offensive rebound by J. Redick,,14-12,,
6:22.0,Shooting foul by W. Cauley-Stein (drawn by B. Griffin),,14-12,,
6:22.0,B. Griffin makes free throw 1 of 2,1,15-12,,
6:22.0,B. Griffin makes free throw 2 of 2,1,16-12,,
6:06.0,,,16-12,,R. Gay misses 2-pt shot from 7 ft
6:05.0,,,16-12,,Offensive rebound by D. Cousins
6:05.0,,,16-12,,D. Cousins misses 2-pt shot from 2 ft
6:04.0,Defensive rebound by C. Paul,,16-12,,
6:00.0,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul),3,19-12,,
5:54.0,,,19-12,,Sacramento full timeout
5:42.0,,,19-15,3,T. Lawson makes 3-pt shot from 25 ft (assist by D. Cousins)
5:42.0,,,19-15,,Shooting foul by C. Paul (drawn by T. Lawson)
5:42.0,,,19-16,1,T. Lawson makes free throw 1 of 1
5:29.0,Turnover by L. Mbah a Moute (bad pass; steal by D. Cousins),,19-16,,
5:26.0,,,19-16,,D. Cousins misses 2-pt shot from 4 ft (block by L. Mbah a Moute)
5:26.0,,,19-16,,Offensive rebound by Team
5:23.0,,,19-16,,Shooting foul by B. Griffin (drawn by D. Cousins)
5:23.0,,,19-17,1,D. Cousins makes free throw 1 of 2
5:23.0,,,19-18,1,D. Cousins makes free throw 2 of 2
5:07.0,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin),3,22-18,,
4:48.0,,,22-18,,R. Gay misses 2-pt shot from 18 ft
4:48.0,Defensive rebound by D. Jordan,,22-18,,
4:45.0,,,22-18,,Personal foul by R. Gay (drawn by B. Griffin)
4:45.0,B. Griffin makes free throw 1 of 2,1,23-18,,
4:45.0,B. Griffin makes free throw 2 of 2,1,24-18,,
4:45.0,,,23-18,,D. Collison enters the game for T. Lawson
