time,Phoenix,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: A. Len vs. Z. Pachulia (D. Green gains possession)
11:46.0,,,0-2,2,K. Durant makes 2-pt shot at rim (assist by Z. Pachulia)
11:31.0,E. Bledsoe makes 3-pt shot from 23 ft (assist by A. Len),3,3-2,,
11:22.0,Personal foul by E. Bledsoe (drawn by S. Curry),,3-2,,
11:14.0,,,3-2,,Shooting foul by M. Chriss (drawn by Z. Pachulia)
11:14.0,,,3-3,1,Z. Pachulia makes free throw 1 of 2
11:14.0,,,3-4,1,Z. Pachulia makes free throw 2 of 2
11:05.0,D. Booker misses 3-pt shot from 28 ft,,3-4,,
11:04.0,,,3-4,,Defensive rebound by Z. Pachulia
10:55.0,,,3-6,2,K. Durant makes 2-pt shot from 16 ft (assist by D. Green)
10:35.0,E. Bledsoe misses 2-pt shot from 12 ft,,3-6,,
10:35.0,,,3-6,,Defensive rebound by Z. Pachulia
10:27.0,,,3-6,,K. Thompson misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by M. Chriss,,3-6,,
10:12.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by A. Len),2,5-6,,
10:01.0,,,5-6,,Turnover by K. Durant (bad pass; steal by T. Warren)
9:51.0,M. Chriss makes 2-pt shot at rim (assist by T. Warren),2,7-6,,
9:37.0,,,7-6,,K. Durant misses 2-pt shot from 11 ft
9:37.0,Defensive rebound by M. Chriss,,7-6,,
9:22.0,M. Chriss misses 3-pt shot from 24 ft,,7-6,,
9:22.0,,,7-6,,Defensive rebound by Z. Pachulia
9:14.0,,,7-8,2,S. Curry makes 2-pt shot from 1 ft
9:14.0,,,7-8,,Shooting foul by A. Len (drawn by S. Curry)
9:14.0,,,7-9,1,S. Curry makes free throw 1 of 1
8:57.0,Turnover by M. Chriss (lost ball; steal by K. Durant),,7-9,,
8:47.0,,,7-12,3,S. Curry makes 3-pt shot from 23 ft (assist by D. Green)
8:28.0,T. Warren misses 3-pt shot from 26 ft,,7-12,,
8:26.0,Offensive rebound by E. Bledsoe,,7-12,,
8:25.0,E. Bledsoe makes 2-pt shot from 2 ft,2,9-12,,
8:13.0,,,9-12,,Z. Pachulia misses 2-pt shot from 17 ft
8:13.0,Defensive rebound by M. Chriss,,9-12,,
8:04.0,A. Len makes 2-pt shot from 7 ft (assist by E. Bledsoe),2,11-12,,
8:04.0,Shooting foul by Z. Pachulia (drawn by A. Len),,11-12,,
8:04.0,A. Len makes free throw 1 of 1,1,12-12,,
7:52.0,,,12-12,,Turnover by K. Thompson (bad pass; steal by D. Booker)
7:49.0,T. Warren makes 2-pt shot at rim,2,14-12,,
7:49.0,,,14-12,,Golden State full timeout
7:34.0,,,14-12,,K. Durant misses 2-pt shot from 15 ft
7:34.0,Defensive rebound by T. Warren,,14-12,,
7:19.0,A. Len makes 2-pt shot from 18 ft (assist by D. Booker),2,16-12,,
7:08.0,,,16-12,,D. Green misses 3-pt shot from 27 ft
7:07.0,Defensive rebound by E. Bledsoe,,16-12,,
6:59.0,Shooting foul by K. Thompson (drawn by D. Booker),,16-12,,
6:59.0,D. Booker makes free throw 1 of 2,1,17-12,,
6:59.0,D. Booker makes free throw 2 of 2,1,18-12,,
6:59.0,,,17-12,,J. McGee enters the game for Z. Pachulia
6:37.0,,,18-12,,D. Green misses 2-pt shot from 14 ft
6:36.0,Defensive rebound by A. Len,,18-12,,
6:14.0,E. Bledsoe misses 3-pt shot from 25 ft,,18-12,,
6:14.0,,,18-12,,Defensive rebound by K. Durant
5:59.0,,,18-14,2,K. Thompson makes 2-pt shot from 18 ft
5:41.0,Shooting foul by S. Curry (drawn by D. Booker),,18-14,,
5:41.0,D. Booker makes free throw 1 of 2,1,19-14,,
5:41.0,D. Booker makes free throw 2 of 2,1,20-14,,
5:41.0,,,19-14,,A. Iguodala enters the game for K. Durant
5:41.0,J. Dudley enters the game for M. Chriss,,19-14,,
5:41.0,B. Knight enters the game for E. Bledsoe,,19-14,,
5:33.0,,,20-14,,Offensive foul by D. Green
5:33.0,,,20-14,,Turnover by D. Green (offensive foul)
5:15.0,Turnover by A. Len (bad pass; steal by D. Green),,20-14,,
5:06.0,,,20-14,,K. Thompson misses 3-pt shot from 25 ft
5:05.0,Defensive rebound by J. Dudley,,20-14,,
4:50.0,J. Dudley makes 2-pt shot from 2 ft (assist by A. Len),2,22-14,,
4:43.0,,,22-14,,Shooting foul by D. Booker (drawn by J. McGee)
4:43.0,,,22-15,1,J. McGee makes free throw 1 of 2
4:43.0,,,22-16,1,J. McGee makes free throw 2 of 2
4:26.0,D. Booker misses 2-pt shot from 19 ft,,22-16,,
4:25.0,,,22-16,,Defensive rebound by K. Thompson
4:17.0,,,22-18,2,D. Green makes 2-pt shot from 8 ft (assist by K. Thompson)
4:17.0,,,22-18,,Shooting foul by J. Dudley (drawn by D. Green)
4:17.0,,,22-19,1,D. Green makes free throw 1 of 1
4:17.0,P. Tucker enters the game for A. Len,,22-18,,
4:06.0,P. Tucker misses 2-pt shot from 6 ft,,22-19,,
4:06.0,,,22-19,,Defensive rebound by J. McGee
3:52.0,,,22-19,,D. Green misses 2-pt shot from 7 ft
3:51.0,Defensive rebound by J. Dudley,,22-19,,
3:43.0,,,22-19,,Violation by J. McGee (def goaltending)
3:43.0,J. Dudley makes 2-pt shot from 3 ft,2,24-19,,
3:33.0,Personal foul by J. Dudley (drawn by S. Curry),,24-19,,
3:33.0,,,24-20,1,S. Curry makes free throw 1 of 2
3:33.0,,,24-21,1,S. Curry makes free throw 2 of 2
3:33.0,,,24-20,,K. Durant enters the game for J. McGee
3:33.0,,,24-20,,P. McCaw enters the game for K. Thompson
3:13.0,T. Warren makes 2-pt shot from 9 ft (assist by D. Booker),2,26-21,,
3:03.0,,,26-21,,Turnover by S. Curry (bad pass; steal by P. Tucker)
2:58.0,T. Warren makes 2-pt shot from 12 ft (assist by J. Dudley),2,28-21,,
2:39.0,,,28-21,,Turnover by K. Durant (bad pass; steal by T. Warren)
2:32.0,B. Knight misses 2-pt shot from 5 ft (block by A. Iguodala),,28-21,,
2:31.0,,,28-21,,Defensive rebound by P. McCaw
2:23.0,,,28-21,,K. Durant misses 3-pt shot from 26 ft
2:21.0,,,28-21,,Offensive rebound by D. Green
2:21.0,,,28-23,2,D. Green makes 2-pt shot from 2 ft
1:58.0,T. Warren makes 2-pt shot from 3 ft,2,30-23,,
1:48.0,,,30-23,,S. Curry misses 2-pt shot from 2 ft
1:47.0,Defensive rebound by P. Tucker,,30-23,,
1:33.0,T. Warren misses 2-pt shot from 1 ft,,30-23,,
1:32.0,Offensive rebound by T. Warren,,30-23,,
1:32.0,T. Warren misses 2-pt shot from 2 ft,,30-23,,
1:30.0,,,30-23,,Defensive rebound by K. Durant
1:30.0,,,30-23,,Shooting foul by B. Knight (drawn by A. Iguodala)
1:30.0,Phoenix full timeout,,30-23,,
1:30.0,,,30-23,,A. Iguodala misses free throw 1 of 2
1:30.0,,,30-23,,Offensive rebound by Team
1:30.0,,,30-24,1,A. Iguodala makes free throw 2 of 2
1:30.0,,,30-23,,S. Livingston enters the game for S. Curry
1:30.0,E. Bledsoe enters the game for D. Booker,,30-23,,
1:15.0,J. Dudley misses 2-pt shot from 7 ft,,30-24,,
1:15.0,,,30-24,,Defensive rebound by K. Durant
1:01.0,,,30-24,,D. Green misses 3-pt shot from 26 ft
1:01.0,Defensive rebound by T. Warren,,30-24,,
0:53.0,T. Warren misses 2-pt shot from 21 ft,,30-24,,
0:53.0,,,30-24,,Defensive rebound by Team
0:53.0,Personal foul by P. Tucker (drawn by D. Green),,30-24,,
0:53.0,,,30-25,1,D. Green makes free throw 1 of 2
0:53.0,,,30-26,1,D. Green makes free throw 2 of 2
0:38.0,Turnover by P. Tucker (traveling),,30-26,,
0:19.0,,,30-28,2,S. Livingston makes 2-pt shot from 9 ft (assist by D. Green)
0:01.0,Shooting foul by K. Durant (drawn by E. Bledsoe),,30-28,,
0:01.0,E. Bledsoe makes free throw 1 of 2,1,31-28,,
0:01.0,E. Bledsoe makes free throw 2 of 2,1,32-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,B. Knight misses 2-pt shot from 19 ft,,32-28,,
11:46.0,,,32-28,,Defensive rebound by A. Iguodala
11:38.0,,,32-28,,D. West misses 2-pt shot from 5 ft (block by D. Bender)
11:38.0,,,32-28,,Offensive rebound by Team
11:30.0,,,32-28,,K. Durant misses 2-pt shot from 13 ft
11:29.0,Defensive rebound by J. Dudley,,32-28,,
11:25.0,L. Barbosa makes 2-pt shot from 2 ft (assist by B. Knight),2,34-28,,
11:08.0,,,34-31,3,A. Iguodala makes 3-pt shot from 26 ft (assist by K. Durant)
10:55.0,B. Knight misses 3-pt shot from 25 ft,,34-31,,
10:55.0,,,34-31,,Defensive rebound by K. Thompson
