time,Utah,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. R. Gobert,,,,Jump ball: A. Davis vs. R. Gobert
11:39.0,,,0-2,2,J. Holiday makes 2-pt shot from 18 ft
11:21.0,G. Hill misses 3-pt shot from 23 ft,,0-2,,
11:20.0,Offensive rebound by R. Gobert,,0-2,,
11:14.0,G. Hill misses 3-pt shot from 24 ft,,0-2,,
11:13.0,,,0-2,,Defensive rebound by T. Jones
11:05.0,,,0-2,,T. Jones misses 2-pt shot from 2 ft
11:04.0,Defensive rebound by J. Ingles,,0-2,,
10:50.0,J. Ingles makes 3-pt shot from 26 ft,3,3-2,,
10:43.0,,,3-2,,B. Hield misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by R. Gobert,,3-2,,
10:26.0,J. Ingles misses 3-pt shot from 23 ft,,3-2,,
10:25.0,,,3-2,,Defensive rebound by T. Jones
10:11.0,,,3-2,,A. Davis misses 2-pt shot from 14 ft
10:08.0,,,3-2,,Offensive rebound by J. Holiday
10:07.0,,,3-4,2,J. Holiday makes 2-pt shot from 3 ft
9:45.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,5-4,,
9:37.0,,,5-7,3,J. Holiday makes 3-pt shot from 25 ft
9:17.0,D. Favors makes 2-pt shot from 5 ft (assist by G. Hill),2,7-7,,
9:06.0,,,7-7,,J. Holiday misses 3-pt shot from 26 ft
9:04.0,Defensive rebound by G. Hayward,,7-7,,
8:55.0,G. Hayward makes 2-pt shot from 2 ft,2,9-7,,
8:43.0,Personal foul by J. Ingles (drawn by B. Hield),,9-7,,
8:30.0,,,9-7,,Turnover by J. Holiday (lost ball; steal by D. Favors)
8:28.0,G. Hayward makes 2-pt shot from 3 ft,2,11-7,,
8:08.0,,,11-7,,A. Davis misses 2-pt shot from 8 ft
8:06.0,Defensive rebound by R. Gobert,,11-7,,
7:58.0,G. Hill makes 3-pt shot from 27 ft,3,14-7,,
7:56.0,,,14-7,,New Orleans full timeout
7:41.0,,,14-10,3,S. Hill makes 3-pt shot from 25 ft (assist by J. Holiday)
7:23.0,D. Favors makes 2-pt shot from 6 ft (assist by R. Gobert),2,16-10,,
7:03.0,,,16-10,,T. Jones misses 2-pt shot from 7 ft
7:02.0,Defensive rebound by R. Gobert,,16-10,,
6:56.0,,,16-10,,Personal foul by J. Holiday (drawn by G. Hill)
6:56.0,T. Lyles enters the game for D. Favors,,16-10,,
6:56.0,D. Exum enters the game for G. Hill,,16-10,,
6:53.0,,,16-10,,Personal foul by S. Hill (drawn by G. Hayward)
6:49.0,R. Gobert misses 2-pt shot from 3 ft (block by A. Davis),,16-10,,
6:47.0,Offensive rebound by R. Gobert,,16-10,,
6:40.0,D. Exum makes 2-pt shot from 8 ft,2,18-10,,
6:22.0,,,18-13,3,B. Hield makes 3-pt shot from 25 ft (assist by S. Hill)
6:09.0,G. Hayward makes 3-pt shot from 25 ft (assist by R. Gobert),3,21-13,,
5:57.0,,,21-13,,Turnover by S. Hill (bad pass; steal by G. Hayward)
5:53.0,G. Hayward makes 2-pt shot from 2 ft,2,23-13,,
5:40.0,,,23-15,2,J. Holiday makes 2-pt shot from 11 ft
5:21.0,G. Hayward misses 2-pt shot from 3 ft (block by A. Davis),,23-15,,
5:19.0,Offensive rebound by Team,,23-15,,
5:19.0,,,23-15,,E. Moore enters the game for B. Hield
5:16.0,D. Exum makes 3-pt shot from 23 ft (assist by J. Ingles),3,26-15,,
4:54.0,,,26-17,2,A. Davis makes 2-pt shot at rim (assist by E. Moore)
4:34.0,R. Gobert misses 2-pt shot from 1 ft (block by A. Davis),,26-17,,
4:33.0,,,26-17,,Defensive rebound by T. Jones
4:28.0,,,26-19,2,T. Jones makes 2-pt shot from 2 ft
4:27.0,Utah full timeout,,26-19,,
4:27.0,,,26-19,,D. Cunningham enters the game for T. Jones
4:27.0,A. Burks enters the game for J. Ingles,,26-19,,
4:05.0,R. Gobert makes 2-pt shot from 2 ft (assist by D. Exum),2,28-19,,
3:53.0,,,28-19,,Turnover by E. Moore (bad pass; steal by D. Exum)
3:50.0,D. Exum makes 2-pt shot at rim,2,30-19,,
3:32.0,,,30-19,,D. Cunningham misses 2-pt shot from 17 ft
3:31.0,Defensive rebound by R. Gobert,,30-19,,
3:13.0,,,30-19,,Violation by J. Holiday (kicked ball)
3:13.0,,,30-19,,T. Frazier enters the game for J. Holiday
3:09.0,G. Hayward misses 2-pt shot from 5 ft,,30-19,,
3:08.0,,,30-19,,Defensive rebound by A. Davis
2:56.0,,,30-19,,Turnover by E. Moore (bad pass; steal by A. Burks)
2:51.0,T. Lyles misses 3-pt shot from 23 ft,,30-19,,
2:49.0,Offensive rebound by G. Hayward,,30-19,,
2:42.0,G. Hayward misses 2-pt shot from 6 ft,,30-19,,
2:40.0,,,30-19,,Defensive rebound by D. Cunningham
2:26.0,,,30-19,,E. Moore misses 3-pt shot from 25 ft
2:23.0,,,30-19,,Offensive rebound by A. Davis
2:16.0,,,30-21,2,D. Cunningham makes 2-pt shot from 21 ft (assist by T. Frazier)
2:03.0,G. Hayward misses 2-pt shot from 4 ft (block by A. Davis),,30-21,,
2:02.0,,,30-21,,Defensive rebound by A. Davis
1:56.0,,,30-21,,E. Moore misses 3-pt shot from 26 ft
1:54.0,Defensive rebound by D. Exum,,30-21,,
1:36.0,Shooting foul by A. Davis (drawn by A. Burks),,30-21,,
1:36.0,A. Burks makes free throw 1 of 2,1,31-21,,
1:36.0,A. Burks makes free throw 2 of 2,1,32-21,,
1:36.0,J. Johnson enters the game for R. Gobert,,31-21,,
1:36.0,D. Favors enters the game for G. Hayward,,31-21,,
1:36.0,,,31-21,,D. Motiejunas enters the game for A. Davis
1:30.0,,,32-21,,T. Frazier misses 2-pt shot from 22 ft
1:26.0,Defensive rebound by A. Burks,,32-21,,
1:17.0,Turnover by D. Exum (traveling),,32-21,,
1:17.0,G. Hill enters the game for D. Exum,,32-21,,
1:10.0,,,32-21,,S. Hill misses 3-pt shot from 25 ft
1:08.0,Defensive rebound by A. Burks,,32-21,,
0:48.0,D. Favors misses 2-pt shot from 9 ft,,32-21,,
0:47.0,,,32-21,,Defensive rebound by D. Cunningham
0:38.0,,,32-23,2,D. Cunningham makes 2-pt shot from 3 ft (assist by T. Frazier)
0:32.0,G. Hill misses 3-pt shot from 25 ft,,32-23,,
0:30.0,,,32-23,,Defensive rebound by D. Motiejunas
0:27.0,,,32-25,2,T. Frazier makes 2-pt shot from 2 ft (assist by D. Motiejunas)
0:03.0,J. Johnson misses 2-pt shot from 15 ft,,32-25,,
0:00.0,Offensive rebound by D. Favors,,32-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,G. Hill makes 2-pt shot at rim (assist by D. Favors),2,34-25,,
11:34.0,,,34-27,2,E. Moore makes 2-pt shot from 7 ft
