time,Philadelphia,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. N. Noel (T. McConnell gains possession),,,,Jump ball: R. Lopez vs. N. Noel (T. McConnell gains possession)
11:46.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by N. Noel),2,2-0,,
11:29.0,,,2-0,,D. Wade misses 2-pt shot from 8 ft (block by N. Stauskas)
11:27.0,,,2-0,,Offensive rebound by D. Wade
11:24.0,,,2-0,,D. Wade misses 2-pt shot from 3 ft
11:23.0,Defensive rebound by R. Covington,,2-0,,
11:17.0,N. Noel makes 2-pt shot from 2 ft (assist by N. Stauskas),2,4-0,,
10:53.0,,,4-0,,B. Portis misses 2-pt shot from 16 ft
10:52.0,Defensive rebound by T. McConnell,,4-0,,
10:39.0,N. Stauskas misses 2-pt shot from 3 ft (block by R. Lopez),,4-0,,
10:37.0,,,4-0,,Defensive rebound by J. Butler
10:34.0,,,4-0,,D. Wade misses 2-pt shot from 3 ft (block by R. Covington)
10:34.0,Defensive rebound by R. Covington,,4-0,,
10:34.0,Turnover by R. Covington (step out of bounds),,4-0,,
10:20.0,,,4-0,,R. Lopez misses 2-pt shot from 10 ft
10:19.0,Defensive rebound by R. Covington,,4-0,,
10:14.0,N. Stauskas makes 2-pt shot from 2 ft (assist by T. McConnell),2,6-0,,
9:56.0,,,6-0,,J. Butler misses 2-pt shot from 16 ft
9:55.0,Defensive rebound by N. Noel,,6-0,,
9:50.0,T. McConnell misses 2-pt shot from 4 ft (block by J. Grant),,6-0,,
9:50.0,Offensive rebound by Team,,6-0,,
9:40.0,T. McConnell misses 2-pt shot from 2 ft,,6-0,,
9:40.0,Offensive rebound by Team,,6-0,,
9:40.0,,,6-0,,Personal foul by J. Grant (drawn by N. Noel)
9:31.0,N. Stauskas misses 2-pt shot from 15 ft,,6-0,,
9:30.0,,,6-0,,Defensive rebound by B. Portis
9:20.0,,,6-3,3,J. Grant makes 3-pt shot from 25 ft (assist by R. Lopez)
9:06.0,Turnover by T. McConnell (lost ball; steal by D. Wade),,6-3,,
9:03.0,,,6-3,,Turnover by J. Grant (bad pass; steal by N. Noel)
9:03.0,Jump ball: N. Noel vs. D. Wade (T. McConnell gains possession),,,,Jump ball: N. Noel vs. D. Wade (T. McConnell gains possession)
8:46.0,N. Noel makes 2-pt shot from 3 ft (assist by T. McConnell),2,8-3,,
8:39.0,Personal foul by N. Noel (drawn by R. Lopez),,8-3,,
8:28.0,,,8-5,2,R. Lopez makes 2-pt shot from 5 ft (assist by D. Wade)
8:13.0,E. Ilyasova makes 3-pt shot from 26 ft,3,11-5,,
7:57.0,,,11-5,,Turnover by J. Butler (lost ball; steal by R. Covington)
7:52.0,T. McConnell misses 2-pt shot from 3 ft,,11-5,,
7:51.0,,,11-5,,Defensive rebound by B. Portis
7:35.0,,,11-5,,Shooting foul by N. Stauskas (drawn by D. Wade)
7:35.0,,,11-6,1,D. Wade makes free throw 1 of 2
7:35.0,,,11-7,1,D. Wade makes free throw 2 of 2
7:21.0,R. Covington misses 2-pt shot from 6 ft,,11-7,,
7:19.0,,,11-7,,Defensive rebound by J. Butler
7:13.0,,,11-7,,J. Butler misses 2-pt shot from 17 ft
7:11.0,,,11-7,,Offensive rebound by B. Portis
7:07.0,,,11-7,,B. Portis misses 2-pt shot from 8 ft
7:06.0,,,11-7,,Offensive rebound by R. Lopez
7:06.0,,,11-9,2,J. Butler makes 2-pt shot from 2 ft
6:48.0,R. Covington misses 3-pt shot from 26 ft,,11-9,,
6:47.0,,,11-9,,Defensive rebound by J. Butler
6:42.0,,,11-9,,Turnover by D. Wade (bad pass; steal by N. Stauskas)
6:41.0,Turnover by N. Stauskas (bad pass),,11-9,,
6:33.0,,,11-11,2,R. Lopez makes 2-pt shot from 18 ft (assist by D. Wade)
6:32.0,Philadelphia full timeout,,11-11,,
6:23.0,Shooting foul by B. Portis (drawn by E. Ilyasova),,11-11,,
6:23.0,E. Ilyasova makes free throw 1 of 2,1,12-11,,
6:23.0,E. Ilyasova makes free throw 2 of 2,1,13-11,,
6:23.0,R. Holmes enters the game for N. Noel,,12-11,,
5:59.0,,,13-13,2,R. Lopez makes 2-pt shot from 19 ft (assist by J. Butler)
5:47.0,E. Ilyasova makes 2-pt shot from 19 ft (assist by R. Covington),2,15-13,,
5:34.0,,,15-15,2,J. Grant makes 2-pt shot from 16 ft (assist by B. Portis)
5:23.0,R. Covington misses 2-pt shot at rim,,15-15,,
5:22.0,,,15-15,,Defensive rebound by B. Portis
5:15.0,,,15-17,2,D. Wade makes 2-pt shot from 2 ft
5:00.0,E. Ilyasova misses 3-pt shot from 25 ft,,15-17,,
4:59.0,,,15-17,,Defensive rebound by D. Wade
4:56.0,Personal foul by E. Ilyasova (drawn by R. Lopez),,15-17,,
4:56.0,G. Henderson enters the game for E. Ilyasova,,15-17,,
4:56.0,D. Saric enters the game for N. Stauskas,,15-17,,
4:56.0,S. Rodriguez enters the game for T. McConnell,,15-17,,
