time,Golden State,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. K. Porzingis (D. Green gains possession),,,,Jump ball: Z. Pachulia vs. K. Porzingis (D. Green gains possession)
11:44.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,2-0,,
11:32.0,,,2-0,,Turnover by K. Porzingis (lost ball; steal by D. Green)
11:21.0,K. Thompson misses 2-pt shot from 6 ft,,2-0,,
11:18.0,,,2-0,,Defensive rebound by K. Porzingis
11:14.0,,,2-0,,Shooting foul by S. Curry (drawn by D. Rose)
11:14.0,,,2-1,1,D. Rose makes free throw 1 of 2
11:14.0,,,2-2,1,D. Rose makes free throw 2 of 2
10:54.0,S. Curry misses 3-pt shot from 26 ft,,2-2,,
10:52.0,,,2-2,,Defensive rebound by C. Anthony
10:38.0,,,2-2,,D. Rose misses 2-pt shot from 3 ft
10:37.0,Defensive rebound by D. Green,,2-2,,
10:32.0,D. Green misses 2-pt shot from 2 ft,,2-2,,
10:31.0,,,2-2,,Defensive rebound by Team
10:17.0,,,2-2,,New York full timeout
10:04.0,,,2-2,,K. Porzingis misses 2-pt shot from 6 ft
10:03.0,Defensive rebound by Z. Pachulia,,2-2,,
9:52.0,D. Green makes 3-pt shot from 24 ft (assist by S. Curry),3,5-2,,
9:40.0,,,5-2,,C. Lee misses 2-pt shot from 15 ft
9:38.0,Defensive rebound by K. Thompson,,5-2,,
9:32.0,K. Thompson makes 3-pt shot from 24 ft,3,8-2,,
9:12.0,,,8-4,2,C. Anthony makes 2-pt shot from 12 ft
8:57.0,Shooting foul by C. Lee (drawn by K. Thompson),,8-4,,
8:57.0,K. Thompson makes free throw 1 of 2,1,9-4,,
8:57.0,K. Thompson makes free throw 2 of 2,1,10-4,,
8:38.0,,,10-4,,L. Thomas misses 2-pt shot from 6 ft
8:36.0,,,10-4,,Offensive rebound by L. Thomas
8:32.0,,,10-4,,C. Anthony misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by Team,,10-4,,
8:15.0,Turnover by Z. Pachulia (bad pass; steal by C. Lee),,10-4,,
8:11.0,,,10-4,,D. Rose misses 2-pt shot from 2 ft
8:10.0,,,10-4,,Offensive rebound by Team
8:10.0,J. McAdoo enters the game for Z. Pachulia,,10-4,,
8:10.0,Loose ball foul by Z. Pachulia (drawn by D. Rose),,10-4,,
8:10.0,,,10-4,,R. Baker enters the game for D. Rose
7:55.0,,,10-4,,Turnover by R. Baker (lost ball; steal by S. Curry)
7:49.0,M. Barnes misses 3-pt shot from 24 ft,,10-4,,
7:47.0,,,10-4,,Defensive rebound by R. Baker
7:38.0,,,10-4,,R. Baker misses 2-pt shot from 13 ft
7:37.0,Defensive rebound by D. Green,,10-4,,
7:32.0,J. McAdoo misses 2-pt shot from 3 ft,,10-4,,
7:30.0,,,10-4,,Defensive rebound by C. Anthony
7:25.0,,,10-4,,K. Porzingis misses 3-pt shot from 26 ft
7:23.0,Defensive rebound by K. Thompson,,10-4,,
7:12.0,S. Curry misses 3-pt shot from 25 ft,,10-4,,
7:10.0,,,10-4,,Defensive rebound by C. Anthony
6:57.0,Personal foul by D. Green (drawn by K. Porzingis),,10-4,,
6:57.0,,,10-4,,D. Rose enters the game for R. Baker
6:57.0,,,10-4,,W. Hernangomez enters the game for L. Thomas
6:44.0,,,10-4,,C. Anthony misses 2-pt shot from 2 ft
6:43.0,,,10-4,,Offensive rebound by Team
6:40.0,,,10-4,,Turnover by D. Rose (lost ball; steal by M. Barnes)
6:39.0,,,10-4,,Personal foul by D. Rose (drawn by M. Barnes)
6:33.0,S. Curry misses 2-pt shot from 2 ft,,10-4,,
6:31.0,Offensive rebound by K. Thompson,,10-4,,
6:27.0,S. Curry misses 3-pt shot from 24 ft,,10-4,,
6:25.0,Offensive rebound by J. McAdoo,,10-4,,
6:13.0,Turnover by S. Curry (bad pass; steal by D. Rose),,10-4,,
6:11.0,Personal foul by M. Barnes (drawn by D. Rose),,10-4,,
6:07.0,Violation by J. McAdoo (kicked ball),,10-4,,
6:00.0,,,10-4,,K. Porzingis misses 2-pt shot from 21 ft
5:58.0,Defensive rebound by J. McAdoo,,10-4,,
5:48.0,D. Green misses 2-pt shot from 9 ft,,10-4,,
5:47.0,Offensive rebound by D. Green,,10-4,,
5:44.0,Turnover by K. Thompson (bad pass; steal by C. Lee),,10-4,,
5:40.0,,,10-6,2,C. Lee makes 2-pt shot from 2 ft
5:39.0,Golden State full timeout,,10-6,,
5:23.0,S. Curry makes 2-pt shot from 16 ft,2,12-6,,
5:01.0,Personal foul by J. McAdoo (drawn by K. Porzingis),,12-6,,
5:01.0,,,12-7,1,K. Porzingis makes free throw 1 of 2
5:01.0,,,12-8,1,K. Porzingis makes free throw 2 of 2
5:01.0,A. Iguodala enters the game for M. Barnes,,12-7,,
4:48.0,Shooting foul by K. Porzingis (drawn by K. Thompson),,12-8,,
4:48.0,K. Thompson makes free throw 1 of 2,1,13-8,,
4:48.0,K. Thompson makes free throw 2 of 2,1,14-8,,
4:48.0,J. McGee enters the game for J. McAdoo,,13-8,,
4:35.0,,,14-8,,D. Rose misses 2-pt shot from 2 ft
4:33.0,,,14-8,,Offensive rebound by W. Hernangomez
4:33.0,,,14-10,2,W. Hernangomez makes 2-pt shot from 1 ft
4:17.0,K. Thompson makes 3-pt shot from 24 ft (assist by A. Iguodala),3,17-10,,
3:52.0,,,17-12,2,W. Hernangomez makes 2-pt shot from 8 ft
3:34.0,K. Thompson misses 2-pt shot from 9 ft,,17-12,,
3:32.0,Offensive rebound by J. McGee,,17-12,,
3:32.0,J. McGee makes 2-pt shot from 2 ft,2,19-12,,
3:16.0,,,19-14,2,C. Anthony makes 2-pt shot from 14 ft
3:05.0,S. Curry misses 2-pt shot from 3 ft,,19-14,,
3:03.0,Offensive rebound by A. Iguodala,,19-14,,
3:01.0,Turnover by A. Iguodala (bad pass; steal by C. Lee),,19-14,,
