time,Atlanta,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. B. Lopez (R. Foye gains possession),,,,Jump ball: D. Howard vs. B. Lopez (R. Foye gains possession)
11:44.0,,,0-0,,Turnover by R. Hollis-Jefferson (lost ball)
11:29.0,Turnover by D. Howard (lost ball; steal by R. Hollis-Jefferson),,0-0,,
11:10.0,,,0-0,,B. Lopez misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by T. Hardaway,,0-0,,
11:07.0,Turnover by T. Hardaway (bad pass),,0-0,,
10:55.0,,,0-0,,B. Lopez misses 2-pt shot from 10 ft
10:54.0,Defensive rebound by Team,,0-0,,
10:42.0,T. Hardaway makes 2-pt shot from 18 ft (assist by T. Waller-Prince),2,2-0,,
10:42.0,Shooting foul by C. LeVert (drawn by T. Hardaway),,2-0,,
10:42.0,T. Hardaway makes free throw 1 of 1,1,3-0,,
10:34.0,,,3-0,,C. LeVert misses 3-pt shot from 25 ft
10:33.0,Defensive rebound by T. Hardaway,,3-0,,
10:23.0,T. Waller-Prince makes 2-pt shot from 2 ft (assist by D. Schroder),2,5-0,,
10:23.0,Shooting foul by C. LeVert (drawn by T. Waller-Prince),,5-0,,
10:23.0,T. Waller-Prince misses free throw 1 of 1,,5-0,,
10:22.0,,,5-0,,Defensive rebound by J. Lin
10:09.0,,,5-3,3,J. Lin makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson)
9:44.0,T. Hardaway misses 2-pt shot from 19 ft,,5-3,,
9:43.0,,,5-3,,Defensive rebound by R. Foye
9:32.0,,,5-3,,Turnover by B. Lopez (bad pass; steal by D. Schroder)
9:27.0,D. Schroder makes 2-pt shot from 3 ft,2,7-3,,
9:16.0,,,7-5,2,J. Lin makes 2-pt shot from 3 ft
9:00.0,Turnover by D. Schroder (bad pass; steal by R. Hollis-Jefferson),,7-5,,
8:49.0,,,7-5,,R. Foye misses 3-pt shot from 25 ft
8:48.0,,,7-5,,Offensive rebound by R. Hollis-Jefferson
8:39.0,,,7-8,3,J. Lin makes 3-pt shot from 25 ft (assist by B. Lopez)
8:21.0,T. Hardaway makes 2-pt shot from 3 ft (assist by E. Ilyasova),2,9-8,,
8:04.0,,,9-8,,B. Lopez misses 2-pt shot from 13 ft
8:03.0,Defensive rebound by D. Howard,,9-8,,
7:53.0,D. Howard makes 2-pt shot at rim (assist by E. Ilyasova),2,11-8,,
7:30.0,,,11-11,3,B. Lopez makes 3-pt shot from 26 ft (assist by C. LeVert)
7:20.0,Atlanta full timeout,,11-11,,
7:12.0,D. Schroder misses 2-pt shot from 19 ft,,11-11,,
7:11.0,,,11-11,,Defensive rebound by C. LeVert
7:04.0,M. Dunleavy enters the game for T. Waller-Prince,,11-11,,
7:04.0,,,11-11,,I. Whitehead enters the game for C. LeVert
7:00.0,,,11-14,3,R. Hollis-Jefferson makes 3-pt shot from 24 ft (assist by R. Foye)
6:38.0,Turnover by D. Howard (bad pass; steal by B. Lopez),,11-14,,
6:25.0,,,11-14,,J. Lin misses 3-pt shot from 27 ft
6:24.0,Defensive rebound by D. Schroder,,11-14,,
6:18.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by M. Dunleavy),3,14-14,,
6:03.0,,,14-14,,R. Hollis-Jefferson misses 2-pt shot from 16 ft
6:02.0,,,14-14,,Offensive rebound by B. Lopez
5:59.0,,,14-16,2,B. Lopez makes 2-pt shot from 8 ft (assist by R. Foye)
