time,Charlotte,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. C. Zeller (T. Parker gains possession),,,,Jump ball: P. Gasol vs. C. Zeller (T. Parker gains possession)
11:35.0,,,0-2,2,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Green)
11:15.0,Turnover by K. Walker (bad pass; steal by D. Green),,0-2,,
11:10.0,,,0-4,2,K. Leonard makes 2-pt shot at rim (assist by D. Green)
10:47.0,C. Zeller makes 2-pt shot from 1 ft (assist by J. Lamb),2,2-4,,
10:25.0,,,2-7,3,K. Leonard makes 3-pt shot from 25 ft (assist by L. Aldridge)
10:10.0,J. Lamb misses 2-pt shot from 1 ft,,2-7,,
10:10.0,,,2-7,,Defensive rebound by T. Parker
9:57.0,,,2-7,,D. Green misses 3-pt shot from 25 ft
9:57.0,Defensive rebound by M. Kidd-Gilchrist,,2-7,,
9:49.0,M. Williams misses 3-pt shot from 26 ft,,2-7,,
9:48.0,Offensive rebound by Team,,2-7,,
9:37.0,C. Zeller misses 2-pt shot from 19 ft,,2-7,,
9:35.0,Offensive rebound by M. Williams,,2-7,,
9:33.0,M. Williams makes 2-pt shot from 1 ft,2,4-7,,
9:25.0,,,4-7,,K. Leonard misses 2-pt shot from 24 ft
9:23.0,Defensive rebound by M. Williams,,4-7,,
8:57.0,M. Kidd-Gilchrist makes 2-pt shot from 16 ft (assist by J. Lamb),2,6-7,,
8:41.0,,,6-7,,P. Gasol misses 2-pt shot from 13 ft
8:40.0,Defensive rebound by M. Kidd-Gilchrist,,6-7,,
8:21.0,M. Kidd-Gilchrist makes 2-pt shot from 19 ft (assist by J. Lamb),2,8-7,,
7:55.0,,,8-7,,T. Parker misses 2-pt shot from 9 ft
7:54.0,Defensive rebound by M. Kidd-Gilchrist,,8-7,,
7:45.0,K. Walker makes 2-pt shot from 16 ft (assist by M. Kidd-Gilchrist),2,10-7,,
7:19.0,,,10-10,3,D. Green makes 3-pt shot from 24 ft (assist by K. Leonard)
7:00.0,M. Kidd-Gilchrist misses 2-pt shot at rim (block by P. Gasol),,10-10,,
6:58.0,,,10-10,,Defensive rebound by T. Parker
6:52.0,,,10-10,,D. Green misses 2-pt shot from 2 ft
6:52.0,,,10-10,,Offensive rebound by L. Aldridge
6:52.0,,,10-10,,Shooting foul by M. Kidd-Gilchrist (drawn by L. Aldridge)
6:52.0,,,10-10,,L. Aldridge misses free throw 1 of 2
6:52.0,,,10-10,,Offensive rebound by Team
6:52.0,,,10-11,1,L. Aldridge makes free throw 2 of 2
6:36.0,M. Williams misses 3-pt shot from 23 ft,,10-11,,
6:35.0,Offensive rebound by C. Zeller,,10-11,,
6:28.0,J. Lamb makes 2-pt shot from 17 ft,2,12-11,,
6:27.0,,,12-11,,San Antonio full timeout
6:24.0,,,12-11,,P. Mills enters the game for T. Parker
6:24.0,,,12-11,,M. Ginobili enters the game for D. Green
6:24.0,,,12-11,,D. Dedmon enters the game for P. Gasol
6:19.0,Personal foul by J. Lamb (drawn by M. Ginobili),,12-11,,
6:14.0,,,12-11,,Turnover by P. Mills (bad pass; steal by M. Kidd-Gilchrist)
6:14.0,,,12-11,,Personal foul by D. Dedmon (drawn by M. Kidd-Gilchrist)
6:04.0,J. Lamb misses 2-pt shot from 15 ft,,12-11,,
6:04.0,,,12-11,,Defensive rebound by L. Aldridge
5:51.0,,,12-11,,Turnover by K. Leonard (bad pass; steal by K. Walker)
5:47.0,Turnover by M. Kidd-Gilchrist (lost ball),,12-11,,
5:47.0,M. Belinelli enters the game for J. Lamb,,12-11,,
5:32.0,,,12-13,2,P. Mills makes 2-pt shot from 2 ft (assist by D. Dedmon)
5:12.0,Shooting foul by D. Dedmon (drawn by C. Zeller),,12-13,,
5:12.0,C. Zeller makes free throw 1 of 2,1,13-13,,
5:12.0,C. Zeller makes free throw 2 of 2,1,14-13,,
5:12.0,F. Kaminsky enters the game for M. Williams,,13-13,,
5:12.0,,,13-13,,J. Simmons enters the game for K. Leonard
4:57.0,,,14-15,2,P. Mills makes 2-pt shot from 18 ft
4:45.0,K. Walker makes 2-pt shot from 17 ft,2,16-15,,
4:31.0,,,16-17,2,P. Mills makes 2-pt shot from 21 ft
4:19.0,K. Walker makes 3-pt shot from 25 ft,3,19-17,,
3:59.0,,,19-17,,P. Mills misses 2-pt shot from 20 ft
3:58.0,Defensive rebound by F. Kaminsky,,19-17,,
3:54.0,Offensive foul by C. Zeller,,19-17,,
3:54.0,Turnover by C. Zeller (offensive foul),,19-17,,
3:54.0,R. Hibbert enters the game for C. Zeller,,19-17,,
3:54.0,J. Lamb enters the game for M. Kidd-Gilchrist,,19-17,,
3:54.0,,,19-17,,D. Bertans enters the game for L. Aldridge
3:45.0,,,19-17,,M. Ginobili misses 2-pt shot from 7 ft
3:45.0,,,19-17,,Offensive rebound by D. Dedmon
3:45.0,Jump ball: D. Dedmon vs. F. Kaminsky (D. Bertans gains possession),,,,Jump ball: D. Dedmon vs. F. Kaminsky (D. Bertans gains possession)
3:35.0,,,19-17,,P. Mills misses 2-pt shot from 19 ft
3:34.0,Defensive rebound by J. Lamb,,19-17,,
3:26.0,J. Lamb makes 2-pt shot from 15 ft,2,21-17,,
3:13.0,,,21-17,,M. Ginobili misses 2-pt shot from 7 ft
3:10.0,Defensive rebound by R. Hibbert,,21-17,,
3:06.0,Shooting foul by J. Simmons (drawn by J. Lamb),,21-17,,
3:06.0,J. Lamb makes free throw 1 of 2,1,22-17,,
3:06.0,J. Lamb misses free throw 2 of 2,,22-17,,
3:06.0,R. Sessions enters the game for K. Walker,,22-17,,
3:05.0,,,22-17,,Defensive rebound by D. Dedmon
2:47.0,,,22-17,,D. Bertans misses 3-pt shot from 25 ft
2:46.0,Defensive rebound by R. Hibbert,,22-17,,
2:34.0,R. Sessions misses 3-pt shot from 25 ft,,22-17,,
2:34.0,,,22-17,,Defensive rebound by D. Dedmon
2:24.0,,,22-17,,J. Simmons misses 2-pt shot from 18 ft
2:22.0,Defensive rebound by R. Hibbert,,22-17,,
2:14.0,Turnover by R. Sessions (bad pass),,22-17,,
2:14.0,Charlotte full timeout,,22-17,,
2:14.0,,,22-17,,P. Gasol enters the game for D. Dedmon
2:02.0,,,22-19,2,D. Bertans makes 2-pt shot at rim (assist by J. Simmons)
1:36.0,R. Sessions misses 2-pt shot from 17 ft,,22-19,,
1:35.0,,,22-19,,Defensive rebound by J. Simmons
1:22.0,,,22-21,2,P. Mills makes 2-pt shot from 17 ft (assist by P. Gasol)
1:09.0,R. Sessions makes 2-pt shot from 1 ft,2,24-21,,
0:55.0,,,24-24,3,M. Ginobili makes 3-pt shot from 25 ft (assist by D. Bertans)
0:36.0,M. Belinelli misses 2-pt shot from 20 ft,,24-24,,
0:35.0,,,24-24,,Defensive rebound by P. Mills
0:29.0,,,24-24,,P. Mills misses 2-pt shot from 1 ft
0:27.0,Defensive rebound by F. Kaminsky,,24-24,,
0:07.0,Turnover by R. Sessions (bad pass; steal by P. Mills),,24-24,,
0:02.0,,,24-24,,M. Ginobili misses 3-pt shot from 25 ft
0:01.0,,,24-24,,Offensive rebound by P. Gasol
0:00.0,,,24-24,,P. Gasol misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by M. Belinelli,,24-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,R. Hibbert makes 2-pt shot from 7 ft (assist by R. Sessions),2,26-24,,
11:21.0,,,26-24,,K. Leonard misses 3-pt shot from 26 ft
11:20.0,Defensive rebound by M. Belinelli,,26-24,,
11:11.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by M. Belinelli),2,28-24,,
10:53.0,,,28-26,2,T. Parker makes 2-pt shot from 10 ft (assist by P. Gasol)
10:42.0,M. Belinelli misses 2-pt shot from 20 ft,,28-26,,
10:41.0,,,28-26,,Defensive rebound by D. Green
10:30.0,,,28-26,,T. Parker misses 2-pt shot from 7 ft
10:29.0,Defensive rebound by M. Kidd-Gilchrist,,28-26,,
10:24.0,M. Belinelli misses 3-pt shot from 24 ft,,28-26,,
10:22.0,,,28-26,,Defensive rebound by P. Gasol
10:07.0,,,28-26,,D. Green misses 3-pt shot from 25 ft
10:07.0,Defensive rebound by R. Sessions,,28-26,,
10:02.0,Shooting foul by P. Gasol (drawn by R. Hibbert),,28-26,,
10:02.0,R. Hibbert makes free throw 1 of 2,1,29-26,,
10:02.0,R. Hibbert makes free throw 2 of 2,1,30-26,,
9:40.0,,,30-29,3,K. Leonard makes 3-pt shot from 25 ft (assist by P. Gasol)
9:26.0,Shooting foul by T. Parker (drawn by R. Sessions),,30-29,,
9:26.0,R. Sessions misses free throw 1 of 2,,30-29,,
