time,Atlanta,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. D. Howard (R. Covington gains possession),,,,Jump ball: J. Embiid vs. D. Howard (R. Covington gains possession)
11:48.0,,,0-3,3,J. Embiid makes 3-pt shot from 26 ft
11:29.0,Turnover by K. Bazemore (bad pass; steal by R. Covington),,0-3,,
11:24.0,,,0-3,,Turnover by S. Rodriguez (bad pass; steal by K. Bazemore)
11:18.0,Turnover by K. Bazemore (bad pass; steal by R. Covington),,0-3,,
11:13.0,,,0-5,2,J. Embiid makes 2-pt shot from 1 ft (assist by R. Covington)
10:56.0,D. Schroder misses 2-pt shot from 4 ft,,0-5,,
10:53.0,Offensive rebound by D. Howard,,0-5,,
10:52.0,D. Howard misses 2-pt shot from 2 ft,,0-5,,
10:50.0,Offensive rebound by D. Howard,,0-5,,
10:50.0,D. Howard misses 2-pt shot from 2 ft,,0-5,,
10:48.0,,,0-5,,Defensive rebound by G. Henderson
10:45.0,,,0-5,,R. Covington misses 3-pt shot from 24 ft
10:43.0,Defensive rebound by P. Millsap,,0-5,,
10:28.0,P. Millsap misses 2-pt shot from 4 ft,,0-5,,
10:28.0,,,0-5,,Defensive rebound by Team
10:28.0,Loose ball foul by D. Howard (drawn by R. Covington),,0-5,,
10:18.0,,,0-5,,S. Rodriguez misses 2-pt shot from 1 ft
10:16.0,Defensive rebound by D. Schroder,,0-5,,
10:04.0,,,0-5,,Personal foul by S. Rodriguez (drawn by D. Schroder)
9:59.0,K. Korver misses 2-pt shot from 17 ft,,0-5,,
9:58.0,,,0-5,,Defensive rebound by R. Covington
9:49.0,,,0-8,3,D. Saric makes 3-pt shot from 27 ft
9:41.0,Atlanta full timeout,,0-8,,
9:37.0,K. Bazemore misses 2-pt shot from 15 ft,,0-8,,
9:35.0,,,0-8,,Defensive rebound by S. Rodriguez
9:21.0,,,0-8,,G. Henderson misses 2-pt shot from 14 ft
9:19.0,Defensive rebound by D. Schroder,,0-8,,
9:11.0,D. Schroder makes 2-pt shot from 3 ft,2,2-8,,
8:56.0,,,2-8,,J. Embiid misses 2-pt shot from 15 ft
8:54.0,Defensive rebound by P. Millsap,,2-8,,
8:52.0,,,2-8,,Personal foul by J. Embiid (drawn by D. Howard)
8:41.0,K. Bazemore misses 3-pt shot from 23 ft,,2-8,,
8:40.0,,,2-8,,Defensive rebound by S. Rodriguez
8:27.0,,,2-8,,R. Covington misses 3-pt shot from 25 ft
8:25.0,Defensive rebound by D. Howard,,2-8,,
8:17.0,D. Schroder misses 2-pt shot from 10 ft,,2-8,,
8:16.0,Offensive rebound by Team,,2-8,,
8:16.0,,,2-8,,J. Okafor enters the game for J. Embiid
8:09.0,K. Bazemore misses 3-pt shot from 25 ft,,2-8,,
8:08.0,Offensive rebound by D. Howard,,2-8,,
8:04.0,K. Korver makes 2-pt shot from 17 ft (assist by P. Millsap),2,4-8,,
7:42.0,,,4-8,,G. Henderson misses 2-pt shot from 9 ft
7:42.0,,,4-8,,Offensive rebound by Team
7:42.0,Loose ball foul by P. Millsap (drawn by D. Saric),,4-8,,
7:32.0,,,4-8,,D. Saric misses 2-pt shot from 1 ft
7:31.0,Defensive rebound by D. Howard,,4-8,,
7:23.0,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder),3,7-8,,
7:12.0,,,7-8,,Turnover by R. Covington (lost ball; steal by D. Schroder)
7:03.0,K. Bazemore makes 2-pt shot from 17 ft (assist by D. Schroder),2,9-8,,
6:42.0,,,9-10,2,J. Okafor makes 2-pt shot from 2 ft (assist by D. Saric)
6:27.0,K. Korver makes 2-pt shot from 20 ft (assist by D. Schroder),2,11-10,,
6:14.0,,,11-10,,D. Saric misses 2-pt shot from 20 ft
