time,Houston,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. M. Plumlee (R. Anderson gains possession),,,,Jump ball: C. Capela vs. M. Plumlee (R. Anderson gains possession)
11:39.0,R. Anderson makes 3-pt shot from 26 ft (assist by T. Ariza),3,3-0,,
11:24.0,,,3-2,2,M. Plumlee makes 2-pt shot at rim (assist by J. Parker)
11:16.0,T. Ariza misses 3-pt shot from 26 ft,,3-2,,
11:16.0,Offensive rebound by Team,,3-2,,
11:16.0,,,3-2,,Loose ball foul by M. Dellavedova (drawn by P. Beverley)
11:06.0,P. Beverley makes 3-pt shot from 23 ft,3,6-2,,
10:50.0,,,6-2,,J. Parker misses 2-pt shot from 8 ft
10:49.0,Defensive rebound by J. Harden,,6-2,,
10:45.0,C. Capela misses 2-pt shot from 1 ft (block by M. Plumlee),,6-2,,
10:40.0,,,6-2,,Defensive rebound by M. Dellavedova
10:36.0,,,6-2,,Turnover by M. Dellavedova (lost ball; steal by P. Beverley)
10:16.0,Turnover by J. Harden (lost ball; steal by T. Snell),,6-2,,
10:12.0,,,6-4,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
10:02.0,P. Beverley makes 2-pt shot from 1 ft,2,8-4,,
9:48.0,,,8-4,,Turnover by G. Antetokounmpo (lost ball)
9:31.0,C. Capela misses 2-pt shot at rim,,8-4,,
9:29.0,,,8-4,,Defensive rebound by J. Parker
9:25.0,,,8-6,2,J. Parker makes 2-pt shot at rim
8:56.0,R. Anderson misses 3-pt shot from 28 ft,,8-6,,
8:56.0,,,8-6,,Defensive rebound by Team
8:44.0,,,8-6,,Offensive charge foul by J. Parker
8:44.0,,,8-6,,Turnover by J. Parker (offensive foul)
8:34.0,R. Anderson misses 3-pt shot from 28 ft,,8-6,,
8:32.0,,,8-6,,Defensive rebound by J. Parker
8:23.0,,,8-8,2,G. Antetokounmpo makes 2-pt shot from 21 ft
8:05.0,T. Ariza makes 3-pt shot from 26 ft (assist by R. Anderson),3,11-8,,
7:46.0,,,11-10,2,M. Plumlee makes 2-pt shot from 3 ft (assist by M. Dellavedova)
7:31.0,R. Anderson misses 2-pt shot from 3 ft,,11-10,,
7:30.0,Offensive rebound by R. Anderson,,11-10,,
7:30.0,R. Anderson makes 2-pt shot from 1 ft,2,13-10,,
7:17.0,,,13-10,,G. Antetokounmpo misses 2-pt shot at rim
7:16.0,,,13-10,,Offensive rebound by G. Antetokounmpo
