time,Memphis,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. B. Lopez (R. Hollis-Jefferson gains possession),,,,Jump ball: M. Gasol vs. B. Lopez (R. Hollis-Jefferson gains possession)
11:46.0,,,0-0,,Turnover by B. Bogdanovic (lost ball)
11:31.0,M. Gasol misses 2-pt shot from 15 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by B. Bogdanovic
11:14.0,,,0-2,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by B. Lopez)
11:01.0,Turnover by J. Green (lost ball; steal by R. Hollis-Jefferson),,0-2,,
10:58.0,,,0-4,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
10:45.0,C. Parsons makes 2-pt shot from 2 ft (assist by M. Gasol),2,2-4,,
10:16.0,,,2-4,,R. Hollis-Jefferson misses 2-pt shot from 10 ft
10:14.0,Defensive rebound by J. Green,,2-4,,
10:06.0,J. Green makes 2-pt shot from 2 ft (assist by M. Conley),2,4-4,,
9:51.0,,,4-4,,S. Dinwiddie misses 2-pt shot from 3 ft
9:50.0,Defensive rebound by J. Green,,4-4,,
9:40.0,M. Conley makes 2-pt shot from 17 ft (assist by M. Gasol),2,6-4,,
9:17.0,,,6-6,2,B. Lopez makes 2-pt shot from 2 ft
9:02.0,M. Gasol misses 2-pt shot from 6 ft,,6-6,,
9:02.0,,,6-6,,Defensive rebound by Team
8:38.0,,,6-6,,R. Foye misses 2-pt shot from 18 ft
8:37.0,Defensive rebound by J. Ennis,,6-6,,
8:26.0,J. Green makes 2-pt shot from 3 ft,2,8-6,,
8:07.0,,,8-9,3,R. Foye makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
7:47.0,J. Green makes 2-pt shot from 16 ft (assist by C. Parsons),2,10-9,,
7:31.0,,,10-12,3,R. Hollis-Jefferson makes 3-pt shot from 25 ft (assist by B. Lopez)
7:16.0,M. Gasol makes 2-pt shot from 15 ft,2,12-12,,
7:04.0,,,12-12,,B. Lopez misses 3-pt shot from 24 ft
7:03.0,Defensive rebound by J. Green,,12-12,,
6:53.0,M. Gasol misses 3-pt shot from 25 ft,,12-12,,
6:52.0,,,12-12,,Defensive rebound by R. Foye
6:44.0,,,12-12,,Turnover by B. Lopez (lost ball; steal by M. Gasol)
6:40.0,Offensive foul by J. Ennis,,12-12,,
6:40.0,Turnover by J. Ennis (offensive foul),,12-12,,
6:29.0,,,12-12,,Offensive foul by B. Lopez
6:29.0,,,12-12,,Turnover by B. Lopez (offensive foul)
6:21.0,M. Gasol misses 2-pt shot at rim,,12-12,,
6:20.0,,,12-12,,Defensive rebound by B. Lopez
6:10.0,,,12-14,2,R. Foye makes 2-pt shot from 3 ft
6:01.0,M. Conley makes 2-pt shot from 2 ft,2,14-14,,
6:01.0,Shooting foul by B. Bogdanovic (drawn by M. Conley),,14-14,,
6:01.0,M. Conley makes free throw 1 of 1,1,15-14,,
6:01.0,Z. Randolph enters the game for J. Green,,14-14,,
6:01.0,,,14-14,,T. Booker enters the game for R. Hollis-Jefferson
6:01.0,,,14-14,,S. Kilpatrick enters the game for B. Bogdanovic
5:50.0,,,15-16,2,T. Booker makes 2-pt shot from 15 ft
5:34.0,M. Gasol makes 2-pt shot from 9 ft (assist by M. Conley),2,17-16,,
5:21.0,,,17-19,3,S. Kilpatrick makes 3-pt shot from 25 ft
5:00.0,M. Gasol makes 2-pt shot from 17 ft,2,19-19,,
4:49.0,,,19-19,,Brooklyn full timeout
4:49.0,V. Carter enters the game for C. Parsons,,19-19,,
4:49.0,T. Douglas enters the game for M. Conley,,19-19,,
4:36.0,,,19-19,,S. Kilpatrick misses 3-pt shot from 26 ft
4:35.0,,,19-19,,Offensive rebound by T. Booker
4:26.0,,,19-19,,S. Kilpatrick misses 3-pt shot from 23 ft
4:25.0,Defensive rebound by Z. Randolph,,19-19,,
4:11.0,Z. Randolph misses 2-pt shot from 22 ft,,19-19,,
4:09.0,Offensive rebound by M. Gasol,,19-19,,
4:02.0,,,19-19,,Personal foul by T. Booker (drawn by M. Gasol)
4:02.0,,,19-19,,J. Harris enters the game for R. Foye
4:02.0,,,19-19,,I. Whitehead enters the game for S. Dinwiddie
4:02.0,,,19-19,,L. Scola enters the game for B. Lopez
3:52.0,,,19-19,,Personal foul by L. Scola (drawn by Z. Randolph)
3:43.0,,,19-19,,Personal foul by J. Harris (drawn by V. Carter)
