time,Dallas,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. D. Nowitzki (Y. Ferrell gains possession),,,,Jump ball: N. Jokic vs. D. Nowitzki (Y. Ferrell gains possession)
11:41.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by W. Matthews),2,2-0,,
11:19.0,,,2-0,,Turnover by N. Jokic (lost ball; steal by D. Nowitzki)
11:08.0,D. Nowitzki misses 2-pt shot from 21 ft,,2-0,,
11:07.0,,,2-0,,Defensive rebound by W. Chandler
11:01.0,,,2-0,,W. Barton misses 2-pt shot from 3 ft
10:59.0,,,2-0,,Offensive rebound by W. Barton
10:55.0,,,2-0,,G. Harris misses 2-pt shot at rim
10:54.0,,,2-0,,Offensive rebound by G. Harris
10:43.0,,,2-2,2,N. Jokic makes 2-pt shot from 12 ft (assist by W. Barton)
10:27.0,Turnover by S. Curry (traveling),,2-2,,
10:27.0,Violation by Team (jump ball),,2-2,,
10:10.0,,,2-4,2,N. Jokic makes 2-pt shot from 2 ft (assist by W. Chandler)
9:56.0,S. Curry misses 3-pt shot from 24 ft,,2-4,,
9:55.0,,,2-4,,Defensive rebound by N. Jokic
9:49.0,,,2-6,2,W. Barton makes 2-pt shot from 1 ft (assist by N. Jokic)
9:31.0,Y. Ferrell makes 2-pt shot from 3 ft (assist by H. Barnes),2,4-6,,
9:31.0,Shooting foul by N. Jokic (drawn by Y. Ferrell),,4-6,,
9:31.0,Y. Ferrell makes free throw 1 of 1,1,5-6,,
9:20.0,,,5-6,,Turnover by N. Jokic (bad pass)
8:57.0,Turnover by W. Matthews (lost ball; steal by G. Harris),,5-6,,
8:55.0,,,5-6,,Shooting foul by D. Nowitzki (drawn by G. Harris)
8:55.0,,,5-7,1,G. Harris makes free throw 1 of 2
8:55.0,,,5-8,1,G. Harris makes free throw 2 of 2
8:47.0,Turnover by Y. Ferrell (bad pass),,5-8,,
8:33.0,,,5-8,,W. Chandler misses 2-pt shot from 9 ft
8:33.0,Defensive rebound by W. Matthews,,5-8,,
8:24.0,D. Nowitzki makes 2-pt shot from 22 ft (assist by W. Matthews),2,7-8,,
8:16.0,,,7-10,2,W. Barton makes 2-pt shot from 16 ft (assist by J. Nelson)
8:07.0,Shooting foul by N. Jokic (drawn by D. Nowitzki),,7-10,,
8:07.0,D. Nowitzki misses free throw 1 of 2,,7-10,,
8:07.0,Offensive rebound by Team,,7-10,,
8:07.0,D. Nowitzki makes free throw 2 of 2,1,8-10,,
8:07.0,,,7-10,,D. Arthur enters the game for N. Jokic
7:58.0,,,8-10,,Turnover by W. Barton (lost ball; steal by Y. Ferrell)
7:52.0,S. Curry misses 3-pt shot from 25 ft,,8-10,,
7:50.0,,,8-10,,Defensive rebound by W. Chandler
7:36.0,,,8-12,2,D. Arthur makes 2-pt shot from 18 ft (assist by W. Chandler)
7:14.0,W. Matthews misses 2-pt shot from 19 ft,,8-12,,
7:13.0,,,8-12,,Defensive rebound by W. Chandler
7:00.0,,,8-14,2,W. Barton makes 2-pt shot at rim
7:00.0,Dallas full timeout,,8-14,,
7:00.0,D. Harris enters the game for D. Nowitzki,,8-14,,
7:00.0,S. Mejri enters the game for Y. Ferrell,,8-14,,
6:45.0,S. Curry makes 2-pt shot from 11 ft (assist by D. Harris),2,10-14,,
6:32.0,,,10-14,,W. Barton misses 3-pt shot from 25 ft
6:31.0,Defensive rebound by S. Mejri,,10-14,,
6:19.0,,,10-14,,Personal foul by W. Barton (drawn by S. Curry)
6:06.0,H. Barnes makes 2-pt shot from 6 ft,2,12-14,,
5:43.0,,,12-16,2,W. Barton makes 2-pt shot from 1 ft
5:27.0,S. Curry makes 2-pt shot from 18 ft,2,14-16,,
5:17.0,,,14-16,,J. Nelson misses 3-pt shot from 25 ft
5:16.0,Defensive rebound by W. Matthews,,14-16,,
5:08.0,S. Curry misses 3-pt shot from 25 ft,,14-16,,
5:07.0,,,14-16,,Defensive rebound by W. Barton
4:58.0,,,14-19,3,D. Arthur makes 3-pt shot from 26 ft (assist by W. Barton)
4:40.0,H. Barnes misses 2-pt shot from 16 ft,,14-19,,
4:39.0,,,14-19,,Defensive rebound by W. Barton
4:33.0,,,14-19,,W. Barton misses 2-pt shot from 2 ft
4:31.0,Defensive rebound by H. Barnes,,14-19,,
4:23.0,S. Curry makes 3-pt shot from 23 ft (assist by D. Harris),3,17-19,,
4:23.0,,,17-19,,Denver full timeout
4:23.0,D. Powell enters the game for S. Mejri,,17-19,,
