time,Toronto,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: M. Plumlee vs. J. Valanciunas (K. Lowry gains possession)
11:40.0,P. Siakam misses 2-pt shot from 7 ft,,0-0,,
11:40.0,Offensive rebound by Team,,0-0,,
11:40.0,,,0-0,,Loose ball foul by M. Plumlee (drawn by J. Valanciunas)
11:33.0,D. Carroll misses 2-pt shot from 22 ft,,0-0,,
11:31.0,Offensive rebound by D. DeRozan,,0-0,,
11:23.0,D. DeRozan misses 2-pt shot from 4 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by M. Harkless
11:12.0,,,0-0,,A. Aminu misses 3-pt shot from 24 ft
11:12.0,,,0-0,,Offensive rebound by M. Plumlee
11:09.0,Personal foul by D. DeRozan (drawn by M. Plumlee),,0-0,,
11:04.0,,,0-2,2,C. McCollum makes 2-pt shot from 23 ft
10:48.0,D. DeRozan misses 2-pt shot from 4 ft,,0-2,,
10:47.0,,,0-2,,Defensive rebound by M. Plumlee
10:39.0,,,0-4,2,M. Harkless makes 2-pt shot from 1 ft (assist by M. Plumlee)
10:24.0,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan),2,2-4,,
10:06.0,,,2-4,,A. Crabbe misses 2-pt shot from 18 ft
10:05.0,Defensive rebound by K. Lowry,,2-4,,
10:00.0,K. Lowry misses 3-pt shot from 24 ft,,2-4,,
9:59.0,,,2-4,,Defensive rebound by M. Plumlee
9:51.0,,,2-4,,A. Crabbe misses 2-pt shot from 13 ft
9:50.0,Defensive rebound by J. Valanciunas,,2-4,,
9:46.0,Turnover by K. Lowry (bad pass),,2-4,,
9:26.0,,,2-4,,Shooting foul by J. Valanciunas (drawn by M. Plumlee)
9:26.0,,,2-5,1,M. Plumlee makes free throw 1 of 2
9:26.0,,,2-6,1,M. Plumlee makes free throw 2 of 2
9:14.0,D. DeRozan misses 2-pt shot from 4 ft,,2-6,,
9:13.0,,,2-6,,Defensive rebound by M. Plumlee
9:07.0,,,2-6,,M. Harkless misses 2-pt shot from 3 ft
9:07.0,Defensive rebound by D. Carroll,,2-6,,
8:56.0,J. Valanciunas misses 2-pt shot from 11 ft,,2-6,,
8:56.0,,,2-6,,Defensive rebound by M. Plumlee
8:47.0,,,2-6,,C. McCollum misses 3-pt shot from 25 ft
8:47.0,,,2-6,,Offensive rebound by C. McCollum
8:43.0,,,2-8,2,C. McCollum makes 2-pt shot from 1 ft
8:27.0,,,2-8,,Personal foul by A. Crabbe (drawn by D. DeRozan)
8:20.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry),2,4-8,,
8:08.0,,,4-8,,Turnover by C. McCollum (lost ball; steal by D. DeRozan)
8:02.0,D. DeRozan makes 2-pt shot from 3 ft,2,6-8,,
7:49.0,,,6-8,,Offensive foul by M. Harkless
7:49.0,,,6-8,,Turnover by M. Harkless (offensive foul)
7:36.0,K. Lowry makes 2-pt shot from 17 ft,2,8-8,,
7:23.0,,,8-8,,A. Crabbe misses 2-pt shot from 19 ft
7:22.0,Defensive rebound by J. Valanciunas,,8-8,,
7:16.0,K. Lowry misses 3-pt shot from 26 ft,,8-8,,
7:16.0,,,8-8,,Defensive rebound by A. Aminu
7:03.0,,,8-8,,M. Harkless misses 2-pt shot from 3 ft
7:02.0,,,8-8,,Offensive rebound by M. Plumlee
7:02.0,,,8-10,2,M. Plumlee makes 2-pt shot at rim
6:42.0,D. Carroll misses 3-pt shot from 26 ft,,8-10,,
6:40.0,,,8-10,,Defensive rebound by A. Aminu
6:29.0,,,8-10,,A. Aminu misses 2-pt shot from 12 ft
6:28.0,Defensive rebound by D. DeRozan,,8-10,,
6:23.0,Turnover by D. DeRozan (lost ball),,8-10,,
6:06.0,,,8-13,3,C. McCollum makes 3-pt shot from 24 ft (assist by A. Aminu)
5:53.0,Shooting foul by C. McCollum (drawn by K. Lowry),,8-13,,
5:53.0,,,8-13,,Portland full timeout
5:53.0,K. Lowry makes free throw 1 of 2,1,9-13,,
5:53.0,K. Lowry makes free throw 2 of 2,1,10-13,,
5:53.0,P. Patterson enters the game for P. Siakam,,8-13,,
5:53.0,,,8-13,,E. Turner enters the game for A. Crabbe
5:33.0,,,10-15,2,M. Plumlee makes 2-pt shot from 4 ft (assist by E. Turner)
5:17.0,D. Carroll misses 3-pt shot from 23 ft,,10-15,,
5:16.0,,,10-15,,Defensive rebound by A. Aminu
5:10.0,,,10-15,,C. McCollum misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by J. Valanciunas,,10-15,,
4:59.0,P. Patterson misses 3-pt shot from 23 ft,,10-15,,
4:57.0,,,10-15,,Defensive rebound by M. Plumlee
4:51.0,,,10-15,,Turnover by M. Harkless (lost ball; steal by J. Valanciunas)
4:36.0,J. Valanciunas makes 2-pt shot from 3 ft,2,12-15,,
4:21.0,,,12-15,,M. Plumlee misses 2-pt shot from 2 ft
4:21.0,Defensive rebound by J. Valanciunas,,12-15,,
4:09.0,P. Patterson misses 3-pt shot from 23 ft,,12-15,,
4:08.0,,,12-15,,Defensive rebound by M. Harkless
4:02.0,,,12-18,3,C. McCollum makes 3-pt shot from 24 ft (assist by M. Harkless)
3:45.0,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry),2,14-18,,
3:28.0,,,14-20,2,E. Turner makes 2-pt shot from 1 ft (assist by M. Plumlee)
3:14.0,Turnover by D. DeRozan (lost ball; steal by M. Harkless),,14-20,,
3:09.0,,,14-20,,Turnover by M. Harkless (bad pass; steal by K. Lowry)
3:04.0,P. Patterson misses 3-pt shot from 24 ft,,14-20,,
3:04.0,,,14-20,,Defensive rebound by A. Aminu
2:55.0,,,14-20,,Turnover by C. McCollum (bad pass; steal by D. DeRozan)
2:43.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan),2,16-20,,
2:24.0,,,16-22,2,M. Plumlee makes 2-pt shot from 2 ft (assist by E. Turner)
2:18.0,Toronto full timeout,,16-22,,
2:18.0,C. Joseph enters the game for D. Carroll,,16-22,,
2:18.0,L. Nogueira enters the game for J. Valanciunas,,16-22,,
2:18.0,T. Ross enters the game for K. Lowry,,16-22,,
2:18.0,,,16-22,,S. Napier enters the game for M. Harkless
2:18.0,,,16-22,,M. Leonard enters the game for A. Aminu
2:18.0,,,16-22,,A. Crabbe enters the game for M. Plumlee
2:18.0,,,16-22,,N. Vonleh enters the game for C. McCollum
2:04.0,D. DeRozan makes 2-pt shot from 16 ft,2,18-22,,
1:48.0,,,18-22,,S. Napier misses 3-pt shot from 25 ft
1:47.0,Defensive rebound by D. DeRozan,,18-22,,
1:28.0,P. Patterson misses 2-pt shot from 8 ft,,18-22,,
1:27.0,Offensive rebound by P. Patterson,,18-22,,
1:17.0,Shooting foul by N. Vonleh (drawn by D. DeRozan),,18-22,,
1:17.0,D. DeRozan misses free throw 1 of 2,,18-22,,
1:17.0,Offensive rebound by Team,,18-22,,
1:17.0,D. DeRozan makes free throw 2 of 2,1,19-22,,
1:01.0,,,19-24,2,A. Crabbe makes 2-pt shot from 1 ft (assist by N. Vonleh)
0:53.0,Turnover by L. Nogueira (offensive goaltending),,19-24,,
0:39.0,,,19-24,,E. Turner misses 2-pt shot from 17 ft
0:38.0,Defensive rebound by T. Ross,,19-24,,
0:28.0,D. DeRozan makes 2-pt shot from 15 ft (assist by C. Joseph),2,21-24,,
0:03.0,,,21-24,,E. Turner misses 2-pt shot from 17 ft
0:02.0,,,21-24,,Offensive rebound by N. Vonleh
0:00.0,,,21-24,,N. Vonleh misses 2-pt shot from 3 ft
0:00.0,Defensive rebound by C. Joseph,,21-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,21-24,,S. Napier misses 2-pt shot from 2 ft
11:40.0,Defensive rebound by P. Patterson,,21-24,,
11:26.0,C. Joseph misses 2-pt shot from 2 ft,,21-24,,
11:26.0,,,21-24,,Defensive rebound by M. Leonard
11:05.0,,,21-24,,M. Leonard misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by L. Nogueira,,21-24,,
10:49.0,T. Ross misses 2-pt shot from 19 ft,,21-24,,
10:48.0,,,21-24,,Defensive rebound by N. Vonleh
10:39.0,,,21-24,,Turnover by M. Leonard (bad pass; steal by T. Ross)
10:39.0,Turnover by P. Patterson (bad pass; steal by S. Napier),,21-24,,
10:39.0,Personal foul by T. Ross (drawn by S. Napier),,21-24,,
10:30.0,,,21-24,,Turnover by S. Napier (bad pass; steal by T. Ross)
10:26.0,T. Ross makes 2-pt shot at rim,2,23-24,,
10:08.0,,,23-26,2,A. Crabbe makes 2-pt shot from 20 ft
9:46.0,C. Joseph misses 2-pt shot from 16 ft,,23-26,,
9:45.0,Offensive rebound by L. Nogueira,,23-26,,
9:42.0,P. Patterson makes 3-pt shot from 24 ft (assist by L. Nogueira),3,26-26,,
9:26.0,,,26-26,,Turnover by S. Napier (bad pass; steal by T. Ross)
9:24.0,Turnover by T. Ross (lost ball; steal by E. Turner),,26-26,,
9:20.0,,,26-26,,A. Crabbe misses 3-pt shot from 24 ft
9:18.0,,,26-26,,Offensive rebound by N. Vonleh
9:15.0,,,26-29,3,E. Turner makes 3-pt shot from 24 ft (assist by N. Vonleh)
8:58.0,T. Ross misses 2-pt shot from 12 ft,,26-29,,
8:57.0,,,26-29,,Defensive rebound by N. Vonleh
8:52.0,,,26-29,,Turnover by E. Turner (bad pass)
8:52.0,Official timeout,,26-29,,
8:40.0,Shooting foul by M. Leonard (drawn by L. Nogueira),,26-29,,
8:40.0,L. Nogueira makes free throw 1 of 2,1,27-29,,
8:40.0,L. Nogueira makes free throw 2 of 2,1,28-29,,
8:20.0,,,28-31,2,E. Turner makes 2-pt shot from 11 ft
8:00.0,T. Ross misses 3-pt shot from 26 ft,,28-31,,
7:59.0,,,28-31,,Defensive rebound by E. Turner
7:48.0,,,28-31,,N. Vonleh misses 2-pt shot from 9 ft
7:47.0,Defensive rebound by L. Nogueira,,28-31,,
7:35.0,C. Joseph makes 2-pt shot from 4 ft,2,30-31,,
7:17.0,,,30-34,3,S. Napier makes 3-pt shot from 28 ft (assist by E. Turner)
