time,Indiana,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:36.0,C. Miles misses 2-pt shot from 2 ft,,0-0,,
12:00.0,Jump ball: A. Johnson vs. M. Turner (T. Young gains possession),,,,Jump ball: A. Johnson vs. M. Turner (T. Young gains possession)
11:35.0,,,0-0,,Defensive rebound by J. Crowder
11:22.0,,,0-0,,Turnover by A. Bradley (lost ball; steal by C. Miles)
11:13.0,J. Teague makes 2-pt shot from 5 ft,2,2-0,,
10:51.0,,,2-0,,I. Thomas misses 2-pt shot at rim
10:50.0,,,2-0,,Offensive rebound by A. Horford
10:50.0,,,2-0,,A. Horford misses 2-pt shot from 1 ft (block by M. Turner)
10:49.0,,,2-0,,Offensive rebound by Team
10:49.0,,,2-0,,Shooting foul by J. Teague (drawn by A. Horford)
10:49.0,,,2-0,,A. Horford misses free throw 1 of 2
10:49.0,,,2-0,,Offensive rebound by Team
10:49.0,,,2-1,1,A. Horford makes free throw 2 of 2
10:29.0,T. Young misses 2-pt shot from 7 ft,,2-1,,
10:28.0,,,2-1,,Defensive rebound by A. Horford
10:10.0,,,2-3,2,A. Horford makes 2-pt shot from 10 ft
9:51.0,M. Turner misses 2-pt shot from 20 ft,,2-3,,
9:50.0,,,2-3,,Defensive rebound by A. Johnson
9:36.0,,,2-6,3,I. Thomas makes 3-pt shot from 24 ft (assist by A. Horford)
9:20.0,M. Turner makes 2-pt shot at rim (assist by J. Teague),2,4-6,,
9:06.0,,,4-6,,Turnover by A. Johnson (lost ball; steal by J. Teague)
9:02.0,J. Teague makes 2-pt shot at rim,2,6-6,,
8:35.0,,,6-8,2,J. Crowder makes 2-pt shot from 21 ft
8:22.0,Shooting foul by A. Johnson (drawn by P. George),,6-8,,
8:22.0,P. George makes free throw 1 of 2,1,7-8,,
8:22.0,P. George misses free throw 2 of 2,,7-8,,
8:22.0,,,7-8,,Defensive rebound by J. Crowder
8:01.0,,,7-10,2,A. Bradley makes 2-pt shot from 1 ft (assist by A. Horford)
7:50.0,P. George misses 2-pt shot from 16 ft,,7-10,,
7:49.0,,,7-10,,Defensive rebound by A. Bradley
7:43.0,Personal foul by P. George (drawn by A. Johnson),,7-10,,
7:31.0,,,7-10,,Turnover by A. Bradley (bad pass; steal by M. Turner)
7:25.0,C. Miles makes 2-pt shot from 2 ft (assist by M. Turner),2,9-10,,
7:09.0,,,9-10,,I. Thomas misses 2-pt shot from 19 ft
