time,Philadelphia,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. J. Okafor (D. Lillard gains possession),,,,Jump ball: J. Nurkic vs. J. Okafor (D. Lillard gains possession)
11:41.0,,,0-2,2,M. Harkless makes 2-pt shot at rim (assist by J. Nurkic)
11:22.0,N. Stauskas misses 2-pt shot from 16 ft,,0-2,,
11:21.0,Offensive rebound by J. Okafor,,0-2,,
11:18.0,J. Okafor misses 2-pt shot at rim (block by J. Nurkic),,0-2,,
11:16.0,,,0-2,,Defensive rebound by J. Nurkic
11:08.0,,,0-4,2,J. Nurkic makes 2-pt shot from 5 ft (assist by D. Lillard)
10:53.0,Turnover by R. Covington (lost ball; steal by M. Harkless),,0-4,,
10:38.0,,,0-4,,J. Nurkic misses 2-pt shot from 18 ft
10:37.0,,,0-4,,Offensive rebound by Team
10:27.0,,,0-4,,J. Nurkic misses 2-pt shot from 2 ft
10:26.0,Defensive rebound by D. Saric,,0-4,,
10:24.0,,,0-4,,Personal foul by N. Vonleh (drawn by D. Saric)
10:10.0,N. Stauskas misses 2-pt shot from 2 ft (block by J. Nurkic),,0-4,,
10:10.0,Offensive rebound by Team,,0-4,,
10:06.0,R. Covington makes 2-pt shot from 15 ft,2,2-4,,
9:50.0,,,2-4,,C. McCollum misses 2-pt shot from 15 ft
9:48.0,,,2-4,,Offensive rebound by N. Vonleh
9:48.0,,,2-6,2,N. Vonleh makes 2-pt shot from 1 ft
9:36.0,T. McConnell misses 2-pt shot from 4 ft,,2-6,,
9:36.0,,,2-6,,Defensive rebound by J. Nurkic
9:29.0,Jump ball: D. Saric vs. N. Vonleh (N. Stauskas gains possession),,,,Jump ball: D. Saric vs. N. Vonleh (N. Stauskas gains possession)
9:29.0,,,2-6,,Turnover by N. Vonleh (lost ball; steal by D. Saric)
9:19.0,,,2-6,,Personal foul by N. Vonleh (drawn by D. Saric)
9:08.0,D. Saric misses 3-pt shot from 24 ft,,2-6,,
9:07.0,,,2-6,,Defensive rebound by Team
8:53.0,,,2-6,,D. Lillard misses 2-pt shot from 9 ft
8:52.0,,,2-6,,Offensive rebound by J. Nurkic
8:51.0,,,2-8,2,J. Nurkic makes 2-pt shot from 1 ft
8:35.0,R. Covington misses 2-pt shot from 4 ft,,2-8,,
8:34.0,Offensive rebound by R. Covington,,2-8,,
8:29.0,D. Saric makes 3-pt shot from 25 ft (assist by R. Covington),3,5-8,,
8:06.0,,,5-8,,C. McCollum misses 2-pt shot from 16 ft
8:04.0,Defensive rebound by R. Covington,,5-8,,
7:57.0,D. Saric misses 2-pt shot from 3 ft (block by J. Nurkic),,5-8,,
7:55.0,,,5-8,,Defensive rebound by D. Lillard
7:49.0,,,5-8,,Turnover by D. Lillard (bad pass; steal by T. McConnell)
7:35.0,Shooting foul by N. Vonleh (drawn by J. Okafor),,5-8,,
7:35.0,J. Okafor makes free throw 1 of 2,1,6-8,,
7:35.0,J. Okafor makes free throw 2 of 2,1,7-8,,
7:35.0,,,6-8,,A. Aminu enters the game for N. Vonleh
7:21.0,,,7-8,,D. Lillard misses 2-pt shot from 19 ft
7:20.0,Defensive rebound by J. Okafor,,7-8,,
7:09.0,J. Okafor misses 2-pt shot from 5 ft (block by J. Nurkic),,7-8,,
7:06.0,Offensive rebound by J. Okafor,,7-8,,
7:04.0,J. Okafor misses 2-pt shot from 1 ft,,7-8,,
7:02.0,,,7-8,,Defensive rebound by C. McCollum
6:58.0,,,7-10,2,C. McCollum makes 2-pt shot from 1 ft
6:43.0,D. Saric misses 3-pt shot from 25 ft,,7-10,,
6:42.0,,,7-10,,Defensive rebound by C. McCollum
6:28.0,,,7-12,2,C. McCollum makes 2-pt shot from 20 ft
6:28.0,Philadelphia full timeout,,7-12,,
6:04.0,N. Stauskas misses 3-pt shot from 26 ft,,7-12,,
6:04.0,Offensive rebound by D. Saric,,7-12,,
6:01.0,D. Saric misses 2-pt shot from 4 ft (block by J. Nurkic),,7-12,,
5:59.0,,,7-12,,Defensive rebound by D. Lillard
5:53.0,,,7-14,2,A. Aminu makes 2-pt shot at rim (assist by D. Lillard)
5:38.0,R. Covington misses 3-pt shot from 26 ft,,7-14,,
5:38.0,,,7-14,,Defensive rebound by J. Nurkic
5:21.0,,,7-14,,M. Harkless misses 2-pt shot from 2 ft
5:20.0,,,7-14,,Offensive rebound by M. Harkless
5:20.0,,,7-14,,Shooting foul by R. Covington (drawn by M. Harkless)
5:20.0,,,7-14,,M. Harkless misses free throw 1 of 2
5:20.0,,,7-14,,Offensive rebound by Team
5:20.0,,,7-14,,M. Harkless misses free throw 2 of 2
5:20.0,,,7-14,,A. Crabbe enters the game for C. McCollum
5:20.0,G. Henderson enters the game for J. Okafor,,7-14,,
5:20.0,J. Anderson enters the game for D. Saric,,7-14,,
5:20.0,R. Holmes enters the game for N. Stauskas,,7-14,,
5:19.0,Defensive rebound by J. Anderson,,7-14,,
5:07.0,J. Anderson misses 3-pt shot from 26 ft,,7-14,,
5:06.0,Offensive rebound by G. Henderson,,7-14,,
5:06.0,G. Henderson makes 2-pt shot at rim,2,9-14,,
4:50.0,,,9-14,,M. Harkless misses 2-pt shot from 1 ft (block by J. Anderson)
4:49.0,Defensive rebound by R. Covington,,9-14,,
4:40.0,R. Covington makes 2-pt shot from 2 ft,2,11-14,,
4:25.0,,,11-14,,M. Leonard enters the game for J. Nurkic
4:22.0,Personal foul by R. Holmes (drawn by D. Lillard),,11-14,,
4:16.0,,,11-14,,D. Lillard misses 2-pt shot from 21 ft
4:15.0,Defensive rebound by R. Covington,,11-14,,
4:06.0,R. Covington misses 3-pt shot from 26 ft,,11-14,,
4:05.0,,,11-14,,Defensive rebound by M. Leonard
3:52.0,,,11-14,,Shooting foul by T. McConnell (drawn by D. Lillard)
3:52.0,,,11-16,2,D. Lillard makes 2-pt shot from 17 ft
3:52.0,,,11-17,1,D. Lillard makes free throw 1 of 1
3:32.0,R. Covington misses 2-pt shot from 2 ft,,11-17,,
3:31.0,,,11-17,,Defensive rebound by M. Harkless
3:25.0,,,11-19,2,A. Crabbe makes 2-pt shot from 21 ft (assist by M. Harkless)
3:07.0,G. Henderson makes 2-pt shot at rim (assist by T. McConnell),2,13-19,,
2:55.0,,,13-19,,Turnover by M. Harkless (offensive goaltending)
2:55.0,,,13-19,,Portland full timeout
2:55.0,,,13-19,,C. McCollum enters the game for M. Harkless
2:55.0,,,13-19,,S. Napier enters the game for D. Lillard
2:55.0,S. Rodriguez enters the game for T. McConnell,,13-19,,
2:43.0,G. Henderson misses 2-pt shot from 20 ft,,13-19,,
2:41.0,,,13-19,,Defensive rebound by C. McCollum
