time,Washington,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. K. O'Quinn (J. Wall gains possession),,,,Jump ball: M. Gortat vs. K. O'Quinn (J. Wall gains possession)
11:45.0,M. Gortat misses 2-pt shot from 2 ft (block by K. O'Quinn),,0-0,,
11:42.0,,,0-0,,Defensive rebound by K. O'Quinn
11:25.0,,,0-2,2,K. O'Quinn makes 2-pt shot from 20 ft (assist by M. Kuzminskas)
11:06.0,B. Beal makes 2-pt shot from 14 ft (assist by O. Porter),2,2-2,,
10:42.0,,,2-2,,Turnover by M. Kuzminskas (bad pass; steal by O. Porter)
10:30.0,M. Gortat makes 2-pt shot from 4 ft (assist by B. Beal),2,4-2,,
10:14.0,,,4-2,,D. Rose misses 2-pt shot from 2 ft
10:12.0,,,4-2,,Offensive rebound by D. Rose
10:11.0,,,4-2,,D. Rose misses 2-pt shot from 1 ft
10:10.0,,,4-2,,Offensive rebound by K. O'Quinn
10:08.0,,,4-4,2,K. O'Quinn makes 2-pt shot from 2 ft
9:56.0,Turnover by M. Morris (bad pass; steal by K. O'Quinn),,4-4,,
9:51.0,Personal foul by O. Porter (drawn by K. O'Quinn),,4-4,,
9:44.0,,,4-4,,C. Anthony misses 2-pt shot from 5 ft
9:42.0,Defensive rebound by O. Porter,,4-4,,
9:35.0,,,4-4,,Personal foul by R. Baker (drawn by B. Beal)
9:32.0,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall),2,6-4,,
9:24.0,,,6-4,,D. Rose misses 2-pt shot from 2 ft
9:22.0,Defensive rebound by M. Gortat,,6-4,,
9:22.0,Offensive foul by J. Wall,,6-4,,
9:22.0,Turnover by J. Wall (offensive foul),,6-4,,
9:14.0,,,6-4,,R. Baker misses 2-pt shot from 2 ft (block by O. Porter)
9:12.0,Defensive rebound by O. Porter,,6-4,,
9:03.0,M. Morris makes 2-pt shot from 6 ft (assist by O. Porter),2,8-4,,
8:56.0,,,8-4,,C. Anthony misses 2-pt shot from 6 ft
8:52.0,Defensive rebound by O. Porter,,8-4,,
8:47.0,B. Beal misses 3-pt shot from 25 ft,,8-4,,
8:46.0,Offensive rebound by Team,,8-4,,
8:42.0,B. Beal makes 2-pt shot from 2 ft,2,10-4,,
8:26.0,,,10-4,,K. O'Quinn misses 2-pt shot from 20 ft
8:24.0,Defensive rebound by J. Wall,,10-4,,
8:14.0,M. Gortat misses 2-pt shot from 5 ft (block by K. O'Quinn),,10-4,,
8:11.0,Offensive rebound by M. Gortat,,10-4,,
8:10.0,M. Gortat misses 2-pt shot from 6 ft,,10-4,,
8:08.0,,,10-4,,Defensive rebound by K. O'Quinn
8:04.0,,,10-6,2,D. Rose makes 2-pt shot from 2 ft
7:52.0,J. Wall makes 2-pt shot from 7 ft,2,12-6,,
7:29.0,,,12-9,3,M. Kuzminskas makes 3-pt shot from 25 ft (assist by K. O'Quinn)
7:08.0,M. Morris makes 2-pt shot from 2 ft (assist by J. Wall),2,14-9,,
6:55.0,,,14-9,,Turnover by R. Baker (traveling)
6:46.0,J. Wall makes 2-pt shot at rim,2,16-9,,
6:30.0,,,16-11,2,C. Anthony makes 2-pt shot from 2 ft (assist by K. O'Quinn)
6:19.0,M. Gortat makes 2-pt shot at rim (assist by M. Morris),2,18-11,,
6:11.0,,,18-11,,New York full timeout
6:11.0,,,18-11,,C. Lee enters the game for C. Anthony
6:11.0,,,18-11,,K. Porzingis enters the game for R. Baker
6:06.0,,,18-11,,D. Rose misses 2-pt shot from 19 ft
6:05.0,Defensive rebound by M. Morris,,18-11,,
6:02.0,J. Wall makes 2-pt shot from 2 ft (assist by M. Morris),2,20-11,,
5:45.0,,,20-11,,C. Lee misses 2-pt shot from 16 ft
5:43.0,Defensive rebound by J. Wall,,20-11,,
5:27.0,B. Beal misses 3-pt shot from 26 ft,,20-11,,
5:25.0,,,20-11,,Defensive rebound by K. Porzingis
