time,Sacramento,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. K. Koufos (R. Gay gains possession),,,,Jump ball: M. Gortat vs. K. Koufos (R. Gay gains possession)
11:34.0,R. Gay makes 2-pt shot from 15 ft (assist by D. Cousins),2,2-0,,
11:08.0,,,2-3,3,O. Porter makes 3-pt shot from 25 ft (assist by B. Beal)
10:47.0,D. Cousins misses 2-pt shot from 16 ft,,2-3,,
10:44.0,Offensive rebound by R. Gay,,2-3,,
10:40.0,R. Gay misses 2-pt shot from 2 ft,,2-3,,
10:39.0,,,2-3,,Defensive rebound by O. Porter
10:35.0,,,2-5,2,M. Morris makes 2-pt shot from 16 ft (assist by J. Wall)
10:15.0,A. Afflalo makes 2-pt shot from 5 ft,2,4-5,,
10:05.0,,,4-8,3,B. Beal makes 3-pt shot from 27 ft (assist by J. Wall)
9:41.0,Turnover by D. Cousins (lost ball; steal by O. Porter),,4-8,,
9:38.0,,,4-8,,Shooting foul by R. Gay (drawn by O. Porter)
9:38.0,,,4-8,,O. Porter misses free throw 1 of 2
9:38.0,,,4-8,,Offensive rebound by Team
9:38.0,,,4-9,1,O. Porter makes free throw 2 of 2
9:14.0,D. Cousins misses 2-pt shot from 16 ft,,4-9,,
9:12.0,Offensive rebound by K. Koufos,,4-9,,
9:08.0,R. Gay misses 3-pt shot from 25 ft,,4-9,,
9:07.0,,,4-9,,Defensive rebound by J. Wall
9:01.0,,,4-12,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
8:38.0,D. Cousins misses 3-pt shot from 26 ft,,4-12,,
8:37.0,,,4-12,,Defensive rebound by J. Wall
8:31.0,,,4-12,,B. Beal misses 3-pt shot from 25 ft
8:29.0,Defensive rebound by R. Gay,,4-12,,
8:20.0,D. Collison makes 2-pt shot from 18 ft,2,6-12,,
8:02.0,,,6-14,2,M. Gortat makes 2-pt shot from 1 ft (assist by M. Morris)
7:53.0,K. Koufos makes 2-pt shot from 11 ft (assist by D. Collison),2,8-14,,
