time,Detroit,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Thompson (T. Harris gains possession),,,,Jump ball: A. Drummond vs. T. Thompson (T. Harris gains possession)
11:40.0,T. Harris makes 3-pt shot from 25 ft (assist by A. Drummond),3,3-0,,
11:22.0,,,3-0,,T. Thompson misses 2-pt shot from 5 ft
11:21.0,Defensive rebound by M. Morris,,3-0,,
11:10.0,M. Morris misses 2-pt shot from 18 ft,,3-0,,
11:09.0,,,3-0,,Defensive rebound by L. James
11:00.0,,,3-0,,L. James misses 2-pt shot from 15 ft
10:58.0,Defensive rebound by A. Drummond,,3-0,,
10:53.0,I. Smith misses 2-pt shot from 2 ft,,3-0,,
10:52.0,,,3-0,,Defensive rebound by K. Love
10:37.0,,,3-0,,K. Irving misses 2-pt shot from 3 ft
10:35.0,Defensive rebound by A. Drummond,,3-0,,
10:23.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by I. Smith),3,6-0,,
10:23.0,,,6-0,,Cleveland full timeout
10:12.0,,,6-2,2,L. James makes 2-pt shot at rim (assist by K. Irving)
9:54.0,M. Morris misses 2-pt shot from 16 ft,,6-2,,
9:53.0,,,6-2,,Defensive rebound by T. Thompson
9:44.0,,,6-5,3,J. Smith makes 3-pt shot from 25 ft (assist by K. Love)
9:22.0,A. Drummond misses 2-pt shot from 1 ft,,6-5,,
9:22.0,,,6-5,,Defensive rebound by T. Thompson
9:16.0,,,6-5,,K. Love misses 3-pt shot from 23 ft
9:15.0,,,6-5,,Offensive rebound by Team
9:06.0,,,6-8,3,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving)
8:46.0,T. Harris makes 2-pt shot from 14 ft (assist by I. Smith),2,8-8,,
8:39.0,,,8-10,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
8:25.0,M. Morris makes 3-pt shot from 26 ft (assist by I. Smith),3,11-10,,
8:10.0,,,11-12,2,T. Thompson makes 2-pt shot from 1 ft (assist by K. Irving)
8:06.0,Detroit full timeout,,11-12,,
7:53.0,K. Caldwell-Pope misses 2-pt shot from 10 ft,,11-12,,
7:52.0,,,11-12,,Defensive rebound by L. James
7:45.0,Personal foul by K. Caldwell-Pope (drawn by L. James),,11-12,,
7:39.0,,,11-15,3,K. Irving makes 3-pt shot from 24 ft (assist by T. Thompson)
7:26.0,I. Smith misses 2-pt shot from 6 ft,,11-15,,
7:25.0,,,11-15,,Defensive rebound by T. Thompson
7:23.0,,,11-15,,Turnover by J. Smith (bad pass)
7:08.0,K. Caldwell-Pope makes 2-pt shot from 5 ft (assist by M. Morris),2,13-15,,
7:01.0,,,13-15,,T. Thompson misses 2-pt shot at rim
7:01.0,,,13-15,,Offensive rebound by Team
6:56.0,,,13-15,,J. Smith misses 3-pt shot from 23 ft
6:56.0,Defensive rebound by A. Drummond,,13-15,,
6:53.0,Turnover by I. Smith (lost ball; steal by J. Smith),,13-15,,
6:46.0,,,13-18,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
6:31.0,T. Harris misses 2-pt shot from 8 ft (block by T. Thompson),,13-18,,
6:31.0,,,13-18,,Defensive rebound by Team
