time,Portland,pts.away,score,pts.home,Detroit
4:27.0,,,96-104,,A. Drummond misses free throw 1 of 1
4:26.0,Defensive rebound by M. Harkless,,96-104,,
4:18.0,D. Lillard makes 2-pt shot from 1 ft,2,98-104,,
4:10.0,Personal take foul by A. Crabbe (drawn by A. Drummond),,98-104,,
4:10.0,,,98-105,1,A. Drummond makes free throw 1 of 2
4:10.0,,,98-105,,A. Drummond misses free throw 2 of 2
4:09.0,,,98-105,,Offensive rebound by S. Johnson
4:04.0,,,98-105,,S. Johnson misses 2-pt shot from 6 ft (block by M. Harkless)
4:04.0,Defensive rebound by M. Harkless,,98-105,,
4:01.0,,,98-105,,Personal foul by K. Caldwell-Pope (drawn by D. Lillard)
4:01.0,,,98-105,,A. Baynes enters the game for A. Drummond
3:46.0,A. Crabbe makes 2-pt shot from 18 ft (assist by J. Nurkic),2,100-105,,
3:27.0,,,100-105,,M. Morris misses 2-pt shot at rim
3:26.0,Defensive rebound by M. Harkless,,100-105,,
3:23.0,Turnover by M. Harkless (lost ball; steal by S. Johnson),,100-105,,
2:58.0,,,100-105,,M. Morris misses 2-pt shot from 17 ft
2:56.0,Defensive rebound by D. Lillard,,100-105,,
2:50.0,A. Crabbe makes 3-pt shot from 27 ft (assist by J. Nurkic),3,103-105,,
2:27.0,,,103-105,,I. Smith misses 2-pt shot from 17 ft
2:26.0,Defensive rebound by C. McCollum,,103-105,,
2:19.0,Shooting foul by A. Baynes (drawn by D. Lillard),,103-105,,
2:19.0,,,103-105,,Detroit full timeout
2:19.0,D. Lillard makes free throw 1 of 2,1,104-105,,
2:19.0,D. Lillard makes free throw 2 of 2,1,105-105,,
1:56.0,,,105-105,,S. Johnson misses 3-pt shot from 27 ft
1:56.0,,,105-105,,Offensive rebound by Team
1:46.0,,,105-105,,K. Caldwell-Pope misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by Team,,105-105,,
1:46.0,,,105-105,,Loose ball foul by M. Morris (drawn by J. Nurkic)
1:46.0,J. Nurkic makes free throw 1 of 2,1,106-105,,
1:46.0,J. Nurkic makes free throw 2 of 2,1,107-105,,
1:46.0,,,106-105,,A. Drummond enters the game for A. Baynes
1:31.0,,,107-107,2,M. Morris makes 2-pt shot from 17 ft
1:17.0,D. Lillard misses 2-pt shot from 1 ft,,107-107,,
1:17.0,,,107-107,,Defensive rebound by A. Drummond
1:11.0,,,107-109,2,K. Caldwell-Pope makes 2-pt shot from 16 ft
0:53.0,J. Nurkic misses 2-pt shot from 6 ft,,107-109,,
0:53.0,Offensive rebound by Team,,107-109,,
0:53.0,Offensive foul by J. Nurkic,,107-109,,
0:53.0,Turnover by J. Nurkic (offensive foul),,107-109,,
0:53.0,,,107-109,,T. Harris enters the game for S. Johnson
0:32.0,,,107-109,,M. Morris misses 2-pt shot from 16 ft
0:32.0,,,107-109,,Offensive rebound by Team
0:11.0,,,107-109,,K. Caldwell-Pope misses 2-pt shot from 15 ft
0:11.0,Defensive rebound by Team,,107-109,,
0:11.0,Portland full timeout,,107-109,,
0:11.0,,,107-109,,Technical foul by K. Caldwell-Pope
0:11.0,D. Lillard misses technical free throw,,107-109,,
0:11.0,Offensive rebound by Team,,107-109,,
0:11.0,,,107-109,,S. Johnson enters the game for T. Harris
0:03.0,D. Lillard makes 2-pt shot at rim,2,109-109,,
0:03.0,,,109-109,,Detroit full timeout
0:03.0,,,109-109,,T. Harris enters the game for S. Johnson
0:01.0,,,109-109,,M. Morris misses 2-pt shot from 18 ft
0:00.0,,,109-109,,Offensive rebound by A. Drummond
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:41.0,,,109-109,,Personal foul by A. Drummond (drawn by J. Nurkic)
4:32.0,C. McCollum misses 3-pt shot from 24 ft,,109-109,,
4:31.0,,,109-109,,Defensive rebound by I. Smith
4:25.0,,,109-109,,I. Smith misses 2-pt shot from 1 ft
4:24.0,Defensive rebound by J. Nurkic,,109-109,,
4:14.0,Turnover by D. Lillard (bad pass; steal by K. Caldwell-Pope),,109-109,,
4:10.0,,,109-109,,K. Caldwell-Pope misses 2-pt shot from 5 ft (block by C. McCollum)
4:09.0,,,109-109,,Offensive rebound by Team
4:02.0,Personal foul by J. Nurkic (drawn by A. Drummond),,109-109,,
3:50.0,,,109-111,2,M. Morris makes 2-pt shot from 15 ft
3:34.0,J. Nurkic misses 2-pt shot from 1 ft,,109-111,,
3:33.0,Offensive rebound by M. Harkless,,109-111,,
3:31.0,M. Harkless makes 2-pt shot at rim,2,111-111,,
3:18.0,,,111-113,2,M. Morris makes 2-pt shot from 16 ft
3:18.0,,,111-113,,Shooting foul by M. Harkless (drawn by M. Morris)
3:18.0,,,111-114,1,M. Morris makes free throw 1 of 1
3:18.0,A. Aminu enters the game for M. Harkless,,111-113,,
3:02.0,D. Lillard misses 2-pt shot from 6 ft,,111-114,,
3:02.0,Offensive rebound by Team,,111-114,,
2:53.0,C. McCollum misses 3-pt shot from 27 ft,,111-114,,
2:53.0,,,111-114,,Defensive rebound by M. Morris
2:33.0,,,111-116,2,M. Morris makes 2-pt shot from 18 ft
2:16.0,Turnover by C. McCollum (lost ball; steal by I. Smith),,111-116,,
2:12.0,,,111-116,,Shooting foul by A. Crabbe (drawn by A. Drummond)
2:12.0,,,111-116,,A. Drummond misses free throw 1 of 2
2:12.0,,,111-116,,Offensive rebound by Team
2:12.0,,,111-116,,A. Drummond misses free throw 2 of 2
2:11.0,Defensive rebound by A. Crabbe,,111-116,,
1:57.0,D. Lillard misses 2-pt shot from 1 ft,,111-116,,
1:56.0,,,111-116,,Defensive rebound by S. Johnson
1:39.0,,,111-118,2,I. Smith makes 2-pt shot from 20 ft
1:39.0,Portland full timeout,,111-118,,
1:30.0,Turnover by J. Nurkic (bad pass; steal by I. Smith),,111-118,,
1:12.0,,,111-120,2,I. Smith makes 2-pt shot from 20 ft
1:03.0,Shooting foul by A. Drummond (drawn by D. Lillard),,111-120,,
1:03.0,D. Lillard makes free throw 1 of 2,1,112-120,,
1:03.0,D. Lillard makes free throw 2 of 2,1,113-120,,
1:03.0,,,112-120,,A. Baynes enters the game for A. Drummond
0:37.0,,,113-120,,I. Smith misses 2-pt shot from 16 ft
0:37.0,Defensive rebound by J. Nurkic,,113-120,,
0:28.0,A. Aminu misses 2-pt shot at rim,,113-120,,
0:27.0,,,113-120,,Defensive rebound by A. Baynes
0:02.0,,,113-120,,Turnover by Team (shot clock)
0:01.0,C. McCollum misses 3-pt shot from 26 ft,,113-120,,
0:00.0,Offensive rebound by Team,,113-120,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
