time,Miami,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. H. Whiteside (R. McGruder gains possession),,,,Jump ball: A. Drummond vs. H. Whiteside (R. McGruder gains possession)
11:39.0,R. McGruder makes 3-pt shot from 26 ft (assist by J. Richardson),3,3-0,,
11:21.0,,,3-2,2,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by A. Drummond)
11:01.0,H. Whiteside misses 2-pt shot from 5 ft,,3-2,,
11:01.0,,,3-2,,Defensive rebound by J. Leuer
10:52.0,,,3-4,2,M. Morris makes 2-pt shot from 8 ft
10:33.0,G. Dragic makes 3-pt shot from 27 ft (assist by R. McGruder),3,6-4,,
10:12.0,,,6-4,,I. Smith misses 2-pt shot from 10 ft
10:11.0,Defensive rebound by R. McGruder,,6-4,,
10:08.0,,,6-4,,Personal foul by I. Smith (drawn by G. Dragic)
9:57.0,G. Dragic misses 2-pt shot from 13 ft,,6-4,,
9:57.0,Offensive rebound by H. Whiteside,,6-4,,
9:52.0,H. Whiteside misses 2-pt shot from 6 ft (block by J. Leuer),,6-4,,
9:52.0,,,6-4,,Defensive rebound by I. Smith
9:45.0,,,6-4,,Shooting foul by L. Babbitt (drawn by J. Leuer)
9:45.0,,,6-5,1,J. Leuer makes free throw 1 of 2
9:45.0,,,6-6,1,J. Leuer makes free throw 2 of 2
9:22.0,L. Babbitt misses 3-pt shot from 24 ft,,6-6,,
9:22.0,,,6-6,,Defensive rebound by J. Leuer
9:15.0,,,6-6,,K. Caldwell-Pope misses 3-pt shot from 26 ft
9:15.0,,,6-6,,Offensive rebound by A. Drummond
9:12.0,,,6-6,,Turnover by A. Drummond (bad pass; steal by L. Babbitt)
9:02.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,8-6,,
8:36.0,,,8-6,,A. Drummond misses 2-pt shot from 7 ft
8:35.0,,,8-6,,Offensive rebound by J. Leuer
8:30.0,,,8-6,,I. Smith misses 3-pt shot from 25 ft
8:29.0,Defensive rebound by R. McGruder,,8-6,,
8:14.0,J. Richardson makes 2-pt shot from 18 ft (assist by L. Babbitt),2,10-6,,
7:57.0,,,10-6,,K. Caldwell-Pope misses 2-pt shot from 2 ft (block by H. Whiteside)
7:56.0,,,10-6,,Offensive rebound by K. Caldwell-Pope
7:51.0,,,10-6,,K. Caldwell-Pope misses 2-pt shot from 21 ft
7:50.0,Defensive rebound by G. Dragic,,10-6,,
7:35.0,H. Whiteside makes 2-pt shot from 6 ft (assist by R. McGruder),2,12-6,,
7:20.0,,,12-8,2,I. Smith makes 2-pt shot from 1 ft
7:05.0,Turnover by R. McGruder (back court),,12-8,,
6:47.0,,,12-8,,M. Morris misses 2-pt shot from 1 ft
6:46.0,Defensive rebound by L. Babbitt,,12-8,,
6:39.0,G. Dragic makes 2-pt shot at rim,2,14-8,,
6:30.0,Personal foul by R. McGruder (drawn by M. Morris),,14-8,,
6:18.0,,,14-8,,K. Caldwell-Pope misses 3-pt shot from 25 ft
6:18.0,,,14-8,,Offensive rebound by A. Drummond
6:10.0,,,14-10,2,A. Drummond makes 2-pt shot from 4 ft
6:04.0,Shooting foul by K. Caldwell-Pope (drawn by G. Dragic),,14-10,,
6:04.0,G. Dragic makes free throw 1 of 3,1,15-10,,
6:04.0,G. Dragic misses free throw 2 of 3,,15-10,,
6:04.0,Offensive rebound by Team,,15-10,,
6:04.0,G. Dragic makes free throw 3 of 3,1,16-10,,
5:42.0,,,16-12,2,A. Drummond makes 2-pt shot from 1 ft (assist by M. Morris)
5:30.0,,,16-12,,Personal foul by M. Morris (drawn by R. McGruder)
5:30.0,,,16-12,,Detroit full timeout
5:30.0,,,16-12,,S. Johnson enters the game for M. Morris
5:30.0,W. Reed enters the game for H. Whiteside,,16-12,,
