time,LA Lakers,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. T. Mozgov (D. Russell gains possession),,,,Jump ball: J. Embiid vs. T. Mozgov (D. Russell gains possession)
11:43.0,Shooting foul by S. Rodriguez (drawn by D. Russell),,0-0,,
11:43.0,D. Russell makes free throw 1 of 2,1,1-0,,
11:43.0,D. Russell makes free throw 2 of 2,1,2-0,,
11:34.0,,,2-0,,R. Covington misses 3-pt shot from 26 ft
11:32.0,Defensive rebound by D. Russell,,2-0,,
11:28.0,L. Deng makes 2-pt shot at rim (assist by D. Russell),2,4-0,,
11:16.0,,,4-0,,Turnover by S. Rodriguez (bad pass; steal by D. Russell)
11:13.0,D. Russell makes 2-pt shot from 1 ft,2,6-0,,
10:55.0,,,6-0,,Turnover by G. Henderson (bad pass; steal by L. Deng)
10:49.0,J. Randle makes 2-pt shot from 2 ft (assist by N. Young),2,8-0,,
10:39.0,,,8-0,,J. Embiid misses 2-pt shot from 23 ft
10:38.0,Defensive rebound by D. Russell,,8-0,,
10:33.0,,,8-0,,Personal foul by R. Covington (drawn by N. Young)
10:26.0,D. Russell makes 3-pt shot from 26 ft (assist by N. Young),3,11-0,,
10:24.0,,,11-0,,Philadelphia full timeout
10:08.0,,,11-0,,G. Henderson misses 3-pt shot from 25 ft
10:07.0,Defensive rebound by D. Russell,,11-0,,
9:45.0,J. Randle makes 2-pt shot from 18 ft,2,13-0,,
9:29.0,,,13-2,2,J. Embiid makes 2-pt shot from 18 ft (assist by G. Henderson)
9:18.0,T. Mozgov misses 2-pt shot from 7 ft,,13-2,,
9:17.0,,,13-2,,Defensive rebound by Team
9:06.0,,,13-2,,Shooting foul by T. Mozgov (drawn by J. Embiid)
9:06.0,,,13-2,,J. Embiid misses free throw 1 of 2
9:06.0,,,13-2,,Offensive rebound by Team
9:06.0,,,13-3,1,J. Embiid makes free throw 2 of 2
8:53.0,L. Deng misses 3-pt shot from 25 ft,,13-3,,
8:52.0,,,13-3,,Defensive rebound by J. Okafor
8:41.0,,,13-3,,S. Rodriguez misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by J. Randle,,13-3,,
8:34.0,Turnover by J. Randle (bad pass),,13-3,,
8:23.0,,,13-3,,R. Covington misses 3-pt shot from 25 ft
8:22.0,,,13-3,,Offensive rebound by J. Okafor
8:14.0,,,13-5,2,R. Covington makes 2-pt shot from 1 ft (assist by J. Embiid)
8:08.0,Offensive foul by T. Mozgov,,13-5,,
8:08.0,Turnover by T. Mozgov (offensive foul),,13-5,,
7:53.0,,,13-8,3,J. Embiid makes 3-pt shot from 26 ft (assist by G. Henderson)
7:27.0,D. Russell misses 3-pt shot from 26 ft,,13-8,,
7:26.0,,,13-8,,Defensive rebound by G. Henderson
7:20.0,,,13-8,,G. Henderson misses 2-pt shot from 5 ft
7:19.0,Defensive rebound by L. Deng,,13-8,,
7:09.0,J. Randle makes 2-pt shot from 12 ft,2,15-8,,
6:56.0,,,15-8,,R. Covington misses 3-pt shot from 27 ft
6:54.0,Defensive rebound by Team,,15-8,,
6:54.0,,,15-8,,E. Ilyasova enters the game for J. Okafor
6:31.0,D. Russell misses 2-pt shot from 11 ft,,15-8,,
6:28.0,Offensive rebound by L. Deng,,15-8,,
6:27.0,L. Deng makes 2-pt shot from 1 ft,2,17-8,,
6:15.0,,,17-10,2,J. Embiid makes 2-pt shot from 11 ft (assist by S. Rodriguez)
6:04.0,,,17-10,,N. Noel enters the game for J. Embiid
6:04.0,L. Nance enters the game for T. Mozgov,,17-10,,
6:04.0,,,17-10,,T. McConnell enters the game for S. Rodriguez
6:02.0,J. Randle misses 2-pt shot from 16 ft,,17-10,,
6:00.0,,,17-10,,Defensive rebound by N. Noel
5:50.0,,,17-10,,N. Noel misses 2-pt shot from 2 ft
5:48.0,,,17-10,,Offensive rebound by G. Henderson
5:43.0,,,17-10,,E. Ilyasova misses 3-pt shot from 26 ft
5:42.0,Defensive rebound by L. Deng,,17-10,,
5:36.0,N. Young misses 2-pt shot from 15 ft (block by R. Covington),,17-10,,
5:33.0,,,17-10,,Defensive rebound by E. Ilyasova
5:31.0,,,17-10,,Turnover by E. Ilyasova (bad pass; steal by J. Randle)
5:27.0,N. Young makes 2-pt shot from 15 ft (assist by J. Randle),2,19-10,,
5:07.0,,,19-10,,R. Covington misses 2-pt shot from 2 ft
5:05.0,Defensive rebound by J. Randle,,19-10,,
4:56.0,N. Young misses 3-pt shot from 23 ft,,19-10,,
4:55.0,,,19-10,,Defensive rebound by N. Noel
4:55.0,Loose ball foul by J. Randle (drawn by N. Noel),,19-10,,
4:55.0,,,19-10,,N. Stauskas enters the game for G. Henderson
4:55.0,J. Clarkson enters the game for N. Young,,19-10,,
4:48.0,Personal foul by D. Russell (drawn by T. McConnell),,19-10,,
4:48.0,B. Ingram enters the game for L. Deng,,19-10,,
4:37.0,,,19-12,2,R. Covington makes 2-pt shot from 2 ft (assist by T. McConnell)
4:20.0,Turnover by L. Nance (bad pass),,19-12,,
4:04.0,,,19-14,2,N. Noel makes 2-pt shot from 5 ft (assist by N. Stauskas)
3:43.0,J. Clarkson misses 2-pt shot from 5 ft (block by N. Noel),,19-14,,
3:41.0,Offensive rebound by J. Randle,,19-14,,
3:37.0,D. Russell misses 3-pt shot from 28 ft,,19-14,,
3:35.0,,,19-14,,Defensive rebound by N. Noel
3:22.0,,,19-14,,E. Ilyasova misses 3-pt shot from 23 ft
3:21.0,Defensive rebound by J. Randle,,19-14,,
3:14.0,J. Randle makes 2-pt shot from 2 ft,2,21-14,,
2:59.0,Personal foul by L. Nance (drawn by E. Ilyasova),,21-14,,
2:59.0,LA Lakers full timeout,,21-14,,
2:59.0,,,21-14,,D. Saric enters the game for R. Covington
2:59.0,L. Williams enters the game for D. Russell,,21-14,,
2:42.0,,,21-14,,N. Stauskas misses 2-pt shot from 18 ft
2:41.0,,,21-14,,Offensive rebound by E. Ilyasova
2:38.0,,,21-14,,E. Ilyasova misses 3-pt shot from 24 ft
2:36.0,Defensive rebound by L. Nance,,21-14,,
2:31.0,L. Williams makes 3-pt shot from 25 ft (assist by J. Clarkson),3,24-14,,
2:14.0,,,24-14,,E. Ilyasova misses 2-pt shot from 12 ft
2:12.0,Defensive rebound by L. Nance,,24-14,,
1:55.0,B. Ingram misses 2-pt shot from 8 ft,,24-14,,
1:53.0,,,24-14,,Defensive rebound by N. Stauskas
1:44.0,,,24-14,,Turnover by T. McConnell (bad pass; steal by L. Williams)
1:40.0,Shooting foul by N. Stauskas (drawn by J. Randle),,24-14,,
1:40.0,J. Randle misses free throw 1 of 2,,24-14,,
1:40.0,Offensive rebound by Team,,24-14,,
1:40.0,J. Randle makes free throw 2 of 2,1,25-14,,
