time,Cleveland,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. T. Thompson (T. Snell gains possession),,,,Jump ball: J. Henson vs. T. Thompson (T. Snell gains possession)
11:42.0,,,0-2,2,T. Snell makes 2-pt shot from 20 ft (assist by G. Antetokounmpo)
11:18.0,K. Irving misses 2-pt shot from 19 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by T. Snell
11:08.0,,,0-2,,T. Snell misses 3-pt shot from 27 ft
11:07.0,,,0-2,,Offensive rebound by J. Henson
11:07.0,,,0-4,2,J. Henson makes 2-pt shot at rim
10:52.0,Turnover by L. James (bad pass; steal by J. Parker),,0-4,,
10:49.0,,,0-4,,Shooting foul by K. Irving (drawn by G. Antetokounmpo)
10:49.0,,,0-5,1,G. Antetokounmpo makes free throw 1 of 2
10:49.0,,,0-5,,G. Antetokounmpo misses free throw 2 of 2
10:47.0,Defensive rebound by T. Thompson,,0-5,,
10:35.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,2-5,,
10:20.0,,,2-5,,T. Snell misses 3-pt shot from 23 ft
10:18.0,Defensive rebound by K. Love,,2-5,,
10:10.0,L. James misses 2-pt shot from 2 ft,,2-5,,
10:09.0,Offensive rebound by T. Thompson,,2-5,,
10:09.0,T. Thompson makes 2-pt shot at rim,2,4-5,,
9:59.0,,,4-5,,Turnover by T. Snell (bad pass; steal by J. Smith)
9:52.0,J. Smith makes 3-pt shot from 23 ft (assist by K. Irving),3,7-5,,
9:35.0,,,7-5,,J. Parker misses 2-pt shot from 1 ft (block by J. Smith)
9:32.0,Defensive rebound by L. James,,7-5,,
9:26.0,K. Love misses 3-pt shot from 26 ft,,7-5,,
9:24.0,,,7-5,,Defensive rebound by G. Antetokounmpo
9:24.0,,,7-5,,G. Antetokounmpo misses 2-pt shot from 1 ft
9:23.0,Defensive rebound by K. Love,,7-5,,
9:12.0,,,7-5,,Personal foul by T. Snell (drawn by T. Thompson)
9:00.0,K. Love makes 3-pt shot from 25 ft (assist by K. Irving),3,10-5,,
8:48.0,,,10-7,2,G. Antetokounmpo makes 2-pt shot from 1 ft
8:33.0,L. James makes 2-pt shot at rim (assist by K. Love),2,12-7,,
8:21.0,,,12-7,,J. Parker misses 2-pt shot from 1 ft (block by T. Thompson)
8:17.0,Defensive rebound by K. Love,,12-7,,
8:15.0,Shooting foul by M. Dellavedova (drawn by K. Irving),,12-7,,
8:15.0,K. Irving makes free throw 1 of 2,1,13-7,,
8:15.0,K. Irving makes free throw 2 of 2,1,14-7,,
8:00.0,,,14-7,,J. Parker misses 2-pt shot from 17 ft
