time,New Orleans,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Ajinca vs. M. Leonard (J. Holiday gains possession),,,,Jump ball: A. Ajinca vs. M. Leonard (J. Holiday gains possession)
11:41.0,A. Ajinca misses 2-pt shot from 6 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by M. Leonard
11:26.0,,,0-0,,E. Turner misses 2-pt shot from 12 ft
11:23.0,Defensive rebound by A. Ajinca,,0-0,,
11:14.0,A. Ajinca misses 2-pt shot from 20 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by E. Turner
10:53.0,,,0-0,,S. Napier misses 2-pt shot from 15 ft
10:52.0,Defensive rebound by D. Cunningham,,0-0,,
10:35.0,J. Holiday makes 2-pt shot from 2 ft,2,2-0,,
10:18.0,,,2-0,,Turnover by N. Vonleh (bad pass)
10:04.0,A. Ajinca misses 2-pt shot from 6 ft,,2-0,,
10:00.0,,,2-0,,Defensive rebound by E. Turner
9:54.0,,,2-0,,E. Turner misses 2-pt shot from 2 ft
9:51.0,Defensive rebound by A. Ajinca,,2-0,,
9:46.0,D. Cunningham makes 3-pt shot from 24 ft (assist by J. Holiday),3,5-0,,
9:34.0,,,5-0,,Turnover by J. Layman (bad pass)
9:27.0,T. Frazier misses 3-pt shot from 24 ft,,5-0,,
9:26.0,Offensive rebound by Team,,5-0,,
9:23.0,,,5-0,,Loose ball foul by M. Leonard (drawn by A. Ajinca)
9:14.0,J. Holiday misses 2-pt shot from 17 ft,,5-0,,
9:13.0,,,5-0,,Defensive rebound by N. Vonleh
9:02.0,,,5-0,,Turnover by S. Napier (bad pass)
8:57.0,D. Cunningham makes 2-pt shot from 2 ft (assist by T. Frazier),2,7-0,,
8:57.0,,,7-0,,Portland full timeout
8:45.0,,,7-3,3,S. Napier makes 3-pt shot from 26 ft
8:27.0,J. Holiday misses 2-pt shot from 15 ft,,7-3,,
8:24.0,,,7-3,,Defensive rebound by J. Layman
8:05.0,,,7-6,3,M. Leonard makes 3-pt shot from 25 ft (assist by S. Napier)
7:52.0,A. Ajinca misses 2-pt shot from 20 ft,,7-6,,
7:51.0,,,7-6,,Defensive rebound by E. Turner
7:41.0,,,7-6,,J. Layman misses 2-pt shot from 17 ft
7:40.0,Defensive rebound by J. Holiday,,7-6,,
7:24.0,S. Hill makes 2-pt shot from 18 ft,2,9-6,,
7:09.0,,,9-6,,E. Turner misses 2-pt shot from 14 ft
7:08.0,Defensive rebound by J. Holiday,,9-6,,
7:00.0,J. Holiday makes 2-pt shot from 17 ft,2,11-6,,
6:53.0,,,11-6,,Turnover by S. Napier (lost ball; steal by D. Cunningham)
6:41.0,D. Cunningham misses 3-pt shot from 23 ft,,11-6,,
6:40.0,,,11-6,,Defensive rebound by S. Napier
6:34.0,,,11-8,2,S. Napier makes 2-pt shot from 7 ft
6:34.0,,,11-8,,Shooting foul by A. Ajinca (drawn by S. Napier)
6:34.0,,,11-9,1,S. Napier makes free throw 1 of 1
6:28.0,Turnover by J. Holiday (step out of bounds),,11-9,,
6:16.0,,,11-11,2,N. Vonleh makes 2-pt shot from 20 ft
6:07.0,Turnover by S. Hill (bad pass; steal by S. Napier),,11-11,,
6:02.0,,,11-13,2,S. Napier makes 2-pt shot at rim
5:55.0,New Orleans full timeout,,11-13,,
5:55.0,D. Motiejunas enters the game for A. Ajinca,,11-13,,
5:55.0,E. Moore enters the game for T. Frazier,,11-13,,
5:55.0,,,11-13,,P. Connaughton enters the game for E. Turner
5:44.0,E. Moore makes 2-pt shot from 5 ft (assist by J. Holiday),2,13-13,,
5:32.0,,,13-13,,P. Connaughton misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by D. Cunningham,,13-13,,
5:20.0,J. Holiday misses 3-pt shot from 26 ft,,13-13,,
5:18.0,,,13-13,,Defensive rebound by M. Leonard
4:57.0,,,13-13,,Turnover by P. Connaughton (traveling)
4:57.0,,,13-13,,M. Harkless enters the game for N. Vonleh
4:47.0,E. Moore misses 2-pt shot from 7 ft,,13-13,,
4:43.0,,,13-13,,Defensive rebound by M. Leonard
4:27.0,,,13-13,,M. Leonard misses 3-pt shot from 25 ft
4:25.0,,,13-13,,Offensive rebound by J. Layman
4:25.0,,,13-15,2,J. Layman makes 2-pt shot at rim
4:15.0,J. Holiday misses 2-pt shot from 7 ft,,13-15,,
4:11.0,,,13-15,,Defensive rebound by S. Napier
4:07.0,,,13-18,3,P. Connaughton makes 3-pt shot from 26 ft (assist by S. Napier)
3:51.0,D. Motiejunas makes 2-pt shot from 8 ft (assist by J. Holiday),2,15-18,,
3:51.0,Shooting foul by P. Connaughton (drawn by D. Motiejunas),,15-18,,
3:51.0,D. Motiejunas misses free throw 1 of 1,,15-18,,
3:50.0,Offensive rebound by D. Motiejunas,,15-18,,
3:45.0,S. Hill misses 3-pt shot from 25 ft,,15-18,,
3:45.0,,,15-18,,Defensive rebound by Team
3:30.0,,,15-20,2,M. Leonard makes 2-pt shot from 19 ft
3:16.0,Shooting foul by J. Layman (drawn by S. Hill),,15-20,,
3:16.0,S. Hill makes free throw 1 of 3,1,16-20,,
3:16.0,S. Hill makes free throw 2 of 3,1,17-20,,
3:16.0,S. Hill makes free throw 3 of 3,1,18-20,,
3:16.0,Q. Cook enters the game for J. Holiday,,17-20,,
3:16.0,,,17-20,,E. Turner enters the game for S. Napier
3:16.0,,,17-20,,T. Quarterman enters the game for J. Layman
3:04.0,,,18-20,,Turnover by E. Turner (bad pass; steal by D. Motiejunas)
3:04.0,Turnover by Q. Cook (bad pass),,18-20,,
2:49.0,,,18-20,,M. Leonard misses 3-pt shot from 27 ft
2:48.0,Defensive rebound by D. Cunningham,,18-20,,
2:40.0,D. Motiejunas misses 2-pt shot from 7 ft,,18-20,,
2:37.0,,,18-20,,Defensive rebound by M. Leonard
2:31.0,Personal foul by Q. Cook (drawn by M. Harkless),,18-20,,
2:31.0,C. Diallo enters the game for D. Cunningham,,18-20,,
2:28.0,,,18-22,2,P. Connaughton makes 2-pt shot from 1 ft (assist by E. Turner)
2:17.0,S. Hill misses 2-pt shot from 7 ft,,18-22,,
2:13.0,,,18-22,,Defensive rebound by P. Connaughton
2:04.0,,,18-24,2,M. Harkless makes 2-pt shot at rim (assist by E. Turner)
1:51.0,Q. Cook misses 2-pt shot from 14 ft,,18-24,,
1:51.0,,,18-24,,Defensive rebound by Team
1:37.0,,,18-24,,T. Quarterman misses 2-pt shot from 11 ft
1:36.0,Defensive rebound by Team,,18-24,,
1:36.0,,,18-24,,N. Vonleh enters the game for M. Leonard
1:21.0,D. Motiejunas misses 2-pt shot at rim,,18-24,,
