time,Orlando,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. N. Vucevic (A. Gordon gains possession),,,,Jump ball: W. Cauley-Stein vs. N. Vucevic (A. Gordon gains possession)
11:44.0,N. Vucevic misses 2-pt shot from 20 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by G. Temple
11:26.0,,,0-0,,D. Collison misses 2-pt shot from 19 ft
11:26.0,Defensive rebound by A. Gordon,,0-0,,
11:19.0,A. Gordon misses 2-pt shot from 3 ft (block by S. Labissiere),,0-0,,
11:17.0,,,0-0,,Defensive rebound by G. Temple
11:09.0,,,0-2,2,S. Labissiere makes 2-pt shot from 13 ft (assist by G. Temple)
11:00.0,A. Gordon misses 2-pt shot from 15 ft,,0-2,,
10:59.0,,,0-2,,Defensive rebound by D. Collison
10:46.0,,,0-2,,B. Hield misses 2-pt shot from 15 ft
10:46.0,Defensive rebound by E. Payton,,0-2,,
10:42.0,,,0-2,,Personal foul by D. Collison (drawn by E. Payton)
10:30.0,A. Gordon misses 3-pt shot from 25 ft,,0-2,,
10:28.0,,,0-2,,Defensive rebound by W. Cauley-Stein
10:11.0,,,0-2,,G. Temple misses 3-pt shot from 26 ft
10:11.0,Defensive rebound by E. Payton,,0-2,,
9:55.0,E. Fournier makes 2-pt shot from 8 ft,2,2-2,,
9:37.0,,,2-2,,S. Labissiere misses 2-pt shot from 4 ft (block by E. Payton)
9:36.0,Defensive rebound by T. Ross,,2-2,,
9:28.0,E. Fournier misses 3-pt shot from 25 ft,,2-2,,
9:27.0,,,2-2,,Defensive rebound by S. Labissiere
9:10.0,,,2-4,2,S. Labissiere makes 2-pt shot from 14 ft
8:53.0,T. Ross misses 3-pt shot from 24 ft,,2-4,,
8:53.0,,,2-4,,Defensive rebound by W. Cauley-Stein
8:42.0,,,2-6,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by D. Collison)
8:25.0,N. Vucevic makes 2-pt shot from 8 ft,2,4-6,,
8:11.0,,,4-6,,W. Cauley-Stein misses 2-pt shot from 14 ft
8:11.0,Defensive rebound by E. Payton,,4-6,,
8:03.0,E. Fournier misses 2-pt shot from 4 ft,,4-6,,
8:01.0,Offensive rebound by E. Fournier,,4-6,,
7:59.0,E. Fournier misses 2-pt shot from 8 ft (block by S. Labissiere),,4-6,,
7:57.0,Offensive rebound by E. Fournier,,4-6,,
7:48.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,6-6,,
7:37.0,,,6-8,2,G. Temple makes 2-pt shot from 15 ft
7:22.0,T. Ross makes 3-pt shot from 25 ft (assist by E. Payton),3,9-8,,
7:02.0,,,9-8,,Shooting foul by A. Gordon (drawn by S. Labissiere)
7:02.0,,,9-8,,S. Labissiere misses free throw 1 of 2
7:02.0,,,9-8,,Offensive rebound by Team
7:02.0,,,9-8,,S. Labissiere misses free throw 2 of 2
7:00.0,Defensive rebound by A. Gordon,,9-8,,
