time,Oklahoma City,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. K. Towns (D. Sabonis gains possession),,,,Jump ball: S. Adams vs. K. Towns (D. Sabonis gains possession)
11:47.0,V. Oladipo misses 2-pt shot from 13 ft,,0-0,,
11:45.0,Offensive rebound by S. Adams,,0-0,,
11:45.0,S. Adams makes 2-pt shot from 1 ft,2,2-0,,
11:30.0,,,2-0,,Turnover by A. Wiggins (bad pass; steal by S. Christon)
11:14.0,V. Oladipo makes 3-pt shot from 25 ft (assist by S. Adams),3,5-0,,
10:59.0,,,5-2,2,K. Towns makes 2-pt shot from 10 ft (assist by R. Rubio)
10:43.0,S. Christon misses 2-pt shot from 20 ft,,5-2,,
10:42.0,Offensive rebound by Team,,5-2,,
10:27.0,D. Sabonis misses 3-pt shot from 25 ft,,5-2,,
10:26.0,,,5-2,,Defensive rebound by B. Rush
10:17.0,,,5-2,,Shooting foul by D. Sabonis (drawn by B. Rush)
10:17.0,,,5-3,1,B. Rush makes free throw 1 of 2
10:17.0,,,5-3,,B. Rush misses free throw 2 of 2
10:17.0,Defensive rebound by D. Sabonis,,5-3,,
10:05.0,V. Oladipo makes 2-pt shot at rim,2,7-3,,
9:48.0,,,7-3,,K. Towns misses 3-pt shot from 24 ft
9:47.0,,,7-3,,Offensive rebound by G. Dieng
9:39.0,,,7-3,,R. Rubio misses 2-pt shot from 20 ft
9:38.0,,,7-3,,Offensive rebound by G. Dieng
9:29.0,Personal foul by S. Adams (drawn by K. Towns),,7-3,,
9:21.0,,,7-6,3,R. Rubio makes 3-pt shot from 24 ft (assist by G. Dieng)
9:06.0,Turnover by V. Oladipo (offensive foul),,7-6,,
9:06.0,Offensive charge foul by V. Oladipo,,7-6,,
8:51.0,,,7-8,2,G. Dieng makes 2-pt shot at rim (assist by A. Wiggins)
8:37.0,S. Adams makes 2-pt shot from 6 ft (assist by D. Sabonis),2,9-8,,
8:14.0,Personal foul by K. Singler (drawn by A. Wiggins),,9-8,,
8:02.0,,,9-8,,B. Rush misses 2-pt shot from 2 ft
8:01.0,Defensive rebound by S. Christon,,9-8,,
7:55.0,D. Sabonis misses 3-pt shot from 23 ft,,9-8,,
7:53.0,,,9-8,,Defensive rebound by R. Rubio
7:46.0,,,9-10,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
7:25.0,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo),2,11-10,,
7:14.0,,,11-10,,Minnesota full timeout
7:00.0,,,11-10,,A. Wiggins misses 2-pt shot from 22 ft
6:59.0,Defensive rebound by V. Oladipo,,11-10,,
6:49.0,K. Singler misses 2-pt shot from 1 ft (block by G. Dieng),,11-10,,
6:47.0,,,11-10,,Defensive rebound by K. Towns
6:36.0,,,11-10,,Turnover by G. Dieng (3 sec)
6:21.0,D. Sabonis makes 2-pt shot from 1 ft,2,13-10,,
6:00.0,,,13-10,,A. Wiggins misses 2-pt shot at rim (block by S. Adams)
5:58.0,,,13-10,,Offensive rebound by K. Towns
5:55.0,,,13-10,,G. Dieng misses 2-pt shot from 16 ft
5:54.0,,,13-10,,Offensive rebound by Team
5:43.0,,,13-10,,A. Wiggins misses 2-pt shot from 21 ft
5:41.0,Defensive rebound by V. Oladipo,,13-10,,
5:32.0,,,13-10,,Violation by K. Towns (kicked ball)
5:32.0,A. Abrines enters the game for V. Oladipo,,13-10,,
5:21.0,,,13-10,,Personal foul by A. Wiggins (drawn by K. Singler)
5:15.0,D. Sabonis misses 2-pt shot from 14 ft,,13-10,,
5:13.0,Offensive rebound by S. Adams,,13-10,,
5:13.0,S. Adams makes 2-pt shot at rim,2,15-10,,
4:58.0,,,15-10,,Turnover by A. Wiggins (lost ball)
4:58.0,,,15-10,,O. Casspi enters the game for K. Towns
4:37.0,Shooting foul by A. Wiggins (drawn by D. Sabonis),,15-10,,
4:37.0,D. Sabonis makes free throw 1 of 2,1,16-10,,
4:37.0,D. Sabonis makes free throw 2 of 2,1,17-10,,
4:26.0,,,17-10,,Turnover by G. Dieng (bad pass; steal by A. Abrines)
4:21.0,K. Singler makes 2-pt shot from 15 ft (assist by S. Christon),2,19-10,,
4:03.0,,,19-12,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
3:50.0,D. Sabonis misses 2-pt shot from 15 ft,,19-12,,
3:49.0,Offensive rebound by S. Adams,,19-12,,
3:41.0,K. Singler makes 3-pt shot from 24 ft (assist by D. Sabonis),3,22-12,,
3:25.0,,,22-12,,G. Dieng misses 2-pt shot from 19 ft
3:23.0,Defensive rebound by D. Sabonis,,22-12,,
3:15.0,S. Christon misses 2-pt shot from 1 ft,,22-12,,
3:14.0,Offensive rebound by S. Christon,,22-12,,
3:11.0,D. Sabonis misses 3-pt shot from 24 ft,,22-12,,
3:10.0,,,22-12,,Defensive rebound by R. Rubio
3:00.0,,,22-12,,R. Rubio misses 2-pt shot from 20 ft
2:58.0,Defensive rebound by D. Sabonis,,22-12,,
2:52.0,Turnover by D. Sabonis (bad pass; steal by G. Dieng),,22-12,,
2:44.0,,,22-12,,Turnover by R. Rubio (bad pass; steal by S. Adams)
2:37.0,A. Abrines makes 3-pt shot from 25 ft (assist by S. Christon),3,25-12,,
2:14.0,,,25-12,,A. Wiggins misses 2-pt shot from 19 ft
2:13.0,Defensive rebound by S. Christon,,25-12,,
1:53.0,K. Singler misses 3-pt shot from 25 ft,,25-12,,
1:51.0,Offensive rebound by Team,,25-12,,
1:51.0,Oklahoma City full timeout,,25-12,,
1:51.0,,,25-12,,K. Dunn enters the game for R. Rubio
1:51.0,,,25-12,,S. Muhammad enters the game for B. Rush
1:51.0,E. Kanter enters the game for D. Sabonis,,25-12,,
1:51.0,N. Cole enters the game for S. Adams,,25-12,,
1:51.0,J. Grant enters the game for S. Christon,,25-12,,
1:42.0,Shooting foul by G. Dieng (drawn by E. Kanter),,25-12,,
1:42.0,E. Kanter misses free throw 1 of 2,,25-12,,
1:42.0,Offensive rebound by Team,,25-12,,
1:42.0,E. Kanter makes free throw 2 of 2,1,26-12,,
1:29.0,,,26-12,,A. Wiggins misses 2-pt shot from 5 ft
1:28.0,Defensive rebound by J. Grant,,26-12,,
1:22.0,K. Singler makes 2-pt shot at rim (assist by J. Grant),2,28-12,,
1:10.0,,,28-14,2,S. Muhammad makes 2-pt shot at rim (assist by O. Casspi)
1:10.0,,,28-14,,Shooting foul by J. Grant (drawn by S. Muhammad)
1:10.0,,,28-15,1,S. Muhammad makes free throw 1 of 1
0:54.0,A. Abrines makes 3-pt shot from 25 ft (assist by E. Kanter),3,31-15,,
0:39.0,,,31-15,,A. Wiggins misses 2-pt shot from 3 ft (block by A. Abrines)
0:36.0,,,31-15,,Offensive rebound by A. Wiggins
