time,Portland,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. M. Plumlee (M. Harkless gains possession),,,,Jump ball: C. Capela vs. M. Plumlee (M. Harkless gains possession)
11:38.0,M. Harkless makes 2-pt shot from 1 ft (assist by C. McCollum),2,2-0,,
11:18.0,,,2-0,,Turnover by J. Harden (bad pass)
11:02.0,A. Crabbe misses 2-pt shot from 15 ft,,2-0,,
11:02.0,,,2-0,,Defensive rebound by J. Harden
10:48.0,,,2-0,,C. Capela misses 2-pt shot at rim
10:47.0,Defensive rebound by A. Crabbe,,2-0,,
10:35.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard),2,4-0,,
10:18.0,,,4-0,,T. Ariza misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by M. Plumlee,,4-0,,
10:08.0,C. McCollum makes 2-pt shot from 2 ft (assist by M. Plumlee),2,6-0,,
9:57.0,,,6-2,2,P. Beverley makes 2-pt shot from 11 ft
9:41.0,D. Lillard misses 2-pt shot from 6 ft,,6-2,,
9:40.0,,,6-2,,Defensive rebound by C. Capela
9:32.0,,,6-5,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
9:13.0,A. Crabbe misses 3-pt shot from 26 ft,,6-5,,
9:13.0,,,6-5,,Defensive rebound by R. Anderson
9:01.0,,,6-7,2,C. Capela makes 2-pt shot from 3 ft (assist by J. Harden)
8:44.0,A. Crabbe misses 3-pt shot from 24 ft,,6-7,,
8:43.0,,,6-7,,Defensive rebound by R. Anderson
8:34.0,,,6-10,3,J. Harden makes 3-pt shot from 26 ft
8:17.0,D. Lillard makes 2-pt shot from 2 ft (assist by M. Plumlee),2,8-10,,
7:55.0,,,8-10,,P. Beverley misses 3-pt shot from 25 ft
7:54.0,Defensive rebound by M. Plumlee,,8-10,,
7:45.0,,,8-10,,Personal foul by P. Beverley (drawn by D. Lillard)
7:39.0,C. McCollum makes 2-pt shot from 18 ft,2,10-10,,
7:24.0,,,10-10,,C. Capela misses 2-pt shot from 2 ft (block by M. Plumlee)
7:21.0,,,10-10,,Offensive rebound by T. Ariza
7:18.0,,,10-10,,T. Ariza misses 3-pt shot from 26 ft
7:18.0,Defensive rebound by M. Plumlee,,10-10,,
7:10.0,C. McCollum makes 2-pt shot from 3 ft,2,12-10,,
6:59.0,,,12-10,,Shooting foul by C. McCollum (drawn by J. Harden)
6:59.0,,,12-11,1,J. Harden makes free throw 1 of 2
6:59.0,,,12-12,1,J. Harden makes free throw 2 of 2
6:42.0,C. McCollum makes 2-pt shot from 16 ft,2,14-12,,
6:30.0,,,14-15,3,R. Anderson makes 3-pt shot from 28 ft (assist by J. Harden)
6:13.0,M. Plumlee misses 2-pt shot from 5 ft,,14-15,,
6:12.0,,,14-15,,Defensive rebound by J. Harden
6:03.0,,,14-15,,J. Harden misses 3-pt shot from 27 ft
6:02.0,Defensive rebound by M. Harkless,,14-15,,
5:52.0,M. Harkless misses 2-pt shot from 23 ft,,14-15,,
5:51.0,,,14-15,,Defensive rebound by J. Harden
5:45.0,,,14-15,,Shooting foul by A. Crabbe (drawn by J. Harden)
5:45.0,,,14-15,,Houston full timeout
5:45.0,,,14-16,1,J. Harden makes free throw 1 of 3
