time,Minnesota,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. K. Towns (G. Dieng gains possession),,,,Jump ball: R. Gobert vs. K. Towns (G. Dieng gains possession)
11:44.0,G. Dieng makes 2-pt shot from 10 ft (assist by R. Rubio),2,2-0,,
11:19.0,,,2-2,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
10:58.0,A. Wiggins makes 2-pt shot from 2 ft,2,4-2,,
10:41.0,,,4-2,,G. Hayward misses 3-pt shot from 24 ft
10:41.0,Defensive rebound by K. Towns,,4-2,,
10:29.0,A. Wiggins misses 2-pt shot from 22 ft,,4-2,,
10:29.0,,,4-2,,Defensive rebound by D. Exum
10:17.0,,,4-5,3,J. Ingles makes 3-pt shot from 25 ft (assist by B. Diaw)
9:59.0,K. Towns makes 2-pt shot from 19 ft (assist by R. Rubio),2,6-5,,
9:43.0,,,6-5,,R. Gobert misses 2-pt shot from 3 ft
9:43.0,Defensive rebound by K. Towns,,6-5,,
9:37.0,R. Rubio misses 2-pt shot from 2 ft (block by B. Diaw),,6-5,,
9:36.0,,,6-5,,Defensive rebound by J. Ingles
9:32.0,,,6-7,2,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles)
9:32.0,,,6-7,,Shooting foul by A. Wiggins (drawn by R. Gobert)
9:32.0,,,6-8,1,R. Gobert makes free throw 1 of 1
9:22.0,K. Towns makes 2-pt shot at rim (assist by B. Rush),2,8-8,,
9:00.0,Personal foul by K. Towns (drawn by R. Gobert),,8-8,,
8:55.0,,,8-8,,Shooting foul by G. Dieng (drawn by G. Hayward)
8:55.0,,,8-9,1,G. Hayward makes free throw 1 of 2
8:55.0,,,8-10,1,G. Hayward makes free throw 2 of 2
8:44.0,K. Towns misses 2-pt shot from 2 ft (block by B. Diaw),,8-10,,
8:44.0,Offensive rebound by A. Wiggins,,8-10,,
8:44.0,A. Wiggins makes 2-pt shot from 2 ft,2,10-10,,
8:44.0,Shooting foul by G. Hayward (drawn by A. Wiggins),,10-10,,
8:44.0,A. Wiggins makes free throw 1 of 1,1,11-10,,
8:31.0,,,11-12,2,G. Hayward makes 2-pt shot from 12 ft
8:10.0,A. Wiggins misses 2-pt shot from 16 ft,,11-12,,
8:10.0,,,11-12,,Defensive rebound by R. Gobert
7:55.0,,,11-12,,G. Hayward misses 2-pt shot from 2 ft
7:54.0,Defensive rebound by A. Wiggins,,11-12,,
7:47.0,R. Rubio misses 2-pt shot from 21 ft,,11-12,,
7:47.0,Offensive rebound by G. Dieng,,11-12,,
7:43.0,R. Rubio misses 3-pt shot from 25 ft,,11-12,,
7:42.0,Offensive rebound by K. Towns,,11-12,,
7:37.0,B. Rush makes 3-pt shot from 25 ft (assist by K. Towns),3,14-12,,
7:21.0,,,14-15,3,G. Hayward makes 3-pt shot from 25 ft (assist by B. Diaw)
6:55.0,R. Rubio makes 2-pt shot from 20 ft,2,16-15,,
6:54.0,,,16-15,,Utah full timeout
6:54.0,,,16-15,,J. Johnson enters the game for B. Diaw
6:43.0,,,16-15,,Turnover by G. Hayward (bad pass; steal by B. Rush)
6:25.0,K. Towns misses 2-pt shot from 1 ft (block by R. Gobert),,16-15,,
6:25.0,,,16-15,,Defensive rebound by J. Ingles
6:16.0,,,16-17,2,R. Gobert makes 2-pt shot at rim (assist by D. Exum)
5:54.0,Offensive foul by K. Towns,,16-17,,
5:54.0,Turnover by K. Towns (offensive foul),,16-17,,
5:54.0,,,16-17,,R. Hood enters the game for J. Ingles
5:54.0,O. Casspi enters the game for K. Towns,,16-17,,
5:39.0,,,16-19,2,R. Gobert makes 2-pt shot from 2 ft (assist by G. Hayward)
5:23.0,A. Wiggins misses 2-pt shot from 3 ft,,16-19,,
5:22.0,,,16-19,,Defensive rebound by D. Exum
5:16.0,,,16-19,,D. Exum misses 2-pt shot from 2 ft
5:15.0,Defensive rebound by B. Rush,,16-19,,
5:11.0,R. Rubio makes 2-pt shot from 20 ft (assist by B. Rush),2,18-19,,
4:51.0,,,18-19,,R. Hood misses 3-pt shot from 25 ft
4:51.0,Defensive rebound by G. Dieng,,18-19,,
4:42.0,Shooting foul by D. Exum (drawn by R. Rubio),,18-19,,
4:42.0,R. Rubio makes free throw 1 of 2,1,19-19,,
4:42.0,R. Rubio makes free throw 2 of 2,1,20-19,,
4:42.0,,,19-19,,S. Mack enters the game for D. Exum
4:29.0,,,20-21,2,G. Hayward makes 2-pt shot from 15 ft (assist by S. Mack)
4:11.0,A. Wiggins makes 2-pt shot from 2 ft,2,22-21,,
3:50.0,,,22-21,,S. Mack misses 2-pt shot from 22 ft
3:50.0,Defensive rebound by R. Rubio,,22-21,,
3:26.0,B. Rush misses 3-pt shot from 24 ft,,22-21,,
3:25.0,,,22-21,,Defensive rebound by J. Johnson
3:02.0,,,22-24,3,J. Johnson makes 3-pt shot from 23 ft (assist by S. Mack)
2:33.0,R. Rubio makes 2-pt shot from 20 ft,2,24-24,,
2:19.0,,,24-24,,G. Hayward misses 2-pt shot from 2 ft
2:19.0,Defensive rebound by O. Casspi,,24-24,,
2:12.0,R. Rubio misses 3-pt shot from 25 ft,,24-24,,
2:12.0,,,24-24,,Defensive rebound by Team
2:12.0,Minnesota full timeout,,24-24,,
2:12.0,S. Muhammad enters the game for B. Rush,,24-24,,
2:12.0,,,24-24,,J. Ingles enters the game for G. Hayward
2:12.0,,,24-24,,D. Favors enters the game for R. Gobert
1:59.0,,,24-24,,Turnover by J. Johnson (lost ball; steal by G. Dieng)
1:45.0,,,24-24,,Personal foul by S. Mack (drawn by A. Wiggins)
1:36.0,S. Muhammad makes 2-pt shot from 2 ft (assist by R. Rubio),2,26-24,,
1:36.0,Shooting foul by D. Favors (drawn by S. Muhammad),,26-24,,
1:36.0,S. Muhammad makes free throw 1 of 1,1,27-24,,
1:17.0,,,27-26,2,D. Favors makes 2-pt shot at rim (assist by J. Ingles)
1:00.0,Shooting foul by R. Hood (drawn by A. Wiggins),,27-26,,
1:00.0,A. Wiggins makes free throw 1 of 2,1,28-26,,
1:00.0,A. Wiggins makes free throw 2 of 2,1,29-26,,
0:42.0,Personal foul by O. Casspi (drawn by J. Ingles),,29-26,,
0:36.0,,,29-26,,Shooting foul by S. Muhammad (drawn by R. Hood)
0:36.0,,,29-28,2,R. Hood makes 2-pt shot from 16 ft
0:36.0,,,29-29,1,R. Hood makes free throw 1 of 1
0:31.0,G. Dieng misses 2-pt shot from 18 ft,,29-29,,
0:31.0,,,29-29,,Defensive rebound by R. Hood
0:10.0,,,29-29,,R. Hood misses 3-pt shot from 25 ft
0:10.0,Defensive rebound by G. Dieng,,29-29,,
0:02.0,,,29-29,,Personal foul by R. Hood (drawn by R. Rubio)
0:02.0,R. Rubio makes free throw 1 of 2,1,30-29,,
0:02.0,R. Rubio makes free throw 2 of 2,1,31-29,,
0:00.0,,,31-29,,R. Hood misses 3-pt shot from 51 ft
0:00.0,,,31-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,31-29,,R. Hood misses 2-pt shot from 10 ft
11:36.0,,,31-29,,Offensive rebound by D. Favors
11:34.0,,,31-29,,D. Favors misses 2-pt shot from 2 ft
11:33.0,Defensive rebound by O. Casspi,,31-29,,
11:22.0,Shooting foul by D. Favors (drawn by K. Towns),,31-29,,
11:22.0,K. Towns makes free throw 1 of 2,1,32-29,,
11:22.0,K. Towns makes free throw 2 of 2,1,33-29,,
11:06.0,,,33-31,2,J. Johnson makes 2-pt shot from 7 ft
10:44.0,Turnover by K. Towns (offensive goaltending),,33-31,,
10:32.0,Personal foul by T. Jones (drawn by D. Favors),,33-31,,
10:29.0,,,33-31,,Turnover by R. Hood (lost ball; steal by O. Casspi)
10:21.0,K. Towns misses 3-pt shot from 25 ft,,33-31,,
10:21.0,,,33-31,,Defensive rebound by S. Mack
10:08.0,,,33-31,,D. Favors misses 2-pt shot from 15 ft
10:07.0,Defensive rebound by K. Towns,,33-31,,
9:48.0,K. Towns makes 2-pt shot from 7 ft,2,35-31,,
9:38.0,,,35-31,,Shooting foul by T. Jones (drawn by D. Favors)
9:38.0,,,35-32,1,D. Favors makes free throw 1 of 2
9:38.0,,,35-32,,D. Favors misses free throw 2 of 2
9:38.0,,,35-32,,D. Exum enters the game for R. Hood
9:38.0,,,35-32,,B. Diaw enters the game for J. Johnson
9:37.0,Defensive rebound by K. Towns,,35-32,,
9:14.0,K. Towns makes 3-pt shot from 24 ft (assist by K. Dunn),3,38-32,,
8:53.0,,,38-32,,D. Favors misses 2-pt shot from 2 ft
8:52.0,,,38-32,,Offensive rebound by D. Favors
8:51.0,,,38-34,2,D. Favors makes 2-pt shot at rim
8:33.0,Shooting foul by B. Diaw (drawn by K. Towns),,38-34,,
8:33.0,Minnesota full timeout,,38-34,,
8:33.0,K. Towns makes free throw 1 of 2,1,39-34,,
8:33.0,K. Towns makes free throw 2 of 2,1,40-34,,
8:33.0,,,38-34,,R. Gobert enters the game for D. Favors
8:33.0,,,38-34,,R. Hood enters the game for J. Ingles
8:33.0,,,38-34,,G. Hayward enters the game for S. Mack
8:19.0,,,40-34,,Turnover by D. Exum (bad pass; steal by S. Muhammad)
8:15.0,S. Muhammad makes 2-pt shot from 2 ft,2,42-34,,
8:03.0,Personal foul by K. Dunn (drawn by G. Hayward),,42-34,,
7:56.0,,,42-36,2,R. Gobert makes 2-pt shot from 2 ft
