time,Miami,pts.away,score,pts.home,Brooklyn
2:55.0,,,15-17,,Brooklyn full timeout
2:55.0,T. Johnson makes free throw 1 of 1,1,16-17,,
2:55.0,G. Dragic enters the game for R. McGruder,,15-17,,
2:37.0,,,16-17,,J. Harris misses 2-pt shot from 18 ft
2:36.0,Defensive rebound by G. Dragic,,16-17,,
2:27.0,T. Johnson misses 2-pt shot from 14 ft,,16-17,,
2:26.0,,,16-17,,Defensive rebound by T. Booker
2:21.0,,,16-17,,Turnover by J. Harris (bad pass)
1:56.0,W. Reed misses 2-pt shot from 15 ft,,16-17,,
1:55.0,,,16-17,,Defensive rebound by S. Kilpatrick
1:43.0,,,16-17,,J. Hamilton misses 2-pt shot from 9 ft
1:42.0,Defensive rebound by W. Reed,,16-17,,
1:32.0,G. Dragic makes 2-pt shot from 18 ft,2,18-17,,
1:22.0,,,18-17,,Offensive foul by J. Harris
1:22.0,,,18-17,,Turnover by J. Harris (offensive foul)
1:22.0,H. Whiteside enters the game for W. Reed,,18-17,,
1:09.0,J. Johnson makes 2-pt shot from 9 ft,2,20-17,,
0:52.0,,,20-20,3,J. Hamilton makes 3-pt shot from 24 ft (assist by J. Harris)
0:35.0,Turnover by O. White (traveling),,20-20,,
0:25.0,,,20-22,2,I. Whitehead makes 2-pt shot from 3 ft
0:05.0,G. Dragic misses 2-pt shot from 10 ft,,20-22,,
0:02.0,Offensive rebound by H. Whiteside,,20-22,,
0:02.0,H. Whiteside misses 2-pt shot from 3 ft,,20-22,,
0:00.0,,,20-22,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:54.0,,,20-22,,Personal foul by J. Harris (drawn by G. Dragic)
11:54.0,G. Dragic misses free throw 1 of 3,,20-22,,
11:54.0,Offensive rebound by Team,,20-22,,
11:54.0,G. Dragic makes free throw 2 of 3,1,21-22,,
11:54.0,G. Dragic makes free throw 3 of 3,1,22-22,,
11:44.0,,,22-25,3,J. Harris makes 3-pt shot from 26 ft (assist by T. Booker)
11:17.0,G. Dragic makes 2-pt shot from 5 ft,2,24-25,,
11:01.0,,,24-28,3,S. Kilpatrick makes 3-pt shot from 26 ft
10:49.0,,,24-28,,Personal foul by I. Whitehead (drawn by T. Johnson)
10:49.0,,,24-28,,C. LeVert enters the game for S. Kilpatrick
10:41.0,T. Johnson misses 2-pt shot from 18 ft,,24-28,,
10:40.0,Offensive rebound by O. White,,24-28,,
10:34.0,J. Johnson misses 3-pt shot from 24 ft,,24-28,,
10:33.0,,,24-28,,Defensive rebound by J. Hamilton
10:24.0,Personal foul by J. Johnson (drawn by J. Harris),,24-28,,
10:20.0,,,24-28,,Shooting foul by O. White (drawn by J. Harris)
10:20.0,,,24-29,1,J. Harris makes free throw 1 of 2
10:20.0,,,24-29,,J. Harris misses free throw 2 of 2
10:19.0,Defensive rebound by H. Whiteside,,24-29,,
10:09.0,Turnover by J. Johnson (bad pass),,24-29,,
9:56.0,,,24-31,2,C. LeVert makes 2-pt shot from 12 ft
9:38.0,J. Johnson misses 2-pt shot from 2 ft (block by J. Hamilton),,24-31,,
9:37.0,,,24-31,,Defensive rebound by C. LeVert
9:35.0,,,24-31,,Turnover by C. LeVert (step out of bounds)
9:35.0,W. Ellington enters the game for T. Johnson,,24-31,,
9:19.0,O. White misses 2-pt shot from 7 ft,,24-31,,
9:18.0,,,24-31,,Defensive rebound by T. Booker
9:12.0,,,24-31,,Turnover by T. Booker (lost ball; steal by H. Whiteside)
9:10.0,H. Whiteside makes 2-pt shot at rim,2,26-31,,
8:53.0,,,26-31,,J. Harris misses 2-pt shot from 3 ft
8:52.0,Defensive rebound by W. Ellington,,26-31,,
8:45.0,Shooting foul by C. LeVert (drawn by O. White),,26-31,,
8:45.0,Official timeout,,26-31,,
8:45.0,O. White makes free throw 1 of 2,1,27-31,,
8:45.0,O. White makes free throw 2 of 2,1,28-31,,
8:28.0,,,28-31,,I. Whitehead misses 2-pt shot from 3 ft
8:27.0,,,28-31,,Offensive rebound by I. Whitehead
8:26.0,,,28-31,,I. Whitehead misses 2-pt shot from 1 ft
8:25.0,,,28-31,,Offensive rebound by J. Hamilton
8:25.0,,,28-33,2,J. Hamilton makes 2-pt shot from 1 ft
8:25.0,,,28-33,,Shooting foul by O. White (drawn by J. Hamilton)
8:25.0,,,28-34,1,J. Hamilton makes free throw 1 of 1
8:06.0,W. Ellington misses 2-pt shot from 19 ft,,28-34,,
8:05.0,Offensive rebound by J. Johnson,,28-34,,
7:55.0,H. Whiteside misses 2-pt shot from 6 ft,,28-34,,
7:53.0,Offensive rebound by H. Whiteside,,28-34,,
7:52.0,H. Whiteside misses 2-pt shot from 4 ft,,28-34,,
7:51.0,,,28-34,,Defensive rebound by T. Booker
7:38.0,,,28-34,,J. Harris misses 2-pt shot from 2 ft
7:37.0,,,28-34,,Offensive rebound by T. Booker
7:36.0,,,28-34,,T. Booker misses 2-pt shot from 1 ft
7:35.0,Defensive rebound by J. Johnson,,28-34,,
7:32.0,G. Dragic misses 3-pt shot from 25 ft,,28-34,,
7:30.0,Offensive rebound by O. White,,28-34,,
7:28.0,O. White misses 2-pt shot from 2 ft,,28-34,,
7:27.0,Offensive rebound by G. Dragic,,28-34,,
7:24.0,W. Ellington makes 3-pt shot from 25 ft (assist by G. Dragic),3,31-34,,
7:13.0,,,31-36,2,I. Whitehead makes 2-pt shot from 3 ft
6:59.0,Turnover by G. Dragic (lost ball),,31-36,,
6:59.0,R. McGruder enters the game for O. White,,31-36,,
6:59.0,,,31-36,,B. Lopez enters the game for J. Harris
6:59.0,,,31-36,,B. Bogdanovic enters the game for J. Hamilton
6:50.0,,,31-38,2,C. LeVert makes 2-pt shot from 10 ft
6:50.0,,,31-38,,Shooting foul by W. Ellington (drawn by C. LeVert)
6:50.0,,,31-38,,C. LeVert misses free throw 1 of 1
6:50.0,W. Reed enters the game for H. Whiteside,,31-38,,
6:50.0,T. Johnson enters the game for G. Dragic,,31-38,,
6:49.0,Defensive rebound by J. Johnson,,31-38,,
6:33.0,W. Reed makes 2-pt shot at rim (assist by W. Ellington),2,33-38,,
6:15.0,,,33-40,2,T. Booker makes 2-pt shot from 6 ft
5:56.0,,,33-40,,Violation by C. LeVert (kicked ball)
5:56.0,,,33-40,,Brooklyn full timeout
5:56.0,,,33-40,,S. Dinwiddie enters the game for I. Whitehead
5:56.0,,,33-40,,R. Hollis-Jefferson enters the game for T. Booker
5:43.0,R. McGruder makes 2-pt shot from 6 ft,2,35-40,,
5:27.0,,,35-42,2,B. Lopez makes 2-pt shot from 6 ft
5:27.0,,,35-42,,Shooting foul by W. Reed (drawn by B. Lopez)
5:27.0,,,35-43,1,B. Lopez makes free throw 1 of 1
5:15.0,J. Johnson makes 2-pt shot from 2 ft,2,37-43,,
5:15.0,Shooting foul by R. Hollis-Jefferson (drawn by J. Johnson),,37-43,,
5:15.0,J. Johnson makes free throw 1 of 1,1,38-43,,
5:15.0,H. Whiteside enters the game for W. Reed,,37-43,,
4:58.0,,,38-43,,B. Lopez misses 2-pt shot from 9 ft
4:57.0,Defensive rebound by H. Whiteside,,38-43,,
4:43.0,H. Whiteside misses 2-pt shot from 19 ft,,38-43,,
4:42.0,,,38-43,,Defensive rebound by B. Lopez
4:30.0,,,38-45,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
4:21.0,Miami full timeout,,38-45,,
4:21.0,,,38-45,,S. Kilpatrick enters the game for C. LeVert
4:21.0,G. Dragic enters the game for W. Ellington,,38-45,,
4:06.0,,,38-45,,Personal foul by R. Hollis-Jefferson (drawn by H. Whiteside)
4:06.0,H. Whiteside makes free throw 1 of 2,1,39-45,,
4:06.0,H. Whiteside makes free throw 2 of 2,1,40-45,,
4:06.0,,,39-45,,T. Booker enters the game for R. Hollis-Jefferson
4:06.0,O. White enters the game for J. Johnson,,39-45,,
3:53.0,,,40-45,,Shooting foul by H. Whiteside (drawn by B. Lopez)
3:53.0,,,40-46,1,B. Lopez makes free throw 1 of 2
3:53.0,,,40-46,,B. Lopez misses free throw 2 of 2
3:52.0,Defensive rebound by R. McGruder,,40-46,,
3:41.0,O. White misses 3-pt shot from 25 ft,,40-46,,
3:40.0,,,40-46,,Defensive rebound by S. Kilpatrick
3:21.0,,,40-46,,B. Lopez misses 2-pt shot from 9 ft
