time,Minnesota,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. K. Towns (G. Dieng gains possession),,,,Jump ball: T. Thompson vs. K. Towns (G. Dieng gains possession)
11:43.0,A. Wiggins misses 3-pt shot from 27 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by I. Shumpert
11:27.0,,,0-0,,C. Frye misses 3-pt shot from 25 ft
11:26.0,Defensive rebound by R. Rubio,,0-0,,
11:14.0,Shooting foul by I. Shumpert (drawn by R. Rubio),,0-0,,
11:14.0,R. Rubio makes free throw 1 of 2,1,1-0,,
11:14.0,R. Rubio makes free throw 2 of 2,1,2-0,,
11:00.0,,,2-0,,L. James misses 2-pt shot from 16 ft
10:59.0,Defensive rebound by K. Towns,,2-0,,
10:48.0,Z. LaVine makes 2-pt shot from 19 ft,2,4-0,,
10:23.0,,,4-0,,K. Irving misses 2-pt shot from 4 ft
10:20.0,Defensive rebound by G. Dieng,,4-0,,
10:08.0,K. Towns makes 2-pt shot from 10 ft (assist by R. Rubio),2,6-0,,
9:58.0,,,6-2,2,L. James makes 2-pt shot at rim
9:44.0,K. Towns makes 2-pt shot from 8 ft (assist by R. Rubio),2,8-2,,
9:20.0,,,8-2,,K. Irving misses 2-pt shot from 11 ft
9:19.0,Defensive rebound by G. Dieng,,8-2,,
9:12.0,K. Towns makes 2-pt shot at rim (assist by Z. LaVine),2,10-2,,
9:12.0,,,10-2,,Cleveland full timeout
9:00.0,,,10-4,2,C. Frye makes 2-pt shot from 7 ft (assist by K. Irving)
9:00.0,,,10-4,,Shooting foul by A. Wiggins (drawn by C. Frye)
9:00.0,,,10-5,1,C. Frye makes free throw 1 of 1
8:47.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,12-5,,
8:27.0,,,12-5,,C. Frye misses 3-pt shot from 26 ft
8:26.0,Defensive rebound by Z. LaVine,,12-5,,
8:16.0,Z. LaVine misses 3-pt shot from 25 ft,,12-5,,
8:16.0,,,12-5,,Defensive rebound by L. James
8:00.0,,,12-5,,K. Irving misses 3-pt shot from 25 ft
7:59.0,,,12-5,,Offensive rebound by T. Thompson
7:52.0,,,12-7,2,C. Frye makes 2-pt shot from 11 ft (assist by K. Irving)
7:34.0,A. Wiggins makes 2-pt shot from 18 ft,2,14-7,,
7:11.0,,,14-7,,K. Irving misses 2-pt shot from 9 ft
7:09.0,Defensive rebound by K. Towns,,14-7,,
7:08.0,Z. LaVine misses 2-pt shot from 1 ft (block by I. Shumpert),,14-7,,
7:08.0,,,14-7,,Defensive rebound by I. Shumpert
7:06.0,,,14-7,,Technical foul by K. Irving
7:06.0,R. Rubio makes technical free throw,1,15-7,,
6:59.0,,,15-7,,Shooting foul by G. Dieng (drawn by L. James)
6:59.0,,,15-7,,L. James misses free throw 1 of 2
6:59.0,,,15-7,,Offensive rebound by Team
6:59.0,,,15-8,1,L. James makes free throw 2 of 2
6:52.0,Turnover by R. Rubio (bad pass; steal by K. Irving),,15-8,,
6:46.0,,,15-10,2,K. Irving makes 2-pt shot at rim
6:31.0,K. Towns misses 2-pt shot from 10 ft,,15-10,,
6:30.0,,,15-10,,Defensive rebound by C. Frye
6:24.0,,,15-12,2,L. James makes 2-pt shot at rim
6:08.0,A. Wiggins makes 2-pt shot from 18 ft,2,17-12,,
5:53.0,,,17-14,2,L. James makes 2-pt shot at rim
5:36.0,Z. LaVine misses 3-pt shot from 26 ft,,17-14,,
5:36.0,Offensive rebound by G. Dieng,,17-14,,
5:28.0,Z. LaVine makes 2-pt shot from 2 ft (assist by G. Dieng),2,19-14,,
5:16.0,,,19-16,2,T. Thompson makes 2-pt shot from 5 ft (assist by K. Irving)
4:59.0,K. Towns makes 3-pt shot from 25 ft (assist by R. Rubio),3,22-16,,
4:44.0,,,22-18,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
4:29.0,Turnover by K. Towns (bad pass),,22-18,,
4:29.0,S. Muhammad enters the game for Z. LaVine,,22-18,,
4:17.0,,,22-21,3,I. Shumpert makes 3-pt shot from 23 ft (assist by C. Frye)
3:58.0,S. Muhammad makes 2-pt shot from 10 ft (assist by R. Rubio),2,24-21,,
3:48.0,,,24-24,3,K. Irving makes 3-pt shot from 25 ft
3:31.0,Minnesota full timeout,,24-24,,
3:31.0,,,24-24,,R. Jefferson enters the game for L. James
