time,Sacramento,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. R. Lopez (D. Cousins gains possession),,,,Jump ball: K. Koufos vs. R. Lopez (D. Cousins gains possession)
11:44.0,A. Afflalo misses 2-pt shot from 3 ft (block by D. Wade),,0-0,,
11:42.0,Offensive rebound by A. Afflalo,,0-0,,
11:39.0,D. Cousins misses 3-pt shot from 24 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by Team
11:23.0,,,0-0,,T. Gibson misses 2-pt shot from 17 ft
11:22.0,Defensive rebound by G. Temple,,0-0,,
11:14.0,Shooting foul by M. Carter-Williams (drawn by G. Temple),,0-0,,
11:14.0,G. Temple makes free throw 1 of 2,1,1-0,,
11:14.0,G. Temple misses free throw 2 of 2,,1-0,,
11:13.0,,,1-0,,Defensive rebound by M. Carter-Williams
10:54.0,,,1-0,,T. Gibson misses 2-pt shot from 16 ft
10:51.0,Defensive rebound by K. Koufos,,1-0,,
10:36.0,D. Cousins misses 2-pt shot from 2 ft,,1-0,,
10:34.0,,,1-0,,Defensive rebound by T. Gibson
10:18.0,,,1-2,2,D. Wade makes 2-pt shot from 12 ft
9:57.0,D. Collison makes 2-pt shot from 2 ft,2,3-2,,
9:40.0,,,3-2,,R. Lopez misses 2-pt shot from 6 ft
9:39.0,Defensive rebound by D. Cousins,,3-2,,
9:32.0,D. Cousins makes 2-pt shot from 2 ft,2,5-2,,
9:16.0,Violation by G. Temple (kicked ball),,5-2,,
9:05.0,,,5-4,2,J. Butler makes 2-pt shot from 2 ft
8:37.0,D. Cousins misses 2-pt shot from 21 ft,,5-4,,
8:36.0,,,5-4,,Defensive rebound by T. Gibson
8:26.0,,,5-4,,J. Butler misses 3-pt shot from 26 ft
8:25.0,Defensive rebound by K. Koufos,,5-4,,
8:07.0,D. Collison makes 2-pt shot from 7 ft (assist by A. Afflalo),2,7-4,,
7:50.0,,,7-6,2,D. Wade makes 2-pt shot from 17 ft (assist by J. Butler)
7:26.0,G. Temple misses 3-pt shot from 25 ft,,7-6,,
7:26.0,,,7-6,,Defensive rebound by R. Lopez
7:00.0,,,7-6,,M. Carter-Williams misses 2-pt shot from 7 ft
6:59.0,Defensive rebound by K. Koufos,,7-6,,
6:55.0,D. Collison makes 2-pt shot from 21 ft (assist by K. Koufos),2,9-6,,
6:38.0,,,9-6,,Shooting foul by G. Temple (drawn by D. Wade)
6:38.0,,,9-6,,D. Wade misses free throw 1 of 2
6:38.0,,,9-6,,Offensive rebound by Team
6:38.0,,,9-7,1,D. Wade makes free throw 2 of 2
6:22.0,G. Temple misses 2-pt shot from 2 ft,,9-7,,
6:21.0,,,9-7,,Defensive rebound by R. Lopez
6:16.0,,,9-9,2,J. Butler makes 2-pt shot from 5 ft (assist by R. Lopez)
6:00.0,A. Afflalo misses 2-pt shot from 1 ft (block by R. Lopez),,9-9,,
5:59.0,,,9-9,,Defensive rebound by R. Lopez
5:50.0,,,9-9,,D. Wade misses 2-pt shot from 2 ft
5:49.0,Defensive rebound by D. Cousins,,9-9,,
5:43.0,A. Afflalo misses 3-pt shot from 25 ft,,9-9,,
5:43.0,Offensive rebound by Team,,9-9,,
5:43.0,,,9-9,,Chicago full timeout
5:43.0,,,9-9,,P. Zipser enters the game for D. Wade
5:33.0,D. Collison misses 3-pt shot from 25 ft,,9-9,,
5:30.0,Offensive rebound by D. Cousins,,9-9,,
5:16.0,D. Collison misses 2-pt shot from 3 ft,,9-9,,
5:15.0,,,9-9,,Defensive rebound by M. Carter-Williams
4:57.0,,,9-12,3,P. Zipser makes 3-pt shot from 24 ft (assist by J. Butler)
4:33.0,D. Cousins makes 2-pt shot from 19 ft (assist by D. Collison),2,11-12,,
4:17.0,,,11-12,,Shooting foul by A. Afflalo (drawn by J. Butler)
4:17.0,,,11-13,1,J. Butler makes free throw 1 of 2
4:17.0,,,11-14,1,J. Butler makes free throw 2 of 2
4:17.0,A. Tolliver enters the game for K. Koufos,,11-13,,
4:17.0,,,11-13,,N. Mirotic enters the game for T. Gibson
4:00.0,D. Cousins misses 3-pt shot from 26 ft,,11-14,,
3:58.0,Offensive rebound by D. Collison,,11-14,,
3:47.0,D. Cousins makes 2-pt shot from 1 ft,2,13-14,,
3:21.0,,,13-14,,R. Lopez misses 2-pt shot from 5 ft
3:20.0,Defensive rebound by D. Cousins,,13-14,,
3:07.0,A. Tolliver misses 2-pt shot from 3 ft,,13-14,,
3:04.0,,,13-14,,Defensive rebound by M. Carter-Williams
2:55.0,,,13-17,3,N. Mirotic makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
2:45.0,Sacramento full timeout,,13-17,,
2:45.0,M. Richardson enters the game for G. Temple,,13-17,,
2:29.0,D. Cousins makes 2-pt shot from 20 ft (assist by D. Collison),2,15-17,,
2:12.0,,,15-17,,Turnover by M. Carter-Williams (bad pass; steal by A. Afflalo)
2:11.0,,,15-17,,Personal block foul by M. Carter-Williams (drawn by D. Collison)
2:11.0,T. Lawson enters the game for D. Collison,,15-17,,
2:11.0,,,15-17,,R. Rondo enters the game for M. Carter-Williams
2:08.0,,,15-17,,Personal foul by P. Zipser (drawn by A. Afflalo)
2:00.0,D. Cousins misses 2-pt shot from 14 ft,,15-17,,
1:58.0,,,15-17,,Defensive rebound by J. Butler
1:48.0,,,15-17,,R. Lopez misses 2-pt shot from 6 ft
1:46.0,,,15-17,,Offensive rebound by R. Lopez
1:45.0,,,15-19,2,R. Lopez makes 2-pt shot from 2 ft
1:21.0,A. Afflalo makes 3-pt shot from 23 ft (assist by D. Cousins),3,18-19,,
1:00.0,,,18-19,,P. Zipser misses 2-pt shot from 10 ft
0:59.0,Defensive rebound by A. Tolliver,,18-19,,
