time,Phoenix,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Nowitzki (E. Bledsoe gains possession),,,,Jump ball: T. Chandler vs. D. Nowitzki (E. Bledsoe gains possession)
11:47.0,,,0-0,,Personal foul by D. Nowitzki (drawn by T. Chandler)
11:34.0,E. Bledsoe misses 3-pt shot from 26 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by W. Matthews
11:20.0,,,0-0,,D. Nowitzki misses 3-pt shot from 25 ft
11:19.0,Defensive rebound by T. Chandler,,0-0,,
11:02.0,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe),2,2-0,,
10:42.0,,,2-0,,H. Barnes misses 2-pt shot at rim
10:41.0,Defensive rebound by T. Chandler,,2-0,,
10:31.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by T. Chandler),2,4-0,,
10:05.0,,,4-0,,D. Nowitzki misses 3-pt shot from 24 ft
10:04.0,Defensive rebound by M. Chriss,,4-0,,
9:54.0,M. Chriss misses 2-pt shot from 22 ft,,4-0,,
9:54.0,,,4-0,,Defensive rebound by Team
9:34.0,,,4-0,,D. Nowitzki misses 2-pt shot from 15 ft
9:33.0,Defensive rebound by T. Warren,,4-0,,
9:24.0,T. Warren misses 2-pt shot from 20 ft,,4-0,,
9:24.0,,,4-0,,Defensive rebound by D. Williams
9:12.0,,,4-0,,W. Matthews misses 3-pt shot from 24 ft
9:11.0,Defensive rebound by M. Chriss,,4-0,,
9:03.0,T. Warren misses 2-pt shot from 2 ft (block by D. Finney-Smith),,4-0,,
9:01.0,,,4-0,,Defensive rebound by D. Williams
8:51.0,,,4-3,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams)
8:35.0,D. Booker misses 2-pt shot from 8 ft (block by W. Matthews),,4-3,,
8:35.0,Offensive rebound by Team,,4-3,,
8:22.0,D. Booker makes 2-pt shot from 23 ft,2,6-3,,
7:58.0,,,6-3,,Turnover by Team (shot clock)
7:44.0,T. Chandler misses 2-pt shot from 7 ft,,6-3,,
7:43.0,,,6-3,,Defensive rebound by H. Barnes
7:33.0,,,6-6,3,D. Williams makes 3-pt shot from 24 ft (assist by W. Matthews)
7:14.0,T. Warren misses 3-pt shot from 24 ft,,6-6,,
7:14.0,,,6-6,,Defensive rebound by D. Nowitzki
7:07.0,,,6-8,2,D. Finney-Smith makes 2-pt shot from 2 ft (assist by D. Williams)
7:06.0,Phoenix full timeout,,6-8,,
7:06.0,,,6-8,,A. Bogut enters the game for D. Nowitzki
