time,Houston,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. H. Whiteside (D. Waiters gains possession),,,,Jump ball: C. Capela vs. H. Whiteside (D. Waiters gains possession)
11:37.0,,,0-0,,L. Babbitt misses 3-pt shot from 24 ft
11:36.0,Defensive rebound by J. Harden,,0-0,,
11:33.0,Turnover by J. Harden (lost ball; steal by R. McGruder),,0-0,,
11:28.0,,,0-0,,D. Waiters misses 3-pt shot from 25 ft
11:27.0,Defensive rebound by C. Capela,,0-0,,
11:14.0,T. Ariza makes 2-pt shot from 13 ft (assist by J. Harden),2,2-0,,
11:00.0,,,2-0,,R. McGruder misses 2-pt shot from 2 ft
10:59.0,Defensive rebound by C. Capela,,2-0,,
10:53.0,C. Capela misses 2-pt shot from 1 ft,,2-0,,
10:52.0,,,2-0,,Defensive rebound by G. Dragic
10:35.0,,,2-2,2,H. Whiteside makes 2-pt shot from 10 ft
10:14.0,,,2-2,,Violation by H. Whiteside (kicked ball)
10:08.0,P. Beverley makes 2-pt shot from 2 ft (assist by C. Capela),2,4-2,,
9:50.0,,,4-2,,H. Whiteside misses 2-pt shot from 7 ft
9:49.0,,,4-2,,Offensive rebound by H. Whiteside
9:48.0,,,4-2,,H. Whiteside misses 2-pt shot from 1 ft
9:47.0,Defensive rebound by P. Beverley,,4-2,,
9:41.0,C. Brewer misses 2-pt shot from 4 ft,,4-2,,
9:40.0,,,4-2,,Defensive rebound by L. Babbitt
9:27.0,,,4-2,,Offensive foul by R. McGruder
9:27.0,,,4-2,,Turnover by R. McGruder (offensive foul)
9:17.0,J. Harden misses 3-pt shot from 25 ft,,4-2,,
9:16.0,,,4-2,,Defensive rebound by L. Babbitt
9:07.0,,,4-4,2,G. Dragic makes 2-pt shot from 6 ft
8:58.0,T. Ariza misses 2-pt shot from 21 ft,,4-4,,
8:57.0,,,4-4,,Defensive rebound by D. Waiters
8:54.0,,,4-6,2,G. Dragic makes 2-pt shot from 2 ft (assist by D. Waiters)
8:26.0,P. Beverley makes 2-pt shot from 8 ft,2,6-6,,
8:14.0,,,6-6,,G. Dragic misses 2-pt shot from 4 ft (block by C. Capela)
8:13.0,Defensive rebound by T. Ariza,,6-6,,
8:07.0,T. Ariza makes 2-pt shot from 2 ft (assist by J. Harden),2,8-6,,
7:49.0,,,8-8,2,H. Whiteside makes 2-pt shot from 9 ft
7:22.0,J. Harden makes 2-pt shot from 8 ft,2,10-8,,
7:10.0,,,10-8,,Turnover by H. Whiteside (bad pass; steal by C. Brewer)
7:03.0,Shooting foul by R. McGruder (drawn by J. Harden),,10-8,,
7:03.0,J. Harden makes free throw 1 of 2,1,11-8,,
7:03.0,J. Harden makes free throw 2 of 2,1,12-8,,
7:03.0,,,11-8,,T. Johnson enters the game for R. McGruder
6:43.0,,,12-8,,T. Johnson misses 2-pt shot from 21 ft
6:42.0,,,12-8,,Offensive rebound by H. Whiteside
6:38.0,,,12-10,2,H. Whiteside makes 2-pt shot from 8 ft
6:22.0,J. Harden misses 3-pt shot from 25 ft,,12-10,,
6:21.0,,,12-10,,Defensive rebound by H. Whiteside
6:10.0,,,12-10,,L. Babbitt misses 3-pt shot from 23 ft
6:09.0,Defensive rebound by J. Harden,,12-10,,
6:01.0,Turnover by C. Brewer (bad pass; steal by T. Johnson),,12-10,,
5:57.0,,,12-10,,T. Johnson misses 2-pt shot from 3 ft
5:56.0,,,12-10,,Offensive rebound by D. Waiters
5:55.0,,,12-10,,D. Waiters misses 2-pt shot from 1 ft
5:54.0,,,12-10,,Offensive rebound by T. Johnson
5:53.0,,,12-12,2,T. Johnson makes 2-pt shot from 2 ft
5:52.0,Houston full timeout,,12-12,,
5:52.0,N. Hilario enters the game for C. Brewer,,12-12,,
5:52.0,S. Dekker enters the game for C. Capela,,12-12,,
5:52.0,E. Gordon enters the game for P. Beverley,,12-12,,
5:38.0,J. Harden makes 3-pt shot from 25 ft (assist by N. Hilario),3,15-12,,
5:17.0,,,15-12,,G. Dragic misses 2-pt shot from 9 ft
5:16.0,Defensive rebound by T. Ariza,,15-12,,
5:07.0,T. Ariza misses 3-pt shot from 25 ft,,15-12,,
5:06.0,,,15-12,,Defensive rebound by L. Babbitt
5:00.0,,,15-12,,G. Dragic misses 2-pt shot from 2 ft (block by N. Hilario)
4:59.0,Defensive rebound by T. Ariza,,15-12,,
4:55.0,Turnover by N. Hilario (lost ball),,15-12,,
4:55.0,,,15-12,,J. Johnson enters the game for L. Babbitt
4:42.0,,,15-15,3,J. Johnson makes 3-pt shot from 25 ft (assist by T. Johnson)
4:21.0,S. Dekker makes 3-pt shot from 25 ft (assist by J. Harden),3,18-15,,
4:21.0,,,18-15,,Miami full timeout
4:08.0,,,18-17,2,D. Waiters makes 2-pt shot from 2 ft
3:52.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,21-17,,
3:40.0,,,21-17,,D. Waiters misses 2-pt shot from 1 ft
3:39.0,Defensive rebound by Team,,21-17,,
3:38.0,,,21-17,,Loose ball foul by H. Whiteside (drawn by T. Ariza)
3:26.0,,,21-17,,Def 3 sec tech foul by H. Whiteside
3:26.0,J. Harden makes technical free throw,1,22-17,,
3:26.0,,,22-17,,W. Reed enters the game for H. Whiteside
3:17.0,Turnover by T. Ariza (lost ball; steal by G. Dragic),,22-17,,
3:13.0,,,22-17,,Shooting foul by J. Harden (drawn by D. Waiters)
3:13.0,,,22-18,1,D. Waiters makes free throw 1 of 2
