time,Charlotte,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. C. Zeller (W. Chandler gains possession),,,,Jump ball: N. Jokic vs. C. Zeller (W. Chandler gains possession)
11:46.0,,,0-0,,Turnover by N. Jokic (bad pass; steal by C. Zeller)
11:33.0,C. Zeller misses 2-pt shot from 21 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by J. Nelson
11:21.0,,,0-2,2,N. Jokic makes 2-pt shot from 4 ft (assist by W. Chandler)
11:05.0,C. Zeller makes 2-pt shot from 5 ft (assist by K. Walker),2,2-2,,
10:48.0,,,2-2,,Shooting foul by N. Batum (drawn by D. Gallinari)
10:48.0,,,2-3,1,D. Gallinari makes free throw 1 of 2
10:48.0,,,2-4,1,D. Gallinari makes free throw 2 of 2
10:29.0,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum),2,4-4,,
10:19.0,,,4-4,,W. Chandler misses 3-pt shot from 26 ft
10:19.0,Defensive rebound by K. Walker,,4-4,,
10:04.0,C. Zeller misses 2-pt shot from 2 ft,,4-4,,
10:03.0,,,4-4,,Defensive rebound by N. Jokic
9:48.0,,,4-6,2,N. Jokic makes 2-pt shot from 4 ft
9:33.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,4-6,,
9:32.0,,,4-6,,Defensive rebound by J. Nelson
9:26.0,Shooting block foul by C. Zeller (drawn by W. Chandler),,4-6,,
9:26.0,,,4-7,1,W. Chandler makes free throw 1 of 2
9:26.0,,,4-8,1,W. Chandler makes free throw 2 of 2
9:12.0,M. Kidd-Gilchrist misses 2-pt shot from 17 ft,,4-8,,
9:12.0,,,4-8,,Defensive rebound by N. Jokic
8:59.0,,,4-8,,W. Chandler misses 2-pt shot from 2 ft
8:58.0,,,4-8,,Offensive rebound by D. Gallinari
8:58.0,,,4-8,,D. Gallinari misses 2-pt shot from 2 ft
8:57.0,Defensive rebound by M. Kidd-Gilchrist,,4-8,,
8:57.0,,,4-8,,Personal take foul by W. Chandler (drawn by M. Kidd-Gilchrist)
8:48.0,K. Walker makes 3-pt shot from 25 ft,3,7-8,,
8:37.0,,,7-11,3,D. Gallinari makes 3-pt shot from 25 ft (assist by J. Nelson)
8:24.0,K. Walker makes 2-pt shot from 17 ft,2,9-11,,
8:14.0,,,9-13,2,J. Nelson makes 2-pt shot from 1 ft
8:00.0,Shooting foul by W. Chandler (drawn by K. Walker),,9-13,,
8:00.0,K. Walker makes free throw 1 of 2,1,10-13,,
8:00.0,K. Walker makes free throw 2 of 2,1,11-13,,
7:50.0,,,11-13,,J. Nelson misses 3-pt shot from 26 ft
7:49.0,,,11-13,,Offensive rebound by D. Gallinari
7:42.0,,,11-15,2,D. Gallinari makes 2-pt shot at rim
7:32.0,K. Walker misses 3-pt shot from 25 ft,,11-15,,
7:29.0,,,11-15,,Defensive rebound by W. Chandler
7:12.0,,,11-15,,W. Chandler misses 2-pt shot from 2 ft
7:12.0,Defensive rebound by C. Zeller,,11-15,,
7:03.0,C. Zeller misses 2-pt shot from 22 ft,,11-15,,
7:02.0,,,11-15,,Defensive rebound by W. Chandler
