time,New Orleans,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. N. Jokic (D. Cunningham gains possession),,,,Jump ball: A. Davis vs. N. Jokic (D. Cunningham gains possession)
11:42.0,A. Davis makes 2-pt shot from 16 ft (assist by S. Hill),2,2-0,,
11:21.0,,,2-0,,J. Murray misses 3-pt shot from 23 ft
11:20.0,,,2-0,,Offensive rebound by N. Jokic
11:16.0,,,2-3,3,G. Harris makes 3-pt shot from 27 ft (assist by N. Jokic)
10:53.0,A. Davis misses 2-pt shot from 17 ft,,2-3,,
10:53.0,,,2-3,,Defensive rebound by J. Murray
10:41.0,,,2-3,,Turnover by K. Faried (lost ball; steal by J. Holiday)
10:31.0,S. Hill misses 3-pt shot from 25 ft,,2-3,,
10:31.0,,,2-3,,Defensive rebound by N. Jokic
10:25.0,,,2-3,,Shooting foul by J. Holiday (drawn by D. Gallinari)
10:25.0,,,2-4,1,D. Gallinari makes free throw 1 of 2
10:25.0,,,2-5,1,D. Gallinari makes free throw 2 of 2
10:12.0,D. Cunningham misses 3-pt shot from 24 ft,,2-5,,
10:11.0,,,2-5,,Defensive rebound by G. Harris
10:02.0,,,2-5,,Turnover by G. Harris (bad pass; steal by D. Cunningham)
9:53.0,J. Holiday makes 2-pt shot from 2 ft (assist by E. Moore),2,4-5,,
9:36.0,,,4-5,,Shooting foul by S. Hill (drawn by D. Gallinari)
9:36.0,,,4-6,1,D. Gallinari makes free throw 1 of 2
9:36.0,,,4-6,,D. Gallinari misses free throw 2 of 2
9:34.0,Defensive rebound by S. Hill,,4-6,,
9:26.0,Shooting foul by K. Faried (drawn by A. Davis),,4-6,,
9:26.0,A. Davis misses free throw 1 of 2,,4-6,,
9:26.0,Offensive rebound by Team,,4-6,,
9:26.0,A. Davis makes free throw 2 of 2,1,5-6,,
9:12.0,,,5-6,,D. Gallinari misses 3-pt shot from 24 ft
9:12.0,Defensive rebound by E. Moore,,5-6,,
9:04.0,E. Moore makes 2-pt shot from 2 ft,2,7-6,,
8:50.0,,,7-8,2,N. Jokic makes 2-pt shot from 2 ft (assist by G. Harris)
8:38.0,A. Davis misses 2-pt shot from 16 ft,,7-8,,
8:38.0,,,7-8,,Defensive rebound by D. Gallinari
8:33.0,,,7-8,,Turnover by N. Jokic (bad pass; steal by S. Hill)
8:32.0,,,7-8,,Personal take foul by N. Jokic (drawn by S. Hill)
8:19.0,A. Davis misses 2-pt shot from 10 ft,,7-8,,
8:19.0,,,7-8,,Defensive rebound by N. Jokic
8:07.0,,,7-8,,K. Faried misses 2-pt shot from 4 ft
8:06.0,Defensive rebound by D. Cunningham,,7-8,,
7:52.0,E. Moore misses 3-pt shot from 25 ft,,7-8,,
7:51.0,Offensive rebound by S. Hill,,7-8,,
7:44.0,A. Davis misses 3-pt shot from 25 ft,,7-8,,
7:43.0,,,7-8,,Defensive rebound by G. Harris
7:35.0,,,7-8,,Shooting foul by D. Cunningham (drawn by K. Faried)
7:35.0,,,7-8,,K. Faried misses free throw 1 of 2
7:35.0,,,7-8,,Offensive rebound by Team
7:35.0,,,7-9,1,K. Faried makes free throw 2 of 2
7:28.0,Turnover by J. Holiday (bad pass; steal by N. Jokic),,7-9,,
