time,LA Clippers,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. T. Maker (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. T. Maker (B. Griffin gains possession)
11:40.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,2-0,,
11:19.0,,,2-0,,G. Antetokounmpo misses 2-pt shot from 18 ft
11:17.0,Defensive rebound by D. Jordan,,2-0,,
10:59.0,Turnover by B. Griffin (step out of bounds),,2-0,,
10:39.0,,,2-0,,K. Middleton misses 2-pt shot from 12 ft
10:37.0,Defensive rebound by D. Jordan,,2-0,,
10:26.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul),2,4-0,,
10:10.0,,,4-0,,M. Brogdon misses 3-pt shot from 24 ft
10:09.0,Defensive rebound by B. Griffin,,4-0,,
10:03.0,Turnover by C. Paul (bad pass; steal by G. Antetokounmpo),,4-0,,
9:56.0,,,4-3,3,M. Brogdon makes 3-pt shot from 24 ft (assist by K. Middleton)
9:28.0,J. Redick makes 2-pt shot from 15 ft (assist by B. Griffin),2,6-3,,
9:07.0,,,6-3,,T. Maker misses 3-pt shot from 26 ft
9:05.0,Defensive rebound by L. Mbah a Moute,,6-3,,
9:01.0,Turnover by C. Paul (bad pass),,6-3,,
8:52.0,,,6-6,3,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
8:38.0,J. Redick misses 3-pt shot from 26 ft,,6-6,,
8:37.0,,,6-6,,Defensive rebound by M. Brogdon
8:30.0,,,6-8,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
8:17.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by B. Griffin),2,8-8,,
8:01.0,,,8-8,,T. Snell misses 2-pt shot from 17 ft
8:00.0,Defensive rebound by B. Griffin,,8-8,,
7:57.0,Shooting foul by K. Middleton (drawn by D. Jordan),,8-8,,
7:57.0,D. Jordan misses free throw 1 of 2,,8-8,,
7:57.0,Offensive rebound by Team,,8-8,,
7:57.0,D. Jordan misses free throw 2 of 2,,8-8,,
7:57.0,,,8-8,,G. Monroe enters the game for T. Maker
7:55.0,,,8-8,,Defensive rebound by G. Antetokounmpo
7:43.0,,,8-8,,K. Middleton misses 2-pt shot from 3 ft
7:42.0,Defensive rebound by D. Jordan,,8-8,,
7:38.0,Shooting foul by T. Snell (drawn by B. Griffin),,8-8,,
7:38.0,B. Griffin misses free throw 1 of 2,,8-8,,
7:38.0,Offensive rebound by Team,,8-8,,
7:38.0,B. Griffin misses free throw 2 of 2,,8-8,,
7:37.0,,,8-8,,Defensive rebound by G. Antetokounmpo
7:22.0,,,8-8,,G. Antetokounmpo misses 2-pt shot from 5 ft
7:21.0,Defensive rebound by J. Redick,,8-8,,
7:02.0,Turnover by J. Redick (bad pass; steal by K. Middleton),,8-8,,
6:59.0,,,8-10,2,K. Middleton makes 2-pt shot at rim
6:39.0,Shooting foul by G. Antetokounmpo (drawn by D. Jordan),,8-10,,
6:39.0,D. Jordan makes free throw 1 of 2,1,9-10,,
6:39.0,D. Jordan makes free throw 2 of 2,1,10-10,,
6:39.0,,,9-10,,J. Terry enters the game for K. Middleton
6:21.0,,,10-12,2,G. Antetokounmpo makes 2-pt shot from 18 ft
5:58.0,Shooting foul by G. Monroe (drawn by D. Jordan),,10-12,,
5:58.0,,,10-12,,Milwaukee full timeout
5:58.0,D. Jordan misses free throw 1 of 2,,10-12,,
5:58.0,Offensive rebound by Team,,10-12,,
5:58.0,D. Jordan misses free throw 2 of 2,,10-12,,
5:57.0,Offensive rebound by Team,,10-12,,
5:53.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,10-12,,
5:52.0,,,10-12,,Defensive rebound by G. Monroe
5:49.0,,,10-12,,Turnover by G. Monroe (bad pass; steal by L. Mbah a Moute)
5:34.0,C. Paul makes 3-pt shot from 25 ft (assist by J. Redick),3,13-12,,
5:17.0,,,13-12,,M. Brogdon misses 2-pt shot from 1 ft (block by D. Jordan)
5:14.0,Defensive rebound by C. Paul,,13-12,,
5:11.0,Shooting foul by T. Snell (drawn by B. Griffin),,13-12,,
5:11.0,B. Griffin makes free throw 1 of 2,1,14-12,,
5:11.0,B. Griffin makes free throw 2 of 2,1,15-12,,
5:11.0,,,14-12,,M. Dellavedova enters the game for M. Brogdon
5:11.0,,,14-12,,K. Middleton enters the game for T. Snell
4:57.0,,,15-12,,M. Dellavedova misses 2-pt shot from 7 ft
4:54.0,,,15-12,,Offensive rebound by G. Monroe
4:54.0,,,15-14,2,G. Monroe makes 2-pt shot at rim
4:46.0,C. Paul makes 2-pt shot from 18 ft,2,17-14,,
4:33.0,,,17-16,2,G. Monroe makes 2-pt shot at rim (assist by K. Middleton)
4:17.0,C. Paul misses 2-pt shot from 19 ft,,17-16,,
4:16.0,,,17-16,,Defensive rebound by G. Antetokounmpo
4:13.0,Personal foul by D. Jordan (drawn by M. Dellavedova),,17-16,,
4:13.0,A. Rivers enters the game for J. Redick,,17-16,,
4:13.0,J. Crawford enters the game for L. Mbah a Moute,,17-16,,
4:05.0,,,17-18,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by G. Monroe)
3:56.0,Turnover by B. Griffin (bad pass; steal by K. Middleton),,17-18,,
3:52.0,,,17-20,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
3:50.0,LA Clippers full timeout,,17-20,,
3:36.0,Turnover by J. Crawford (bad pass; steal by G. Antetokounmpo),,17-20,,
3:27.0,,,17-20,,Shooting foul by C. Paul (drawn by K. Middleton)
3:27.0,,,17-21,1,K. Middleton makes free throw 1 of 2
3:27.0,,,17-22,1,K. Middleton makes free throw 2 of 2
3:27.0,L. Mbah a Moute enters the game for B. Griffin,,17-21,,
3:06.0,A. Rivers makes 2-pt shot from 8 ft (assist by C. Paul),2,19-22,,
2:47.0,,,19-24,2,K. Middleton makes 2-pt shot from 12 ft
2:39.0,A. Rivers misses 3-pt shot from 24 ft,,19-24,,
2:38.0,,,19-24,,Defensive rebound by G. Antetokounmpo
2:32.0,,,19-24,,Shooting foul by D. Jordan (drawn by G. Antetokounmpo)
2:32.0,,,19-25,1,G. Antetokounmpo makes free throw 1 of 2
2:32.0,,,19-26,1,G. Antetokounmpo makes free throw 2 of 2
2:32.0,M. Speights enters the game for D. Jordan,,19-25,,
2:32.0,R. Felton enters the game for C. Paul,,19-25,,
2:13.0,Turnover by A. Rivers (step out of bounds),,19-26,,
1:49.0,,,19-28,2,K. Middleton makes 2-pt shot from 18 ft (assist by G. Antetokounmpo)
1:39.0,Turnover by J. Crawford (lost ball; steal by J. Terry),,19-28,,
1:34.0,,,19-30,2,J. Terry makes 2-pt shot from 2 ft (assist by G. Monroe)
1:21.0,Turnover by R. Felton (lost ball),,19-30,,
1:21.0,,,19-30,,M. Teletovic enters the game for G. Antetokounmpo
1:02.0,,,19-30,,M. Teletovic misses 3-pt shot from 25 ft
1:00.0,,,19-30,,Offensive rebound by G. Monroe
1:00.0,,,19-32,2,G. Monroe makes 2-pt shot at rim
0:41.0,M. Speights misses 3-pt shot from 27 ft,,19-32,,
0:39.0,,,19-32,,Defensive rebound by J. Terry
