time,Utah,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. R. Gobert (G. Hayward gains possession),,,,Jump ball: C. Capela vs. R. Gobert (G. Hayward gains possession)
11:38.0,R. Hood makes 3-pt shot from 26 ft (assist by G. Hayward),3,3-0,,
11:22.0,,,3-0,,R. Anderson misses 3-pt shot from 25 ft
11:21.0,,,3-0,,Offensive rebound by Team
11:12.0,,,3-2,2,J. Harden makes 2-pt shot from 16 ft
10:55.0,Shooting foul by T. Ariza (drawn by D. Exum),,3-2,,
10:55.0,D. Exum misses free throw 1 of 2,,3-2,,
10:55.0,Offensive rebound by Team,,3-2,,
10:55.0,D. Exum makes free throw 2 of 2,1,4-2,,
10:42.0,,,4-4,2,R. Anderson makes 2-pt shot from 2 ft (assist by C. Capela)
10:25.0,D. Exum misses 3-pt shot from 25 ft,,4-4,,
10:24.0,,,4-4,,Defensive rebound by C. Capela
10:15.0,,,4-4,,R. Anderson misses 3-pt shot from 26 ft
10:14.0,,,4-4,,Offensive rebound by C. Capela
10:05.0,,,4-6,2,C. Capela makes 2-pt shot from 2 ft (assist by P. Beverley)
9:49.0,R. Gobert misses 2-pt shot from 6 ft,,4-6,,
9:48.0,Offensive rebound by R. Gobert,,4-6,,
9:40.0,D. Exum misses 2-pt shot from 3 ft (block by C. Capela),,4-6,,
9:38.0,,,4-6,,Defensive rebound by T. Ariza
9:31.0,,,4-6,,R. Anderson misses 3-pt shot from 25 ft
9:30.0,Defensive rebound by G. Hayward,,4-6,,
9:22.0,Turnover by G. Hayward (lost ball; steal by P. Beverley),,4-6,,
9:18.0,,,4-8,2,P. Beverley makes 2-pt shot from 2 ft
9:18.0,Utah full timeout,,4-8,,
9:18.0,S. Mack enters the game for D. Exum,,4-8,,
9:03.0,S. Mack makes 2-pt shot from 2 ft (assist by G. Hayward),2,6-8,,
9:03.0,Shooting foul by J. Harden (drawn by S. Mack),,6-8,,
9:03.0,S. Mack misses free throw 1 of 1,,6-8,,
9:03.0,,,6-8,,Defensive rebound by C. Capela
8:43.0,,,6-10,2,J. Harden makes 2-pt shot from 12 ft
8:22.0,R. Gobert makes 2-pt shot at rim (assist by S. Mack),2,8-10,,
8:08.0,,,8-10,,R. Anderson misses 2-pt shot from 19 ft
8:07.0,Defensive rebound by G. Hayward,,8-10,,
7:56.0,Turnover by T. Lyles (bad pass; steal by P. Beverley),,8-10,,
7:38.0,,,8-10,,J. Harden misses 3-pt shot from 24 ft
7:37.0,Defensive rebound by R. Gobert,,8-10,,
7:16.0,R. Gobert misses 2-pt shot from 1 ft,,8-10,,
7:15.0,,,8-10,,Defensive rebound by R. Anderson
7:07.0,,,8-10,,C. Capela misses 2-pt shot from 2 ft
7:06.0,Defensive rebound by R. Hood,,8-10,,
6:58.0,R. Hood misses 2-pt shot from 2 ft,,8-10,,
6:57.0,,,8-10,,Defensive rebound by J. Harden
6:50.0,,,8-10,,Shooting foul by R. Gobert (drawn by C. Capela)
6:50.0,,,8-10,,C. Capela misses free throw 1 of 2
6:50.0,,,8-10,,Offensive rebound by Team
6:50.0,,,8-10,,C. Capela misses free throw 2 of 2
6:50.0,Defensive rebound by T. Lyles,,8-10,,
6:50.0,,,8-10,,E. Gordon enters the game for P. Beverley
6:30.0,S. Mack misses 3-pt shot from 26 ft,,8-10,,
6:28.0,,,8-10,,Defensive rebound by Team
6:13.0,,,8-13,3,J. Harden makes 3-pt shot from 24 ft
5:55.0,T. Lyles makes 3-pt shot from 25 ft (assist by G. Hayward),3,11-13,,
5:38.0,,,11-13,,C. Capela misses 2-pt shot from 5 ft
5:37.0,Defensive rebound by R. Gobert,,11-13,,
5:33.0,Offensive charge foul by S. Mack,,11-13,,
5:33.0,Turnover by S. Mack (offensive foul),,11-13,,
5:33.0,,,11-13,,N. Hilario enters the game for C. Capela
5:33.0,J. Johnson enters the game for G. Hayward,,11-13,,
5:24.0,,,11-13,,E. Gordon misses 3-pt shot from 26 ft
5:23.0,Defensive rebound by T. Lyles,,11-13,,
5:11.0,J. Johnson makes 2-pt shot from 9 ft,2,13-13,,
5:02.0,,,13-16,3,J. Harden makes 3-pt shot from 26 ft
4:47.0,R. Hood makes 3-pt shot from 25 ft,3,16-16,,
4:33.0,,,16-16,,R. Anderson misses 2-pt shot from 21 ft
4:32.0,Defensive rebound by J. Johnson,,16-16,,
4:18.0,T. Lyles makes 2-pt shot from 4 ft,2,18-16,,
4:03.0,,,18-18,2,N. Hilario makes 2-pt shot from 3 ft (assist by J. Harden)
3:51.0,Turnover by R. Gobert (bad pass; steal by N. Hilario),,18-18,,
3:47.0,Shooting block foul by R. Hood (drawn by T. Ariza),,18-18,,
3:47.0,,,18-19,1,T. Ariza makes free throw 1 of 2
3:47.0,,,18-19,,T. Ariza misses free throw 2 of 2
3:47.0,Defensive rebound by R. Gobert,,18-19,,
3:47.0,,,18-19,,S. Dekker enters the game for R. Anderson
3:47.0,J. Ingles enters the game for T. Lyles,,18-19,,
3:47.0,D. Exum enters the game for R. Hood,,18-19,,
3:22.0,J. Johnson misses 3-pt shot from 26 ft,,18-19,,
3:22.0,,,18-19,,Defensive rebound by T. Ariza
3:12.0,,,18-19,,J. Harden misses 2-pt shot from 13 ft
3:11.0,Defensive rebound by R. Gobert,,18-19,,
3:00.0,R. Gobert makes 2-pt shot from 3 ft (assist by S. Mack),2,20-19,,
2:47.0,Personal block foul by D. Exum (drawn by E. Gordon),,20-19,,
2:47.0,,,20-19,,Houston full timeout
2:47.0,,,20-19,,C. Brewer enters the game for T. Ariza
2:47.0,J. Bolomboy enters the game for R. Gobert,,20-19,,
2:33.0,,,20-19,,Turnover by Team (shot clock)
2:12.0,Turnover by J. Ingles (lost ball; steal by S. Dekker),,20-19,,
2:09.0,Personal foul by J. Ingles (drawn by J. Harden),,20-19,,
