time,Philadelphia,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. K. Towns (S. Rodriguez gains possession),,,,Jump ball: J. Embiid vs. K. Towns (S. Rodriguez gains possession)
11:37.0,S. Rodriguez misses 2-pt shot from 20 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by K. Towns
11:13.0,,,0-0,,K. Towns misses 2-pt shot from 1 ft
11:11.0,,,0-0,,Offensive rebound by K. Towns
11:10.0,,,0-2,2,K. Towns makes 2-pt shot from 2 ft
11:00.0,G. Henderson makes 3-pt shot from 25 ft (assist by E. Ilyasova),3,3-2,,
10:45.0,,,3-2,,Turnover by A. Wiggins (lost ball; steal by R. Covington)
10:42.0,,,3-2,,Personal foul by R. Rubio (drawn by J. Embiid)
10:30.0,E. Ilyasova misses 3-pt shot from 25 ft,,3-2,,
10:29.0,,,3-2,,Defensive rebound by R. Rubio
10:24.0,Personal block foul by E. Ilyasova (drawn by R. Rubio),,3-2,,
10:06.0,,,3-2,,R. Rubio misses 3-pt shot from 25 ft
10:05.0,,,3-2,,Offensive rebound by A. Wiggins
9:51.0,,,3-5,3,Z. LaVine makes 3-pt shot from 25 ft (assist by R. Rubio)
9:29.0,J. Embiid makes 2-pt shot at rim (assist by E. Ilyasova),2,5-5,,
9:12.0,,,5-5,,R. Rubio misses 3-pt shot from 25 ft
9:11.0,Defensive rebound by J. Embiid,,5-5,,
9:01.0,J. Embiid misses 2-pt shot from 20 ft,,5-5,,
9:00.0,,,5-5,,Defensive rebound by K. Towns
8:52.0,,,5-5,,Turnover by Z. LaVine (bad pass; steal by S. Rodriguez)
8:46.0,E. Ilyasova misses 2-pt shot from 17 ft,,5-5,,
8:45.0,,,5-5,,Defensive rebound by R. Rubio
8:40.0,,,5-7,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
8:18.0,Turnover by G. Henderson (lost ball),,5-7,,
8:01.0,,,5-7,,A. Wiggins misses 3-pt shot from 25 ft
8:00.0,Defensive rebound by J. Embiid,,5-7,,
7:49.0,R. Covington misses 2-pt shot from 4 ft,,5-7,,
7:48.0,Offensive rebound by J. Embiid,,5-7,,
7:46.0,J. Embiid makes 2-pt shot from 3 ft,2,7-7,,
7:34.0,,,7-9,2,A. Wiggins makes 2-pt shot from 7 ft
7:23.0,E. Ilyasova misses 2-pt shot from 2 ft,,7-9,,
7:22.0,,,7-9,,Defensive rebound by R. Rubio
7:13.0,,,7-11,2,G. Dieng makes 2-pt shot from 5 ft (assist by R. Rubio)
7:03.0,,,7-11,,Personal foul by G. Dieng (drawn by G. Henderson)
7:03.0,J. Okafor enters the game for J. Embiid,,7-11,,
6:50.0,G. Henderson misses 2-pt shot from 19 ft,,7-11,,
6:49.0,,,7-11,,Defensive rebound by G. Dieng
6:38.0,,,7-13,2,K. Towns makes 2-pt shot from 2 ft (assist by Z. LaVine)
6:31.0,Philadelphia full timeout,,7-13,,
6:18.0,R. Covington misses 3-pt shot from 24 ft,,7-13,,
6:17.0,,,7-13,,Defensive rebound by A. Wiggins
6:01.0,,,7-13,,K. Towns misses 2-pt shot from 11 ft
5:59.0,Defensive rebound by R. Covington,,7-13,,
5:45.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by R. Covington),2,9-13,,
5:26.0,,,9-15,2,R. Rubio makes 2-pt shot from 17 ft (assist by G. Dieng)
5:00.0,G. Henderson misses 2-pt shot from 10 ft (block by Z. LaVine),,9-15,,
4:59.0,Offensive rebound by R. Covington,,9-15,,
4:59.0,Turnover by Team (shot clock),,9-15,,
4:59.0,N. Stauskas enters the game for G. Henderson,,9-15,,
4:59.0,D. Saric enters the game for E. Ilyasova,,9-15,,
4:39.0,,,9-15,,G. Dieng misses 2-pt shot from 8 ft
4:37.0,Defensive rebound by N. Stauskas,,9-15,,
4:34.0,T. McConnell enters the game for S. Rodriguez,,9-15,,
4:21.0,Turnover by D. Saric (bad pass; steal by Z. LaVine),,9-15,,
4:14.0,,,9-15,,Turnover by Z. LaVine (lost ball; steal by N. Stauskas)
4:08.0,N. Stauskas makes 2-pt shot from 1 ft,2,11-15,,
3:54.0,,,11-15,,R. Rubio misses 2-pt shot from 18 ft
3:52.0,,,11-15,,Offensive rebound by A. Wiggins
3:52.0,,,11-17,2,A. Wiggins makes 2-pt shot from 1 ft
3:37.0,R. Covington misses 3-pt shot from 25 ft,,11-17,,
3:36.0,,,11-17,,Defensive rebound by G. Dieng
3:26.0,,,11-17,,Shooting foul by R. Covington (drawn by A. Wiggins)
3:26.0,,,11-18,1,A. Wiggins makes free throw 1 of 2
3:26.0,,,11-19,1,A. Wiggins makes free throw 2 of 2
3:26.0,H. Thompson enters the game for R. Covington,,11-18,,
3:26.0,,,11-18,,K. Dunn enters the game for R. Rubio
3:26.0,,,11-18,,C. Aldrich enters the game for G. Dieng
3:06.0,H. Thompson misses 3-pt shot from 23 ft,,11-19,,
3:05.0,Offensive rebound by N. Stauskas,,11-19,,
3:00.0,N. Stauskas makes 3-pt shot from 24 ft,3,14-19,,
2:46.0,,,14-21,2,K. Towns makes 2-pt shot from 5 ft
2:30.0,J. Okafor makes 2-pt shot from 1 ft,2,16-21,,
2:19.0,,,16-21,,K. Dunn misses 2-pt shot from 15 ft
2:18.0,Defensive rebound by N. Stauskas,,16-21,,
2:17.0,,,16-21,,Personal foul by C. Aldrich (drawn by N. Stauskas)
2:17.0,,,16-21,,Minnesota full timeout
2:17.0,,,16-21,,N. Bjelica enters the game for Z. LaVine
2:17.0,J. Embiid enters the game for J. Okafor,,16-21,,
1:59.0,D. Saric misses 3-pt shot from 25 ft,,16-21,,
1:58.0,,,16-21,,Defensive rebound by N. Bjelica
1:43.0,,,16-23,2,K. Towns makes 2-pt shot from 16 ft (assist by A. Wiggins)
1:25.0,Turnover by J. Embiid (lost ball; steal by N. Bjelica),,16-23,,
1:19.0,,,16-25,2,N. Bjelica makes 2-pt shot from 2 ft
1:03.0,Shooting foul by N. Bjelica (drawn by H. Thompson),,16-25,,
1:03.0,H. Thompson makes free throw 1 of 2,1,17-25,,
1:03.0,H. Thompson makes free throw 2 of 2,1,18-25,,
0:46.0,,,18-27,2,A. Wiggins makes 2-pt shot from 6 ft
0:33.0,D. Saric misses 2-pt shot from 16 ft (block by K. Towns),,18-27,,
0:31.0,,,18-27,,Defensive rebound by K. Dunn
0:24.0,,,18-27,,N. Bjelica misses 3-pt shot from 24 ft
0:23.0,Defensive rebound by J. Embiid,,18-27,,
0:03.0,N. Stauskas misses 3-pt shot from 25 ft,,18-27,,
0:02.0,Offensive rebound by D. Saric,,18-27,,
0:01.0,D. Saric misses 2-pt shot from 17 ft,,18-27,,
0:00.0,Offensive rebound by Team,,18-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,18-30,3,K. Towns makes 3-pt shot from 23 ft (assist by A. Wiggins)
11:24.0,S. Rodriguez enters the game for T. McConnell,,18-30,,
11:24.0,E. Ilyasova enters the game for D. Saric,,18-30,,
11:20.0,H. Thompson misses 2-pt shot from 22 ft,,18-30,,
11:19.0,,,18-30,,Defensive rebound by A. Wiggins
11:07.0,,,18-32,2,A. Wiggins makes 2-pt shot from 12 ft
10:48.0,N. Stauskas misses 3-pt shot from 23 ft,,18-32,,
10:46.0,,,18-32,,Defensive rebound by C. Aldrich
10:39.0,,,18-35,3,N. Bjelica makes 3-pt shot from 24 ft (assist by K. Dunn)
10:39.0,Philadelphia full timeout,,18-35,,
10:39.0,,,18-35,,A. Payne enters the game for K. Towns
10:39.0,G. Henderson enters the game for N. Stauskas,,18-35,,
10:39.0,J. Okafor enters the game for J. Embiid,,18-35,,
10:39.0,,,18-35,,Z. LaVine enters the game for A. Wiggins
10:22.0,E. Ilyasova misses 2-pt shot from 20 ft,,18-35,,
10:21.0,,,18-35,,Defensive rebound by N. Bjelica
10:04.0,,,18-35,,Z. LaVine misses 3-pt shot from 24 ft
10:02.0,,,18-35,,Offensive rebound by N. Bjelica
10:02.0,,,18-35,,N. Bjelica misses 2-pt shot from 1 ft
10:00.0,Defensive rebound by H. Thompson,,18-35,,
9:48.0,H. Thompson makes 3-pt shot from 25 ft (assist by S. Rodriguez),3,21-35,,
9:34.0,,,21-35,,A. Payne misses 3-pt shot from 25 ft
9:33.0,,,21-35,,Offensive rebound by C. Aldrich
9:29.0,,,21-35,,A. Payne misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by G. Henderson,,21-35,,
9:13.0,J. Okafor misses 2-pt shot from 1 ft (block by C. Aldrich),,21-35,,
9:11.0,,,21-35,,Defensive rebound by C. Aldrich
9:06.0,,,21-37,2,Z. LaVine makes 2-pt shot at rim (assist by K. Dunn)
8:50.0,E. Ilyasova makes 2-pt shot from 3 ft,2,23-37,,
8:35.0,,,23-39,2,K. Dunn makes 2-pt shot from 16 ft
8:11.0,H. Thompson misses 2-pt shot from 4 ft,,23-39,,
8:10.0,Offensive rebound by H. Thompson,,23-39,,
8:09.0,H. Thompson makes 2-pt shot at rim,2,25-39,,
7:53.0,,,25-39,,Shooting foul by J. Okafor (drawn by A. Payne)
7:53.0,,,25-39,,A. Payne misses free throw 1 of 2
7:53.0,,,25-39,,Offensive rebound by Team
7:53.0,,,25-39,,A. Payne misses free throw 2 of 2
7:51.0,,,25-39,,Offensive rebound by Z. LaVine
7:51.0,,,25-41,2,Z. LaVine makes 2-pt shot at rim
7:49.0,Philadelphia full timeout,,25-41,,
7:38.0,,,25-41,,Personal foul by A. Payne (drawn by E. Ilyasova)
7:28.0,Turnover by J. Okafor (3 sec),,25-41,,
7:17.0,,,25-43,2,N. Bjelica makes 2-pt shot at rim (assist by A. Payne)
7:17.0,,,25-43,,Shooting foul by G. Henderson (drawn by N. Bjelica)
7:17.0,,,25-44,1,N. Bjelica makes free throw 1 of 1
7:17.0,R. Covington enters the game for H. Thompson,,25-43,,
7:08.0,Loose ball foul by S. Rodriguez (drawn by A. Payne),,25-44,,
7:08.0,Turnover by S. Rodriguez (offensive foul),,25-44,,
7:08.0,T. McConnell enters the game for S. Rodriguez,,25-44,,
7:05.0,,,25-44,,G. Dieng enters the game for C. Aldrich
6:52.0,,,25-44,,Z. LaVine misses 3-pt shot from 25 ft
6:51.0,Defensive rebound by E. Ilyasova,,25-44,,
6:36.0,E. Ilyasova makes 3-pt shot from 24 ft,3,28-44,,
6:17.0,,,28-44,,G. Dieng misses 2-pt shot from 20 ft
6:16.0,Defensive rebound by T. McConnell,,28-44,,
6:08.0,R. Covington misses 2-pt shot from 5 ft (block by G. Dieng),,28-44,,
6:07.0,Offensive rebound by Team,,28-44,,
6:07.0,J. Embiid enters the game for J. Okafor,,28-44,,
6:07.0,,,28-44,,A. Wiggins enters the game for N. Bjelica
6:07.0,,,28-44,,K. Towns enters the game for A. Payne
5:52.0,E. Ilyasova misses 2-pt shot from 21 ft,,28-44,,
5:51.0,,,28-44,,Defensive rebound by K. Dunn
5:40.0,,,28-44,,Turnover by G. Dieng (bad pass; steal by T. McConnell)
5:35.0,G. Henderson misses 3-pt shot from 25 ft,,28-44,,
5:34.0,,,28-44,,Defensive rebound by G. Dieng
5:27.0,,,28-44,,Z. LaVine misses 2-pt shot from 1 ft (block by J. Embiid)
5:25.0,Defensive rebound by J. Embiid,,28-44,,
5:21.0,E. Ilyasova makes 2-pt shot at rim (assist by T. McConnell),2,30-44,,
5:13.0,,,30-44,,Minnesota full timeout
5:13.0,N. Stauskas enters the game for G. Henderson,,30-44,,
5:13.0,,,30-44,,R. Rubio enters the game for K. Dunn
5:00.0,,,30-46,2,A. Wiggins makes 2-pt shot from 1 ft (assist by G. Dieng)
4:42.0,R. Covington misses 3-pt shot from 25 ft,,30-46,,
4:41.0,,,30-46,,Defensive rebound by G. Dieng
4:35.0,,,30-46,,Offensive charge foul by K. Towns
4:35.0,,,30-46,,Turnover by K. Towns (offensive foul)
4:17.0,Offensive charge foul by J. Embiid,,30-46,,
4:17.0,Turnover by J. Embiid (offensive foul),,30-46,,
3:59.0,,,30-48,2,Z. LaVine makes 2-pt shot from 22 ft
3:47.0,Turnover by E. Ilyasova (bad pass; steal by G. Dieng),,30-48,,
3:43.0,,,30-48,,Turnover by R. Rubio (bad pass)
3:30.0,T. McConnell makes 2-pt shot from 6 ft,2,32-48,,
3:20.0,,,32-48,,Shooting foul by J. Embiid (drawn by G. Dieng)
3:20.0,,,32-49,1,G. Dieng makes free throw 1 of 2
3:20.0,,,32-50,1,G. Dieng makes free throw 2 of 2
3:20.0,S. Rodriguez enters the game for T. McConnell,,32-49,,
3:20.0,D. Saric enters the game for E. Ilyasova,,32-49,,
3:04.0,R. Covington misses 2-pt shot from 1 ft,,32-50,,
3:03.0,,,32-50,,Defensive rebound by R. Rubio
2:52.0,,,32-50,,K. Towns misses 2-pt shot from 7 ft
2:51.0,Defensive rebound by R. Covington,,32-50,,
2:50.0,,,32-50,,Personal foul by G. Dieng (drawn by S. Rodriguez)
2:50.0,Philadelphia full timeout,,32-50,,
2:44.0,Turnover by S. Rodriguez (traveling),,32-50,,
2:44.0,J. Okafor enters the game for J. Embiid,,32-50,,
2:33.0,,,32-50,,Turnover by R. Rubio (bad pass; steal by N. Stauskas)
2:27.0,R. Covington misses 3-pt shot from 24 ft,,32-50,,
2:26.0,,,32-50,,Defensive rebound by G. Dieng
2:13.0,,,32-52,2,A. Wiggins makes 2-pt shot from 15 ft
2:00.0,N. Stauskas misses 2-pt shot from 1 ft,,32-52,,
2:00.0,,,32-52,,Defensive rebound by G. Dieng
1:45.0,,,32-52,,K. Towns misses 2-pt shot from 21 ft
1:43.0,,,32-52,,Offensive rebound by A. Wiggins
