time,San Antonio,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. D. Dedmon (T. Parker gains possession),,,,Jump ball: T. Black vs. D. Dedmon (T. Parker gains possession)
11:44.0,D. Dedmon makes 2-pt shot at rim (assist by T. Parker),2,2-0,,
11:24.0,,,2-0,,J. Randle misses 2-pt shot from 8 ft
11:23.0,Jump ball: T. Black vs. D. Dedmon (L. Aldridge gains possession),,,,Jump ball: T. Black vs. D. Dedmon (L. Aldridge gains possession)
11:23.0,Offensive rebound by D. Dedmon,,2-0,,
10:59.0,D. Green misses 2-pt shot from 13 ft,,2-0,,
10:55.0,,,2-0,,Defensive rebound by T. Black
10:37.0,,,2-2,2,B. Ingram makes 2-pt shot from 16 ft
10:19.0,L. Aldridge misses 2-pt shot from 13 ft,,2-2,,
10:18.0,,,2-2,,Defensive rebound by D. Russell
10:05.0,,,2-2,,D. Russell misses 2-pt shot from 17 ft
10:02.0,Defensive rebound by L. Aldridge,,2-2,,
9:54.0,K. Leonard makes 2-pt shot from 20 ft (assist by T. Parker),2,4-2,,
9:35.0,,,4-2,,Offensive foul by J. Randle
9:35.0,,,4-2,,Turnover by J. Randle (offensive foul)
9:13.0,K. Leonard misses 3-pt shot from 25 ft,,4-2,,
9:12.0,,,4-2,,Defensive rebound by J. Randle
9:07.0,,,4-5,3,N. Young makes 3-pt shot from 25 ft (assist by D. Russell)
8:54.0,L. Aldridge makes 2-pt shot from 2 ft (assist by T. Parker),2,6-5,,
8:44.0,,,6-5,,Turnover by D. Russell (bad pass)
8:28.0,,,6-5,,Personal block foul by T. Black (drawn by T. Parker)
8:20.0,L. Aldridge makes 2-pt shot from 8 ft (assist by T. Parker),2,8-5,,
8:07.0,,,8-5,,D. Russell misses 3-pt shot from 25 ft
8:05.0,Defensive rebound by D. Green,,8-5,,
8:00.0,Shooting foul by B. Ingram (drawn by K. Leonard),,8-5,,
8:00.0,K. Leonard misses free throw 1 of 2,,8-5,,
8:00.0,Offensive rebound by Team,,8-5,,
8:00.0,K. Leonard makes free throw 2 of 2,1,9-5,,
7:43.0,,,9-5,,J. Randle misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by D. Dedmon,,9-5,,
7:33.0,L. Aldridge makes 2-pt shot from 1 ft (assist by D. Dedmon),2,11-5,,
7:24.0,,,11-5,,Turnover by B. Ingram (lost ball)
7:09.0,K. Leonard makes 2-pt shot at rim (assist by T. Parker),2,13-5,,
6:59.0,,,13-5,,N. Young misses 2-pt shot from 19 ft
6:57.0,Defensive rebound by T. Parker,,13-5,,
6:46.0,L. Aldridge misses 2-pt shot from 14 ft,,13-5,,
6:44.0,,,13-5,,Defensive rebound by J. Randle
6:35.0,,,13-7,2,J. Randle makes 2-pt shot from 5 ft (assist by D. Russell)
6:35.0,San Antonio full timeout,,13-7,,
6:20.0,K. Leonard makes 2-pt shot from 17 ft (assist by D. Dedmon),2,15-7,,
6:02.0,,,15-9,2,D. Russell makes 2-pt shot from 17 ft
5:48.0,K. Leonard makes 2-pt shot from 19 ft (assist by T. Parker),2,17-9,,
5:39.0,,,17-12,3,D. Russell makes 3-pt shot from 24 ft
5:22.0,L. Aldridge misses 2-pt shot from 19 ft,,17-12,,
5:21.0,,,17-12,,Defensive rebound by J. Randle
5:08.0,,,17-12,,Turnover by J. Randle (bad pass; steal by D. Green)
5:03.0,D. Green misses 2-pt shot at rim,,17-12,,
5:00.0,Offensive rebound by K. Leonard,,17-12,,
4:53.0,,,17-12,,Personal foul by T. Black (drawn by L. Aldridge)
4:53.0,,,17-12,,J. Clarkson enters the game for N. Young
4:53.0,,,17-12,,I. Zubac enters the game for T. Black
4:53.0,P. Mills enters the game for T. Parker,,17-12,,
4:53.0,M. Ginobili enters the game for D. Green,,17-12,,
4:50.0,K. Leonard makes 3-pt shot from 24 ft (assist by M. Ginobili),3,20-12,,
4:38.0,,,20-12,,J. Clarkson misses 2-pt shot from 5 ft
4:36.0,Defensive rebound by L. Aldridge,,20-12,,
4:32.0,D. Dedmon makes 2-pt shot at rim (assist by P. Mills),2,22-12,,
4:30.0,,,22-12,,LA Lakers full timeout
4:30.0,P. Gasol enters the game for D. Dedmon,,22-12,,
4:20.0,,,22-12,,Turnover by J. Randle (traveling)
