time,New York,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:45.0,K. Porzingis misses 3-pt shot from 28 ft,,0-0,,
12:00.0,Jump ball: D. Jordan vs. K. Porzingis (W. Hernangomez gains possession),,,,Jump ball: D. Jordan vs. K. Porzingis (W. Hernangomez gains possession)
11:44.0,,,0-0,,Defensive rebound by C. Paul
11:39.0,,,0-2,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
11:23.0,D. Rose misses 2-pt shot from 5 ft,,0-2,,
11:20.0,Offensive rebound by K. Porzingis,,0-2,,
11:20.0,K. Porzingis misses 2-pt shot from 2 ft,,0-2,,
11:16.0,Offensive rebound by D. Rose,,0-2,,
11:15.0,C. Anthony makes 3-pt shot from 26 ft (assist by D. Rose),3,3-2,,
10:52.0,,,3-2,,J. Redick misses 2-pt shot from 19 ft
10:51.0,Defensive rebound by K. Porzingis,,3-2,,
10:42.0,W. Hernangomez misses 2-pt shot from 7 ft,,3-2,,
10:39.0,,,3-2,,Defensive rebound by D. Jordan
10:27.0,,,3-2,,B. Griffin misses 2-pt shot from 4 ft
10:26.0,Defensive rebound by K. Porzingis,,3-2,,
10:17.0,Shooting foul by J. Redick (drawn by D. Rose),,3-2,,
10:17.0,D. Rose makes free throw 1 of 2,1,4-2,,
10:17.0,D. Rose makes free throw 2 of 2,1,5-2,,
10:05.0,,,5-5,3,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul)
9:52.0,C. Lee makes 2-pt shot from 16 ft (assist by C. Anthony),2,7-5,,
9:38.0,,,7-5,,J. Redick misses 3-pt shot from 26 ft
9:37.0,Defensive rebound by C. Lee,,7-5,,
9:31.0,C. Lee misses 2-pt shot from 3 ft,,7-5,,
9:28.0,,,7-5,,Defensive rebound by C. Paul
9:17.0,,,7-5,,C. Paul misses 3-pt shot from 26 ft
9:14.0,Defensive rebound by K. Porzingis,,7-5,,
9:08.0,Turnover by D. Rose (bad pass; steal by L. Mbah a Moute),,7-5,,
9:02.0,,,7-5,,C. Paul misses 2-pt shot from 7 ft
9:00.0,Defensive rebound by D. Rose,,7-5,,
8:52.0,C. Anthony misses 3-pt shot from 25 ft,,7-5,,
8:50.0,,,7-5,,Defensive rebound by D. Jordan
8:41.0,,,7-7,2,D. Jordan makes 2-pt shot at rim (assist by L. Mbah a Moute)
8:26.0,K. Porzingis misses 3-pt shot from 27 ft,,7-7,,
8:25.0,,,7-7,,Defensive rebound by D. Jordan
8:19.0,,,7-7,,Turnover by B. Griffin (bad pass)
7:58.0,K. Porzingis misses 2-pt shot from 18 ft,,7-7,,
7:57.0,,,7-7,,Defensive rebound by L. Mbah a Moute
7:50.0,Personal foul by C. Lee,,7-7,,
7:41.0,,,7-7,,J. Redick misses 2-pt shot from 22 ft
7:40.0,Defensive rebound by K. Porzingis,,7-7,,
7:33.0,D. Rose makes 2-pt shot from 1 ft,2,9-7,,
7:28.0,,,9-7,,Shooting foul by C. Anthony (drawn by B. Griffin)
7:28.0,,,9-7,,B. Griffin misses free throw 1 of 2
7:28.0,,,9-7,,Offensive rebound by Team
7:28.0,,,9-8,1,B. Griffin makes free throw 2 of 2
7:11.0,C. Lee misses 3-pt shot from 26 ft,,9-8,,
7:09.0,,,9-8,,Defensive rebound by D. Jordan
