time,Orlando,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. M. Turner (D. Augustin gains possession),,,,Jump ball: B. Biyombo vs. M. Turner (D. Augustin gains possession)
11:41.0,J. Meeks misses 3-pt shot from 27 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by P. George
11:25.0,,,0-0,,M. Turner misses 2-pt shot from 16 ft
11:25.0,Defensive rebound by J. Meeks,,0-0,,
11:07.0,Turnover by D. Augustin (bad pass; steal by J. Teague),,0-0,,
11:01.0,,,0-2,2,J. Teague makes 2-pt shot from 2 ft
10:37.0,S. Ibaka misses 2-pt shot from 14 ft,,0-2,,
10:35.0,Offensive rebound by A. Gordon,,0-2,,
10:35.0,A. Gordon makes 2-pt shot from 2 ft,2,2-2,,
10:15.0,,,2-2,,M. Turner misses 2-pt shot from 5 ft (block by S. Ibaka)
10:14.0,Defensive rebound by B. Biyombo,,2-2,,
10:07.0,D. Augustin misses 3-pt shot from 28 ft,,2-2,,
10:07.0,,,2-2,,Defensive rebound by T. Young
9:54.0,,,2-2,,T. Young misses 2-pt shot from 4 ft
9:51.0,Defensive rebound by A. Gordon,,2-2,,
9:41.0,A. Gordon misses 2-pt shot from 15 ft,,2-2,,
9:40.0,,,2-2,,Defensive rebound by G. Robinson
9:31.0,,,2-2,,Turnover by P. George (bad pass; steal by A. Gordon)
9:26.0,D. Augustin makes 2-pt shot from 1 ft,2,4-2,,
9:10.0,,,4-2,,J. Teague misses 3-pt shot from 27 ft
9:08.0,Defensive rebound by B. Biyombo,,4-2,,
8:49.0,A. Gordon misses 3-pt shot from 26 ft,,4-2,,
8:49.0,,,4-2,,Defensive rebound by M. Turner
8:40.0,,,4-2,,T. Young misses 3-pt shot from 23 ft
8:39.0,,,4-2,,Offensive rebound by Team
8:39.0,Loose ball foul by D. Augustin (drawn by G. Robinson),,4-2,,
8:34.0,,,4-2,,Turnover by T. Young (bad pass)
8:17.0,S. Ibaka makes 2-pt shot from 5 ft,2,6-2,,
8:02.0,,,6-5,3,G. Robinson makes 3-pt shot from 24 ft (assist by M. Turner)
7:49.0,Turnover by A. Gordon (bad pass; steal by M. Turner),,6-5,,
7:45.0,,,6-7,2,J. Teague makes 2-pt shot from 2 ft
7:44.0,Orlando full timeout,,6-7,,
7:44.0,Violation by Team (jump ball),,6-7,,
7:33.0,Turnover by B. Biyombo (traveling),,6-7,,
7:19.0,,,6-9,2,T. Young makes 2-pt shot from 19 ft (assist by P. George)
7:03.0,,,6-9,,Violation by G. Robinson (kicked ball)
6:50.0,B. Biyombo misses 2-pt shot from 9 ft,,6-9,,
6:48.0,,,6-9,,Defensive rebound by M. Turner
6:34.0,,,6-9,,Shooting foul by A. Gordon (drawn by M. Turner)
6:34.0,,,6-10,1,M. Turner makes free throw 1 of 2
6:34.0,,,6-11,1,M. Turner makes free throw 2 of 2
6:17.0,J. Meeks misses 3-pt shot from 28 ft,,6-11,,
6:16.0,,,6-11,,Defensive rebound by J. Teague
6:09.0,,,6-11,,M. Turner misses 2-pt shot from 2 ft
6:08.0,Defensive rebound by S. Ibaka,,6-11,,
6:02.0,D. Augustin misses 2-pt shot from 1 ft (block by J. Teague),,6-11,,
6:01.0,,,6-11,,Defensive rebound by G. Robinson
5:48.0,,,6-14,3,P. George makes 3-pt shot from 27 ft (assist by G. Robinson)
5:33.0,Shooting foul by T. Young (drawn by S. Ibaka),,6-14,,
5:33.0,S. Ibaka makes free throw 1 of 2,1,7-14,,
5:33.0,S. Ibaka misses free throw 2 of 2,,7-14,,
5:33.0,,,7-14,,Defensive rebound by M. Turner
5:33.0,E. Payton enters the game for D. Augustin,,7-14,,
5:33.0,N. Vucevic enters the game for B. Biyombo,,7-14,,
5:19.0,,,7-14,,M. Turner misses 2-pt shot from 12 ft
5:18.0,Defensive rebound by N. Vucevic,,7-14,,
5:05.0,A. Gordon makes 3-pt shot from 26 ft (assist by S. Ibaka),3,10-14,,
4:54.0,,,10-14,,Shooting foul by N. Vucevic (drawn by G. Robinson)
4:54.0,,,10-15,1,G. Robinson makes free throw 1 of 2
4:54.0,,,10-16,1,G. Robinson makes free throw 2 of 2
4:54.0,,,10-15,,K. Seraphin enters the game for T. Young
4:38.0,S. Ibaka misses 3-pt shot from 23 ft,,10-16,,
4:37.0,,,10-16,,Defensive rebound by J. Teague
4:32.0,,,10-18,2,M. Turner makes 2-pt shot at rim (assist by J. Teague)
4:20.0,S. Ibaka makes 2-pt shot from 14 ft (assist by E. Payton),2,12-18,,
4:07.0,,,12-18,,G. Robinson misses 2-pt shot from 17 ft
4:06.0,Defensive rebound by N. Vucevic,,12-18,,
3:55.0,Turnover by E. Payton (lost ball),,12-18,,
3:55.0,J. Green enters the game for A. Gordon,,12-18,,
3:39.0,,,12-18,,P. George misses 2-pt shot from 21 ft
3:38.0,,,12-18,,Offensive rebound by M. Turner
3:34.0,,,12-18,,Turnover by J. Teague (bad pass; steal by S. Ibaka)
3:29.0,,,12-18,,Personal foul by J. Teague (drawn by J. Green)
3:18.0,J. Meeks misses 3-pt shot from 26 ft,,12-18,,
3:16.0,,,12-18,,Defensive rebound by P. George
2:52.0,,,12-18,,G. Robinson misses 3-pt shot from 24 ft
2:52.0,Defensive rebound by S. Ibaka,,12-18,,
2:43.0,J. Green makes 3-pt shot from 27 ft (assist by E. Payton),3,15-18,,
2:36.0,,,15-18,,Indiana full timeout
2:36.0,C. Watson enters the game for J. Meeks,,15-18,,
2:36.0,,,15-18,,A. Jefferson enters the game for M. Turner
2:36.0,,,15-18,,A. Brooks enters the game for J. Teague
