time,Golden State,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. T. Thompson (D. Green gains possession),,,,Jump ball: Z. Pachulia vs. T. Thompson (D. Green gains possession)
11:44.0,D. Green misses 3-pt shot from 26 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by T. Thompson
11:25.0,,,0-2,2,K. Irving makes 2-pt shot from 1 ft (assist by L. James)
11:14.0,Turnover by Z. Pachulia (traveling),,0-2,,
11:00.0,,,0-5,3,J. Smith makes 3-pt shot from 27 ft (assist by L. James)
10:46.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry),3,3-5,,
10:35.0,,,3-5,,Turnover by L. James (bad pass)
10:23.0,K. Durant makes 3-pt shot from 25 ft (assist by D. Green),3,6-5,,
10:08.0,Personal foul by S. Curry,,6-5,,
10:03.0,Personal block foul by D. Green,,6-5,,
9:56.0,,,6-5,,K. Love misses 3-pt shot from 23 ft
9:56.0,,,6-5,,Offensive rebound by Team
9:56.0,Loose ball foul by Z. Pachulia (drawn by T. Thompson),,6-5,,
9:45.0,,,6-7,2,L. James makes 2-pt shot from 1 ft
9:35.0,S. Curry misses 2-pt shot from 8 ft,,6-7,,
9:35.0,Offensive rebound by S. Curry,,6-7,,
9:31.0,K. Durant makes 3-pt shot from 25 ft (assist by S. Curry),3,9-7,,
9:17.0,,,9-10,3,J. Smith makes 3-pt shot from 26 ft (assist by T. Thompson)
9:04.0,Z. Pachulia misses 2-pt shot from 7 ft,,9-10,,
9:03.0,,,9-10,,Defensive rebound by K. Love
8:58.0,,,9-10,,K. Irving misses 3-pt shot from 25 ft
8:56.0,Defensive rebound by D. Green,,9-10,,
8:51.0,Turnover by Z. Pachulia (lost ball),,9-10,,
8:35.0,,,9-13,3,L. James makes 3-pt shot from 26 ft
8:15.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green),2,11-13,,
8:03.0,,,11-13,,K. Irving misses 2-pt shot from 14 ft
8:02.0,Defensive rebound by K. Durant,,11-13,,
7:57.0,Turnover by K. Durant (lost ball; steal by K. Love),,11-13,,
7:51.0,,,11-15,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
7:41.0,K. Durant makes 2-pt shot at rim (assist by D. Green),2,13-15,,
7:26.0,,,13-17,2,L. James makes 2-pt shot from 18 ft
7:16.0,Turnover by K. Durant (bad pass; steal by K. Love),,13-17,,
7:05.0,,,13-17,,L. James misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by K. Durant,,13-17,,
7:02.0,,,13-17,,Personal foul by J. Smith
7:02.0,Golden State full timeout,,13-17,,
6:53.0,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant),3,16-17,,
6:33.0,Shooting block foul by Z. Pachulia (drawn by K. Love),,16-17,,
6:33.0,,,16-18,1,K. Love makes free throw 1 of 2
6:33.0,,,16-19,1,K. Love makes free throw 2 of 2
6:33.0,J. McGee enters the game for Z. Pachulia,,16-18,,
6:17.0,Turnover by D. Green (bad pass; steal by K. Love),,16-19,,
6:06.0,,,16-19,,Turnover by L. James (bad pass; steal by S. Curry)
5:59.0,K. Thompson misses 3-pt shot from 24 ft,,16-19,,
5:59.0,Offensive rebound by J. McGee,,16-19,,
5:55.0,K. Thompson makes 3-pt shot from 23 ft (assist by J. McGee),3,19-19,,
5:48.0,,,19-19,,Cleveland full timeout
5:38.0,,,19-21,2,L. James makes 2-pt shot from 1 ft
5:38.0,,,19-21,,Shooting foul by J. McGee (drawn by L. James)
5:38.0,,,19-21,,L. James misses free throw 1 of 1
5:37.0,Defensive rebound by K. Durant,,19-21,,
5:25.0,,,19-21,,Shooting block foul by J. Smith (drawn by K. Thompson)
5:25.0,K. Thompson makes free throw 1 of 2,1,20-21,,
5:25.0,K. Thompson makes free throw 2 of 2,1,21-21,,
5:25.0,A. Iguodala enters the game for D. Green,,20-21,,
5:09.0,,,21-21,,K. Irving misses 2-pt shot from 16 ft
5:07.0,Defensive rebound by A. Iguodala,,21-21,,
5:02.0,K. Thompson makes 3-pt shot from 26 ft (assist by A. Iguodala),3,24-21,,
4:35.0,,,24-23,2,K. Irving makes 2-pt shot from 8 ft
4:21.0,A. Iguodala makes 3-pt shot from 26 ft (assist by S. Curry),3,27-23,,
4:02.0,,,27-23,,K. Love misses 2-pt shot from 1 ft
4:02.0,,,27-23,,Offensive rebound by K. Love
3:59.0,,,27-23,,Turnover by K. Love (bad pass; steal by A. Iguodala)
3:51.0,S. Curry misses 3-pt shot from 25 ft,,27-23,,
3:49.0,Offensive rebound by Team,,27-23,,
3:49.0,,,27-23,,I. Shumpert enters the game for J. Smith
3:49.0,,,27-23,,K. Korver enters the game for K. Love
3:49.0,Jump ball: L. James vs. J. McGee (K. Durant gains possession),,,,Jump ball: L. James vs. J. McGee (K. Durant gains possession)
3:38.0,K. Thompson misses 2-pt shot from 15 ft,,27-23,,
3:35.0,,,27-23,,Defensive rebound by L. James
3:27.0,,,27-26,3,L. James makes 3-pt shot from 24 ft
3:13.0,Turnover by J. McGee (lost ball; steal by L. James),,27-26,,
3:06.0,,,27-28,2,L. James makes 2-pt shot at rim
2:58.0,Golden State full timeout,,27-28,,
2:58.0,,,27-28,,R. Jefferson enters the game for T. Thompson
2:58.0,S. Livingston enters the game for K. Thompson,,27-28,,
2:37.0,A. Iguodala misses 3-pt shot from 24 ft,,27-28,,
2:37.0,,,27-28,,Defensive rebound by K. Irving
2:35.0,Personal foul by J. McGee (drawn by K. Irving),,27-28,,
2:35.0,,,27-29,1,K. Irving makes free throw 1 of 2
2:35.0,,,27-30,1,K. Irving makes free throw 2 of 2
2:35.0,D. Green enters the game for J. McGee,,27-29,,
2:15.0,S. Livingston makes 2-pt shot from 12 ft (assist by S. Curry),2,29-30,,
2:08.0,Personal foul by A. Iguodala (drawn by I. Shumpert),,29-30,,
2:08.0,,,29-31,1,I. Shumpert makes free throw 1 of 2
2:08.0,,,29-32,1,I. Shumpert makes free throw 2 of 2
2:08.0,P. McCaw enters the game for K. Durant,,29-31,,
1:49.0,S. Livingston misses 2-pt shot from 16 ft,,29-32,,
1:49.0,Offensive rebound by Team,,29-32,,
1:49.0,,,29-32,,K. Love enters the game for L. James
1:47.0,,,29-32,,Personal foul by I. Shumpert (drawn by S. Curry)
1:36.0,S. Curry makes 3-pt shot from 26 ft,3,32-32,,
1:21.0,,,32-32,,I. Shumpert misses 2-pt shot from 16 ft
1:21.0,Defensive rebound by A. Iguodala,,32-32,,
1:11.0,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala),3,35-32,,
0:50.0,,,35-32,,Turnover by R. Jefferson (bad pass; steal by A. Iguodala)
0:43.0,S. Livingston makes 2-pt shot at rim (assist by D. Green),2,37-32,,
0:37.0,,,37-32,,Offensive foul by K. Love
0:37.0,,,37-32,,Turnover by K. Love (offensive foul)
0:37.0,K. Durant enters the game for P. McCaw,,37-32,,
0:37.0,K. Thompson enters the game for S. Livingston,,37-32,,
0:30.0,S. Curry misses 3-pt shot from 26 ft,,37-32,,
0:29.0,Offensive rebound by S. Curry,,37-32,,
0:25.0,S. Curry misses 2-pt shot from 1 ft,,37-32,,
0:24.0,,,37-32,,Defensive rebound by K. Love
0:17.0,,,37-32,,I. Shumpert misses 3-pt shot from 25 ft
0:17.0,Defensive rebound by D. Green,,37-32,,
0:04.0,D. Green makes 2-pt shot at rim (assist by K. Durant),2,39-32,,
0:00.0,,,39-32,,K. Irving misses 3-pt shot from 26 ft (block by D. Green)
0:00.0,,,39-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,39-34,2,L. James makes 2-pt shot from 18 ft
11:50.0,Loose ball foul by I. Clark (drawn by K. Love),,39-34,,
11:50.0,,,39-35,1,K. Love makes free throw 1 of 1
11:47.0,Offensive foul by D. Green,,39-35,,
11:47.0,Turnover by D. Green (offensive foul),,39-35,,
11:37.0,,,39-37,2,K. Korver makes 2-pt shot at rim (assist by L. James)
11:14.0,A. Iguodala misses 2-pt shot from 3 ft,,39-37,,
11:13.0,Offensive rebound by Team,,39-37,,
11:13.0,,,39-37,,Loose ball foul by K. Korver (drawn by D. West)
11:09.0,Turnover by D. Green (bad pass; steal by K. Love),,39-37,,
10:59.0,,,39-37,,Shooting foul by K. Thompson (drawn by K. Love)
10:59.0,,,39-38,1,K. Love makes free throw 1 of 2
10:59.0,,,39-39,1,K. Love makes free throw 2 of 2
10:59.0,,,39-38,,J. Smith enters the game for I. Shumpert
10:42.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green),2,41-39,,
10:32.0,,,41-39,,Shooting foul by D. West (drawn by K. Love)
10:32.0,,,41-40,1,K. Love makes free throw 1 of 2
10:32.0,,,41-40,,K. Love misses free throw 2 of 2
10:30.0,Defensive rebound by D. Green,,41-40,,
10:20.0,K. Thompson misses 2-pt shot from 18 ft,,41-40,,
10:20.0,,,41-40,,Defensive rebound by Team
10:04.0,,,41-40,,D. Williams misses 2-pt shot from 14 ft
10:02.0,Defensive rebound by D. Green,,41-40,,
9:57.0,D. West makes 2-pt shot from 1 ft (assist by D. Green),2,43-40,,
9:57.0,Shooting foul by D. Williams (drawn by D. West),,43-40,,
9:57.0,D. West makes free throw 1 of 1,1,44-40,,
9:40.0,,,44-43,3,L. James makes 3-pt shot from 25 ft
9:32.0,D. Green misses 2-pt shot from 5 ft (block by L. James),,44-43,,
9:31.0,Offensive rebound by D. Green,,44-43,,
9:23.0,D. West makes 2-pt shot from 11 ft (assist by A. Iguodala),2,46-43,,
9:02.0,,,46-43,,D. Williams misses 3-pt shot from 23 ft
9:02.0,Defensive rebound by I. Clark,,46-43,,
8:56.0,Turnover by A. Iguodala (lost ball),,46-43,,
8:56.0,Official timeout,,46-43,,
8:56.0,K. Durant enters the game for D. Green,,46-43,,
8:37.0,,,46-43,,Turnover by J. Smith (lost ball; steal by K. Durant)
8:23.0,Turnover by A. Iguodala (bad pass),,46-43,,
8:23.0,,,46-43,,K. Irving enters the game for D. Williams
8:08.0,,,46-43,,K. Korver misses 3-pt shot from 27 ft
8:08.0,Defensive rebound by K. Thompson,,46-43,,
8:03.0,Turnover by I. Clark (step out of bounds),,46-43,,
