time,New Orleans,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Ajinca vs. Z. Pachulia (J. Holiday gains possession),,,,Jump ball: A. Ajinca vs. Z. Pachulia (J. Holiday gains possession)
11:42.0,S. Hill misses 2-pt shot from 12 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by Z. Pachulia
11:25.0,,,0-2,2,K. Durant makes 2-pt shot at rim (assist by D. Green)
11:13.0,J. Holiday misses 2-pt shot from 8 ft,,0-2,,
11:12.0,,,0-2,,Defensive rebound by Z. Pachulia
11:05.0,,,0-2,,K. Thompson misses 3-pt shot from 26 ft
11:05.0,,,0-2,,Offensive rebound by S. Livingston
10:57.0,,,0-4,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by K. Durant)
10:37.0,Shooting foul by K. Durant (drawn by T. Frazier),,0-4,,
10:37.0,T. Frazier misses free throw 1 of 2,,0-4,,
10:37.0,Offensive rebound by Team,,0-4,,
10:37.0,T. Frazier makes free throw 2 of 2,1,1-4,,
10:24.0,Personal foul by T. Frazier (drawn by D. Green),,1-4,,
10:15.0,,,1-4,,D. Green misses 3-pt shot from 25 ft
10:15.0,,,1-4,,Offensive rebound by K. Durant
10:03.0,,,1-4,,D. Green misses 2-pt shot from 3 ft
10:02.0,,,1-4,,Offensive rebound by D. Green
10:02.0,,,1-6,2,D. Green makes 2-pt shot from 1 ft
9:53.0,Turnover by T. Frazier (lost ball),,1-6,,
9:46.0,,,1-6,,S. Livingston misses 2-pt shot from 14 ft
9:45.0,Defensive rebound by A. Ajinca,,1-6,,
9:33.0,A. Ajinca makes 2-pt shot at rim (assist by J. Holiday),2,3-6,,
9:19.0,,,3-6,,K. Thompson misses 3-pt shot from 27 ft
9:18.0,Defensive rebound by T. Frazier,,3-6,,
9:11.0,Shooting foul by S. Livingston (drawn by T. Frazier),,3-6,,
9:11.0,T. Frazier misses free throw 1 of 2,,3-6,,
9:11.0,Offensive rebound by Team,,3-6,,
9:11.0,T. Frazier misses free throw 2 of 2,,3-6,,
9:10.0,,,3-6,,Defensive rebound by Z. Pachulia
8:56.0,,,3-6,,K. Thompson misses 2-pt shot from 13 ft
8:55.0,Defensive rebound by J. Holiday,,3-6,,
8:43.0,D. Cunningham misses 3-pt shot from 25 ft,,3-6,,
8:43.0,,,3-6,,Defensive rebound by Z. Pachulia
8:37.0,,,3-9,3,K. Thompson makes 3-pt shot from 24 ft (assist by S. Livingston)
8:29.0,Shooting foul by Z. Pachulia (drawn by S. Hill),,3-9,,
8:29.0,S. Hill makes free throw 1 of 2,1,4-9,,
8:29.0,S. Hill makes free throw 2 of 2,1,5-9,,
8:06.0,,,5-9,,K. Durant misses 3-pt shot from 27 ft
8:06.0,Defensive rebound by D. Cunningham,,5-9,,
7:54.0,A. Ajinca makes 2-pt shot from 20 ft (assist by T. Frazier),2,7-9,,
7:40.0,,,7-9,,K. Thompson misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by S. Hill,,7-9,,
7:31.0,Turnover by S. Hill (bad pass),,7-9,,
7:14.0,,,7-9,,K. Durant misses 2-pt shot from 14 ft
7:14.0,,,7-9,,Offensive rebound by Z. Pachulia
7:10.0,,,7-9,,Shooting foul by A. Ajinca (drawn by K. Durant)
7:10.0,,,7-10,1,K. Durant makes free throw 1 of 2
7:10.0,,,7-11,1,K. Durant makes free throw 2 of 2
