time,Phoenix,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. A. Len (M. Chriss gains possession),,,,Jump ball: J. Embiid vs. A. Len (M. Chriss gains possession)
11:36.0,D. Booker misses 3-pt shot from 27 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by R. Covington
11:30.0,,,0-0,,E. Ilyasova misses 2-pt shot from 18 ft
11:29.0,,,0-0,,Offensive rebound by Team
11:29.0,Loose ball foul by P. Tucker (drawn by J. Embiid),,0-0,,
11:19.0,,,0-2,2,J. Embiid makes 2-pt shot from 3 ft (assist by S. Rodriguez)
11:01.0,D. Booker misses 2-pt shot from 14 ft,,0-2,,
11:00.0,Offensive rebound by A. Len,,0-2,,
10:55.0,A. Len makes 2-pt shot from 4 ft,2,2-2,,
10:39.0,,,2-5,3,J. Embiid makes 3-pt shot from 24 ft (assist by S. Rodriguez)
10:21.0,E. Bledsoe makes 2-pt shot from 2 ft,2,4-5,,
10:21.0,Shooting foul by E. Ilyasova (drawn by E. Bledsoe),,4-5,,
10:21.0,E. Bledsoe makes free throw 1 of 1,1,5-5,,
10:09.0,,,5-8,3,J. Embiid makes 3-pt shot from 26 ft (assist by S. Rodriguez)
9:59.0,Turnover by E. Bledsoe (bad pass),,5-8,,
9:56.0,,,5-8,,R. Covington misses 2-pt shot from 7 ft
9:55.0,Defensive rebound by P. Tucker,,5-8,,
9:49.0,A. Len makes 2-pt shot from 16 ft (assist by E. Bledsoe),2,7-8,,
9:33.0,,,7-10,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by R. Covington)
9:12.0,P. Tucker misses 2-pt shot from 2 ft,,7-10,,
9:11.0,,,7-10,,Defensive rebound by Team
9:03.0,,,7-12,2,J. Embiid makes 2-pt shot at rim (assist by S. Rodriguez)
9:03.0,Phoenix full timeout,,7-12,,
8:52.0,D. Booker makes 2-pt shot from 19 ft (assist by P. Tucker),2,9-12,,
8:42.0,,,9-12,,Turnover by J. Embiid (lost ball; steal by A. Len)
8:38.0,,,9-12,,Inbound foul by G. Henderson
8:38.0,D. Booker makes free throw 1 of 1,1,10-12,,
8:35.0,D. Booker makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,12-12,,
8:20.0,,,12-12,,Turnover by S. Rodriguez (lost ball)
8:08.0,D. Booker misses 2-pt shot from 14 ft (block by R. Covington),,12-12,,
8:07.0,,,12-12,,Defensive rebound by R. Covington
8:02.0,Personal block foul by M. Chriss (drawn by E. Ilyasova),,12-12,,
8:02.0,,,12-12,,J. Okafor enters the game for J. Embiid
7:53.0,,,12-12,,S. Rodriguez misses 3-pt shot from 25 ft
7:52.0,Defensive rebound by A. Len,,12-12,,
7:42.0,E. Bledsoe misses 2-pt shot from 16 ft,,12-12,,
7:40.0,Offensive rebound by A. Len,,12-12,,
7:38.0,A. Len misses 2-pt shot from 1 ft (block by J. Okafor),,12-12,,
7:37.0,,,12-12,,Defensive rebound by R. Covington
7:29.0,,,12-12,,Shooting foul by E. Bledsoe (drawn by G. Henderson)
7:29.0,,,12-12,,G. Henderson misses free throw 1 of 2
7:29.0,,,12-12,,Offensive rebound by Team
7:29.0,,,12-13,1,G. Henderson makes free throw 2 of 2
7:18.0,E. Bledsoe misses 2-pt shot from 16 ft,,12-13,,
7:16.0,,,12-13,,Defensive rebound by S. Rodriguez
7:11.0,,,12-15,2,G. Henderson makes 2-pt shot from 2 ft (assist by S. Rodriguez)
7:00.0,D. Booker makes 2-pt shot from 1 ft,2,14-15,,
6:47.0,,,14-15,,R. Covington misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by A. Len,,14-15,,
6:34.0,Turnover by M. Chriss (lost ball; steal by G. Henderson),,14-15,,
6:28.0,,,14-15,,R. Covington misses 3-pt shot from 23 ft
6:27.0,Defensive rebound by P. Tucker,,14-15,,
6:17.0,E. Bledsoe misses 2-pt shot from 19 ft,,14-15,,
6:16.0,,,14-15,,Defensive rebound by S. Rodriguez
6:04.0,Violation by M. Chriss (def goaltending),,14-15,,
6:04.0,,,14-17,2,J. Okafor makes 2-pt shot from 3 ft
5:49.0,Turnover by D. Booker (bad pass; steal by S. Rodriguez),,14-17,,
5:41.0,,,14-17,,E. Ilyasova misses 3-pt shot from 24 ft
5:40.0,Defensive rebound by A. Len,,14-17,,
5:30.0,E. Bledsoe makes 2-pt shot from 18 ft (assist by A. Len),2,16-17,,
5:29.0,,,16-17,,Philadelphia full timeout
5:29.0,,,16-17,,N. Stauskas enters the game for E. Ilyasova
5:29.0,,,16-17,,D. Saric enters the game for R. Covington
5:29.0,J. Dudley enters the game for E. Bledsoe,,16-17,,
5:29.0,B. Knight enters the game for M. Chriss,,16-17,,
5:13.0,,,16-19,2,N. Stauskas makes 2-pt shot from 2 ft
4:58.0,Turnover by D. Booker (lost ball; steal by S. Rodriguez),,16-19,,
4:52.0,,,16-21,2,G. Henderson makes 2-pt shot from 6 ft (assist by S. Rodriguez)
4:33.0,A. Len misses 2-pt shot from 16 ft,,16-21,,
4:32.0,,,16-21,,Defensive rebound by D. Saric
4:23.0,,,16-21,,D. Saric misses 2-pt shot from 2 ft (block by A. Len)
4:21.0,,,16-21,,Offensive rebound by G. Henderson
4:08.0,,,16-21,,S. Rodriguez misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by D. Booker,,16-21,,
4:03.0,Shooting foul by N. Stauskas (drawn by D. Booker),,16-21,,
4:03.0,D. Booker misses free throw 1 of 2,,16-21,,
4:03.0,Offensive rebound by Team,,16-21,,
4:03.0,D. Booker makes free throw 2 of 2,1,17-21,,
4:03.0,,,16-21,,T. McConnell enters the game for S. Rodriguez
4:03.0,,,16-21,,J. Embiid enters the game for J. Okafor
4:03.0,,,16-21,,H. Thompson enters the game for G. Henderson
4:03.0,A. Williams enters the game for A. Len,,16-21,,
3:47.0,,,17-21,,J. Embiid misses 2-pt shot from 10 ft (block by A. Williams)
3:46.0,,,17-21,,Offensive rebound by Team
3:46.0,L. Barbosa enters the game for D. Booker,,17-21,,
3:42.0,,,17-21,,D. Saric misses 2-pt shot from 21 ft
3:41.0,Defensive rebound by B. Knight,,17-21,,
3:34.0,B. Knight misses 2-pt shot from 22 ft,,17-21,,
3:33.0,,,17-21,,Defensive rebound by J. Embiid
3:27.0,,,17-21,,J. Embiid misses 3-pt shot from 25 ft
3:25.0,,,17-21,,Offensive rebound by Team
3:23.0,Personal foul by A. Williams (drawn by J. Embiid),,17-21,,
3:08.0,,,17-21,,H. Thompson misses 3-pt shot from 24 ft
3:07.0,Defensive rebound by A. Williams,,17-21,,
2:58.0,L. Barbosa misses 2-pt shot from 12 ft,,17-21,,
2:57.0,Offensive rebound by P. Tucker,,17-21,,
2:46.0,B. Knight misses 2-pt shot from 1 ft (block by J. Embiid),,17-21,,
2:45.0,Offensive rebound by J. Dudley,,17-21,,
2:44.0,J. Dudley misses 2-pt shot from 1 ft (block by D. Saric),,17-21,,
2:43.0,Offensive rebound by B. Knight,,17-21,,
2:42.0,Phoenix full timeout,,17-21,,
2:37.0,,,17-21,,Personal foul by J. Embiid (drawn by A. Williams)
2:37.0,D. Bender enters the game for P. Tucker,,17-21,,
2:27.0,J. Dudley misses 3-pt shot from 25 ft,,17-21,,
2:26.0,,,17-21,,Defensive rebound by D. Saric
2:15.0,,,17-21,,Shooting foul by A. Williams (drawn by J. Embiid)
2:15.0,,,17-22,1,J. Embiid makes free throw 1 of 2
2:15.0,,,17-23,1,J. Embiid makes free throw 2 of 2
1:55.0,B. Knight misses 2-pt shot from 6 ft,,17-23,,
1:54.0,,,17-23,,Defensive rebound by J. Embiid
1:42.0,,,17-25,2,J. Embiid makes 2-pt shot from 1 ft (assist by D. Saric)
1:39.0,Turnover by D. Bender (bad pass; steal by T. McConnell),,17-25,,
1:35.0,,,17-28,3,N. Stauskas makes 3-pt shot from 25 ft (assist by T. McConnell)
1:35.0,Phoenix full timeout,,17-28,,
1:18.0,L. Barbosa misses 2-pt shot from 17 ft,,17-28,,
1:17.0,,,17-28,,Defensive rebound by J. Embiid
1:06.0,,,17-31,3,J. Embiid makes 3-pt shot from 24 ft (assist by T. McConnell)
0:47.0,A. Williams misses 2-pt shot from 10 ft,,17-31,,
0:46.0,Offensive rebound by J. Dudley,,17-31,,
0:41.0,D. Bender misses 3-pt shot from 25 ft,,17-31,,
0:40.0,,,17-31,,Defensive rebound by J. Embiid
0:35.0,,,17-31,,Turnover by J. Embiid (lost ball; steal by B. Knight)
0:33.0,,,17-31,,Personal foul by J. Embiid (drawn by B. Knight)
0:33.0,B. Knight makes free throw 1 of 2,1,18-31,,
0:33.0,B. Knight makes free throw 2 of 2,1,19-31,,
0:33.0,,,18-31,,J. Okafor enters the game for J. Embiid
0:25.0,,,19-31,,D. Saric misses 3-pt shot from 26 ft
0:24.0,,,19-31,,Offensive rebound by H. Thompson
0:13.0,,,19-31,,Shooting foul by D. Bender (drawn by H. Thompson)
0:13.0,,,19-32,1,H. Thompson makes free throw 1 of 2
0:13.0,,,19-32,,H. Thompson misses free throw 2 of 2
0:12.0,Defensive rebound by D. Bender,,19-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,19-35,3,D. Saric makes 3-pt shot from 24 ft (assist by J. Okafor)
11:19.0,E. Bledsoe makes 2-pt shot from 17 ft,2,21-35,,
11:04.0,,,21-38,3,N. Stauskas makes 3-pt shot from 25 ft (assist by D. Saric)
10:52.0,E. Bledsoe misses 2-pt shot from 8 ft,,21-38,,
10:51.0,Offensive rebound by A. Williams,,21-38,,
10:50.0,A. Williams makes 2-pt shot from 1 ft,2,23-38,,
10:30.0,,,23-40,2,H. Thompson makes 2-pt shot from 2 ft (assist by D. Saric)
10:18.0,J. Dudley makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,25-40,,
9:57.0,,,25-40,,Turnover by D. Saric (lost ball; steal by T. Ulis)
9:47.0,E. Bledsoe misses 2-pt shot from 2 ft,,25-40,,
9:46.0,,,25-40,,Defensive rebound by D. Saric
9:25.0,,,25-40,,T. McConnell misses 2-pt shot from 8 ft
9:24.0,Defensive rebound by T. Ulis,,25-40,,
9:20.0,Shooting foul by J. Okafor (drawn by T. Ulis),,25-40,,
9:20.0,T. Ulis misses free throw 1 of 2,,25-40,,
9:20.0,Offensive rebound by Team,,25-40,,
9:20.0,T. Ulis makes free throw 2 of 2,1,26-40,,
9:20.0,,,25-40,,S. Rodriguez enters the game for T. McConnell
9:20.0,,,25-40,,R. Covington enters the game for H. Thompson
9:20.0,,,25-40,,G. Henderson enters the game for N. Stauskas
9:04.0,,,26-40,,Turnover by D. Saric (bad pass; steal by T. Ulis)
8:58.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by T. Ulis),2,28-40,,
8:58.0,,,28-40,,Philadelphia full timeout
8:58.0,,,28-40,,E. Ilyasova enters the game for D. Saric
8:42.0,,,28-42,2,J. Okafor makes 2-pt shot from 2 ft (assist by E. Ilyasova)
8:31.0,J. Dudley misses 3-pt shot from 23 ft,,28-42,,
8:30.0,,,28-42,,Defensive rebound by S. Rodriguez
8:16.0,,,28-42,,G. Henderson misses 2-pt shot from 9 ft
8:15.0,Defensive rebound by P. Tucker,,28-42,,
8:06.0,A. Williams misses 2-pt shot from 3 ft,,28-42,,
8:04.0,,,28-42,,Defensive rebound by S. Rodriguez
7:59.0,,,28-44,2,E. Ilyasova makes 2-pt shot at rim (assist by R. Covington)
7:40.0,E. Bledsoe makes 2-pt shot from 1 ft,2,30-44,,
7:26.0,,,30-46,2,G. Henderson makes 2-pt shot from 2 ft (assist by S. Rodriguez)
7:06.0,T. Ulis makes 2-pt shot from 10 ft (assist by E. Bledsoe),2,32-46,,
7:00.0,,,32-46,,S. Rodriguez misses 2-pt shot from 2 ft (block by A. Williams)
6:58.0,Defensive rebound by T. Ulis,,32-46,,
6:52.0,J. Dudley makes 3-pt shot from 24 ft (assist by T. Ulis),3,35-46,,
6:35.0,,,35-46,,Offensive foul by R. Covington
6:35.0,,,35-46,,Turnover by R. Covington (offensive foul)
6:35.0,,,35-46,,J. Embiid enters the game for J. Okafor
6:35.0,D. Booker enters the game for J. Dudley,,35-46,,
6:35.0,A. Len enters the game for A. Williams,,35-46,,
