time,Indiana,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:36.0,,,0-0,,T. Harris misses 2-pt shot from 19 ft
12:00.0,Jump ball: A. Drummond vs. M. Turner (T. Harris gains possession),,,,Jump ball: A. Drummond vs. M. Turner (T. Harris gains possession)
11:36.0,Defensive rebound by G. Robinson,,0-0,,
11:22.0,T. Young makes 2-pt shot from 1 ft (assist by P. George),2,2-0,,
11:10.0,,,2-0,,T. Harris misses 3-pt shot from 26 ft
11:10.0,Defensive rebound by G. Robinson,,2-0,,
10:47.0,P. George misses 3-pt shot from 26 ft,,2-0,,
10:46.0,Offensive rebound by M. Turner,,2-0,,
10:32.0,J. Teague makes 2-pt shot from 7 ft,2,4-0,,
10:09.0,,,4-3,3,R. Jackson makes 3-pt shot from 23 ft (assist by T. Harris)
9:54.0,G. Robinson makes 2-pt shot from 15 ft (assist by P. George),2,6-3,,
9:35.0,,,6-5,2,A. Drummond makes 2-pt shot from 7 ft (assist by M. Morris)
9:24.0,Turnover by T. Young (bad pass; steal by K. Caldwell-Pope),,6-5,,
9:12.0,,,6-7,2,A. Drummond makes 2-pt shot from 9 ft (assist by K. Caldwell-Pope)
8:51.0,J. Teague misses 3-pt shot from 27 ft,,6-7,,
8:51.0,,,6-7,,Defensive rebound by A. Drummond
8:39.0,,,6-7,,T. Harris misses 2-pt shot from 12 ft
8:39.0,Defensive rebound by J. Teague,,6-7,,
8:36.0,Shooting foul by T. Harris (drawn by J. Teague),,6-7,,
8:36.0,J. Teague misses free throw 1 of 2,,6-7,,
8:36.0,Offensive rebound by Team,,6-7,,
8:36.0,J. Teague makes free throw 2 of 2,1,7-7,,
8:21.0,,,7-10,3,T. Harris makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
8:07.0,P. George misses 2-pt shot from 7 ft,,7-10,,
8:07.0,,,7-10,,Defensive rebound by T. Harris
8:00.0,,,7-13,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by R. Jackson)
7:54.0,Turnover by J. Teague (bad pass; steal by A. Drummond),,7-13,,
7:47.0,,,7-16,3,K. Caldwell-Pope makes 3-pt shot from 25 ft
7:29.0,M. Turner makes 2-pt shot from 9 ft (assist by J. Teague),2,9-16,,
7:14.0,,,9-16,,K. Caldwell-Pope misses 3-pt shot from 26 ft
7:13.0,Defensive rebound by M. Turner,,9-16,,
