time,Dallas,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. R. Gobert (D. Nowitzki gains possession),,,,Jump ball: A. Bogut vs. R. Gobert (D. Nowitzki gains possession)
11:43.0,D. Nowitzki misses 2-pt shot from 20 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by R. Gobert
11:24.0,,,0-3,3,G. Hill makes 3-pt shot from 23 ft (assist by J. Johnson)
10:59.0,D. Williams misses 3-pt shot from 24 ft,,0-3,,
10:59.0,,,0-3,,Defensive rebound by R. Gobert
10:45.0,,,0-3,,D. Favors misses 2-pt shot from 17 ft
10:45.0,Defensive rebound by Team,,0-3,,
10:45.0,,,0-3,,Loose ball foul by R. Gobert (drawn by D. Nowitzki)
10:28.0,H. Barnes misses 2-pt shot from 17 ft,,0-3,,
10:27.0,,,0-3,,Defensive rebound by R. Hood
10:16.0,,,0-3,,R. Hood misses 2-pt shot from 10 ft
10:14.0,,,0-3,,Offensive rebound by R. Gobert
10:14.0,,,0-3,,R. Gobert misses 2-pt shot from 1 ft
10:11.0,Defensive rebound by D. Williams,,0-3,,
9:47.0,H. Barnes misses 3-pt shot from 25 ft,,0-3,,
9:47.0,,,0-3,,Defensive rebound by R. Gobert
9:36.0,,,0-3,,G. Hill misses 2-pt shot from 2 ft
9:36.0,,,0-3,,Offensive rebound by R. Gobert
9:36.0,,,0-3,,Shooting foul by D. Nowitzki (drawn by R. Gobert)
9:36.0,,,0-3,,R. Gobert misses free throw 1 of 2
9:36.0,,,0-3,,Offensive rebound by Team
9:36.0,,,0-4,1,R. Gobert makes free throw 2 of 2
9:23.0,H. Barnes makes 2-pt shot from 19 ft (assist by W. Matthews),2,2-4,,
9:08.0,,,2-4,,J. Johnson misses 2-pt shot from 20 ft
9:08.0,Defensive rebound by A. Bogut,,2-4,,
8:53.0,D. Nowitzki misses 2-pt shot from 18 ft,,2-4,,
8:52.0,,,2-4,,Defensive rebound by J. Johnson
8:33.0,,,2-4,,D. Favors misses 2-pt shot from 2 ft (block by A. Bogut)
8:32.0,,,2-4,,Offensive rebound by R. Gobert
8:27.0,,,2-4,,G. Hill misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by Team,,2-4,,
8:27.0,,,2-4,,Loose ball foul by R. Gobert (drawn by A. Bogut)
8:27.0,,,2-4,,T. Lyles enters the game for R. Gobert
8:14.0,,,2-4,,Violation by D. Favors (kicked ball)
8:10.0,,,2-4,,Personal foul by G. Hill (drawn by H. Barnes)
8:05.0,Turnover by A. Bogut (bad pass; steal by J. Johnson),,2-4,,
7:58.0,,,2-4,,R. Hood misses 3-pt shot from 23 ft
7:58.0,,,2-4,,Offensive rebound by Team
7:58.0,Loose ball foul by D. Williams (drawn by D. Favors),,2-4,,
7:46.0,,,2-6,2,J. Johnson makes 2-pt shot from 7 ft
7:46.0,,,2-6,,Shooting foul by H. Barnes (drawn by J. Johnson)
7:46.0,,,2-7,1,J. Johnson makes free throw 1 of 1
7:28.0,D. Nowitzki makes 2-pt shot from 2 ft,2,4-7,,
7:18.0,,,4-7,,Turnover by G. Hill (bad pass; steal by A. Bogut)
6:59.0,D. Williams misses 2-pt shot from 17 ft,,4-7,,
6:58.0,,,4-7,,Defensive rebound by G. Hill
6:47.0,,,4-7,,R. Hood misses 2-pt shot from 6 ft
6:46.0,,,4-7,,Offensive rebound by R. Hood
6:44.0,,,4-9,2,R. Hood makes 2-pt shot from 2 ft
