time,LA Clippers,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: D. Jordan vs. Z. Pachulia (D. Green gains possession)
11:41.0,,,0-0,,K. Durant misses 2-pt shot from 16 ft
11:39.0,Defensive rebound by B. Griffin,,0-0,,
11:27.0,A. Rivers misses 2-pt shot from 2 ft (block by Z. Pachulia),,0-0,,
11:27.0,Offensive rebound by Team,,0-0,,
11:19.0,Shooting foul by D. Green (drawn by B. Griffin),,0-0,,
11:19.0,B. Griffin makes free throw 1 of 2,1,1-0,,
11:19.0,B. Griffin misses free throw 2 of 2,,1-0,,
11:18.0,,,1-0,,Defensive rebound by Z. Pachulia
11:09.0,,,1-0,,D. Green misses 2-pt shot from 9 ft
11:08.0,,,1-0,,Offensive rebound by S. Curry
11:04.0,,,1-2,2,S. Curry makes 2-pt shot from 17 ft
10:45.0,A. Rivers misses 3-pt shot from 25 ft,,1-2,,
10:45.0,,,1-2,,Defensive rebound by K. Durant
10:40.0,Personal foul by L. Mbah a Moute (drawn by K. Durant),,1-2,,
10:40.0,,,1-3,1,K. Durant makes free throw 1 of 2
10:40.0,,,1-4,1,K. Durant makes free throw 2 of 2
10:23.0,L. Mbah a Moute makes 2-pt shot from 1 ft,2,3-4,,
10:09.0,,,3-4,,Shooting foul by D. Jordan (drawn by K. Thompson)
10:09.0,,,3-5,1,K. Thompson makes free throw 1 of 2
10:09.0,,,3-6,1,K. Thompson makes free throw 2 of 2
9:45.0,J. Redick misses 3-pt shot from 27 ft,,3-6,,
9:45.0,,,3-6,,Defensive rebound by Z. Pachulia
9:38.0,,,3-6,,Turnover by D. Green (bad pass; steal by J. Redick)
9:29.0,A. Rivers makes 3-pt shot from 26 ft (assist by B. Griffin),3,6-6,,
9:16.0,,,6-8,2,K. Thompson makes 2-pt shot from 18 ft (assist by S. Curry)
9:00.0,B. Griffin misses 2-pt shot from 16 ft,,6-8,,
8:59.0,,,6-8,,Defensive rebound by Z. Pachulia
8:50.0,,,6-8,,K. Thompson misses 3-pt shot from 25 ft
8:49.0,Defensive rebound by D. Jordan,,6-8,,
8:33.0,B. Griffin misses 2-pt shot from 6 ft (block by Z. Pachulia),,6-8,,
8:32.0,,,6-8,,Defensive rebound by K. Durant
8:26.0,,,6-11,3,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant)
8:09.0,B. Griffin misses 3-pt shot from 25 ft,,6-11,,
8:09.0,,,6-11,,Defensive rebound by D. Green
7:59.0,,,6-11,,S. Curry misses 3-pt shot from 26 ft
7:59.0,,,6-11,,Offensive rebound by K. Durant
7:54.0,,,6-11,,Turnover by D. Green (lost ball)
7:33.0,L. Mbah a Moute misses 2-pt shot from 4 ft (block by Z. Pachulia),,6-11,,
7:31.0,Offensive rebound by D. Jordan,,6-11,,
7:31.0,Shooting foul by Z. Pachulia (drawn by D. Jordan),,6-11,,
7:31.0,D. Jordan makes free throw 1 of 2,1,7-11,,
7:31.0,D. Jordan misses free throw 2 of 2,,7-11,,
7:29.0,,,7-11,,Defensive rebound by D. Green
7:24.0,,,7-11,,Turnover by D. Green (traveling)
7:17.0,A. Rivers misses 3-pt shot from 24 ft,,7-11,,
7:17.0,,,7-11,,Defensive rebound by D. Green
7:06.0,,,7-11,,K. Thompson misses 2-pt shot from 20 ft
7:05.0,Defensive rebound by J. Redick,,7-11,,
6:45.0,Turnover by D. Jordan (lost ball; steal by D. Green),,7-11,,
6:40.0,,,7-11,,Offensive foul by D. Green
6:40.0,,,7-11,,Turnover by D. Green (offensive foul)
6:40.0,LA Clippers full timeout,,7-11,,
6:40.0,,,7-11,,J. McGee enters the game for Z. Pachulia
6:40.0,,,7-11,,A. Iguodala enters the game for D. Green
6:32.0,B. Griffin misses 2-pt shot from 9 ft,,7-11,,
6:32.0,,,7-11,,Defensive rebound by S. Curry
6:19.0,,,7-11,,J. McGee misses 2-pt shot from 1 ft
6:19.0,Defensive rebound by B. Griffin,,7-11,,
6:12.0,L. Mbah a Moute misses 2-pt shot from 18 ft,,7-11,,
6:12.0,Offensive rebound by D. Jordan,,7-11,,
6:10.0,D. Jordan makes 2-pt shot at rim,2,9-11,,
5:57.0,,,9-13,2,S. Curry makes 2-pt shot from 22 ft
5:46.0,J. Redick makes 2-pt shot from 5 ft (assist by B. Griffin),2,11-13,,
5:35.0,,,11-13,,Shooting foul by L. Mbah a Moute (drawn by S. Curry)
5:35.0,,,11-14,1,S. Curry makes free throw 1 of 2
5:35.0,,,11-15,1,S. Curry makes free throw 2 of 2
5:35.0,J. Crawford enters the game for L. Mbah a Moute,,11-14,,
5:12.0,B. Griffin makes 3-pt shot from 23 ft (assist by D. Jordan),3,14-15,,
4:59.0,,,14-15,,S. Curry misses 2-pt shot from 2 ft
