time,Washington,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Johnson (M. Morris gains possession),,,,Jump ball: M. Gortat vs. A. Johnson (M. Morris gains possession)
11:35.0,J. Wall makes 2-pt shot from 2 ft (assist by O. Porter),2,2-0,,
11:14.0,,,2-3,3,I. Thomas makes 3-pt shot from 25 ft (assist by A. Horford)
10:56.0,Shooting foul by I. Thomas (drawn by B. Beal),,2-3,,
10:56.0,B. Beal makes free throw 1 of 2,1,3-3,,
10:56.0,B. Beal misses free throw 2 of 2,,3-3,,
10:54.0,,,3-3,,Defensive rebound by Team
10:53.0,Loose ball foul by M. Morris (drawn by A. Horford),,3-3,,
10:36.0,,,3-3,,Offensive foul by A. Johnson
10:36.0,,,3-3,,Turnover by A. Johnson (offensive foul)
10:28.0,O. Porter misses 3-pt shot from 25 ft,,3-3,,
10:27.0,,,3-3,,Defensive rebound by I. Thomas
10:12.0,,,3-3,,Turnover by A. Horford (bad pass; steal by B. Beal)
10:06.0,J. Wall makes 3-pt shot from 25 ft (assist by B. Beal),3,6-3,,
9:50.0,,,6-3,,A. Bradley misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by M. Gortat,,6-3,,
9:40.0,,,6-3,,Personal foul by I. Thomas (drawn by J. Wall)
9:35.0,J. Wall misses 2-pt shot from 3 ft (block by A. Bradley),,6-3,,
9:34.0,,,6-3,,Defensive rebound by Team
9:23.0,,,6-6,3,I. Thomas makes 3-pt shot from 25 ft
9:02.0,O. Porter misses 2-pt shot from 2 ft (block by A. Johnson),,6-6,,
9:00.0,,,6-6,,Defensive rebound by J. Crowder
8:53.0,,,6-6,,I. Thomas misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by O. Porter,,6-6,,
8:43.0,J. Wall makes 3-pt shot from 28 ft (assist by O. Porter),3,9-6,,
8:31.0,,,9-6,,Turnover by A. Bradley (bad pass)
8:19.0,M. Morris makes 3-pt shot from 25 ft (assist by J. Wall),3,12-6,,
8:05.0,,,12-8,2,I. Thomas makes 2-pt shot from 2 ft
7:57.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,14-8,,
7:41.0,,,14-8,,Turnover by A. Bradley (bad pass; steal by M. Morris)
7:41.0,Jump ball: A. Bradley vs. M. Morris (O. Porter gains possession),,,,Jump ball: A. Bradley vs. M. Morris (O. Porter gains possession)
7:30.0,M. Gortat makes 2-pt shot at rim (assist by M. Morris),2,16-8,,
7:29.0,,,16-8,,Boston full timeout
7:29.0,,,16-8,,K. Olynyk enters the game for A. Johnson
7:12.0,,,16-8,,I. Thomas misses 2-pt shot from 17 ft
7:11.0,,,16-8,,Offensive rebound by K. Olynyk
7:08.0,,,16-10,2,A. Bradley makes 2-pt shot from 19 ft (assist by K. Olynyk)
6:54.0,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall),2,18-10,,
6:39.0,,,18-13,3,K. Olynyk makes 3-pt shot from 25 ft (assist by A. Bradley)
6:25.0,M. Morris makes 2-pt shot from 19 ft (assist by J. Wall),2,20-13,,
6:05.0,,,20-13,,Shooting foul by M. Gortat (drawn by J. Crowder)
6:05.0,,,20-14,1,J. Crowder makes free throw 1 of 2
6:05.0,,,20-14,,J. Crowder misses free throw 2 of 2
6:05.0,Defensive rebound by M. Gortat,,20-14,,
6:05.0,,,20-14,,M. Smart enters the game for I. Thomas
5:56.0,J. Wall makes 2-pt shot from 8 ft,2,22-14,,
5:56.0,Shooting foul by M. Smart (drawn by J. Wall),,22-14,,
5:56.0,J. Wall makes free throw 1 of 1,1,23-14,,
5:46.0,,,23-14,,Turnover by M. Smart (lost ball)
5:30.0,J. Wall misses 2-pt shot from 18 ft,,23-14,,
5:29.0,,,23-14,,Defensive rebound by A. Bradley
5:24.0,,,23-16,2,A. Bradley makes 2-pt shot from 4 ft
5:02.0,M. Morris makes 2-pt shot from 6 ft,2,25-16,,
5:02.0,Shooting foul by K. Olynyk (drawn by M. Morris),,25-16,,
5:02.0,M. Morris makes free throw 1 of 1,1,26-16,,
4:53.0,,,26-18,2,A. Horford makes 2-pt shot from 19 ft (assist by M. Smart)
4:38.0,,,26-18,,Personal foul by K. Olynyk (drawn by M. Morris)
4:38.0,M. Morris makes free throw 1 of 2,1,27-18,,
4:38.0,M. Morris makes free throw 2 of 2,1,28-18,,
4:38.0,K. Oubre enters the game for O. Porter,,27-18,,
4:38.0,,,27-18,,I. Thomas enters the game for J. Crowder
4:29.0,,,28-20,2,I. Thomas makes 2-pt shot from 2 ft
4:29.0,,,28-20,,Shooting foul by M. Morris (drawn by I. Thomas)
4:29.0,,,28-21,1,I. Thomas makes free throw 1 of 1
4:29.0,J. Smith enters the game for M. Morris,,28-20,,
4:03.0,J. Smith makes 3-pt shot from 25 ft (assist by J. Wall),3,31-21,,
3:51.0,,,31-21,,Turnover by M. Smart (bad pass)
3:36.0,M. Gortat misses 2-pt shot from 1 ft,,31-21,,
3:35.0,,,31-21,,Defensive rebound by A. Horford
3:32.0,,,31-21,,Turnover by K. Olynyk (offensive goaltending)
3:12.0,M. Gortat misses 2-pt shot from 4 ft,,31-21,,
3:10.0,Offensive rebound by K. Oubre,,31-21,,
3:10.0,K. Oubre misses 2-pt shot from 3 ft,,31-21,,
3:08.0,,,31-21,,Defensive rebound by A. Horford
3:04.0,,,31-23,2,I. Thomas makes 2-pt shot from 2 ft (assist by A. Horford)
3:02.0,Washington full timeout,,31-23,,
3:02.0,B. Jennings enters the game for B. Beal,,31-23,,
2:45.0,J. Wall makes 2-pt shot from 15 ft,2,33-23,,
2:23.0,,,33-23,,A. Bradley misses 2-pt shot from 4 ft (block by J. Smith)
2:22.0,Defensive rebound by M. Gortat,,33-23,,
2:18.0,J. Wall makes 2-pt shot from 1 ft (assist by M. Gortat),2,35-23,,
2:08.0,,,35-23,,Turnover by M. Smart (traveling)
2:08.0,,,35-23,,T. Rozier enters the game for A. Bradley
1:43.0,J. Wall misses 3-pt shot from 26 ft,,35-23,,
1:42.0,,,35-23,,Defensive rebound by T. Rozier
1:31.0,,,35-23,,M. Smart misses 3-pt shot from 23 ft (block by J. Wall)
1:31.0,,,35-23,,Offensive rebound by Team
1:31.0,,,35-23,,J. Crowder enters the game for A. Horford
1:31.0,B. Bogdanovic enters the game for M. Gortat,,35-23,,
1:23.0,,,35-25,2,K. Olynyk makes 2-pt shot from 19 ft (assist by M. Smart)
1:09.0,B. Bogdanovic misses 3-pt shot from 24 ft,,35-25,,
1:06.0,,,35-25,,Defensive rebound by K. Olynyk
1:02.0,,,35-25,,Turnover by K. Olynyk (lost ball)
0:46.0,J. Wall makes 2-pt shot from 1 ft,2,37-25,,
0:40.0,,,37-27,2,J. Crowder makes 2-pt shot at rim (assist by M. Smart)
0:33.0,,,37-27,,A. Bradley enters the game for I. Thomas
0:28.0,Shooting foul by J. Crowder (drawn by J. Wall),,37-27,,
0:28.0,J. Wall makes free throw 1 of 2,1,38-27,,
0:28.0,J. Wall makes free throw 2 of 2,1,39-27,,
0:28.0,,,38-27,,I. Thomas enters the game for M. Smart
0:19.0,Personal foul by K. Oubre (drawn by I. Thomas),,39-27,,
0:10.0,,,39-27,,Shooting foul by K. Oubre (drawn by I. Thomas)
0:10.0,,,39-28,1,I. Thomas makes free throw 1 of 2
0:10.0,,,39-29,1,I. Thomas makes free throw 2 of 2
0:10.0,,,39-28,,J. Brown enters the game for K. Olynyk
0:01.0,J. Smith makes 3-pt shot from 23 ft (assist by J. Wall),3,42-29,,
